Cell	Cluster	CellType	NumofReads
SRR1779587	3	H1-ESC	20278
SRR1779588	3	H1-ESC	2078
SRR1779589	3	H1-ESC	111022
SRR1779590	3	H1-ESC	14420
SRR1779591	3	H1-ESC	2492
SRR1779592	3	H1-ESC	57986
SRR1779593	3	H1-ESC	17374
SRR1779594	3	H1-ESC	80170
SRR1779595	3	H1-ESC	6992
SRR1779596	3	H1-ESC	32936
SRR1779597	3	H1-ESC	3712
SRR1779598	3	H1-ESC	27526
SRR1779599	3	H1-ESC	99860
SRR1779600	3	H1-ESC	30034
SRR1779601	3	H1-ESC	2674
SRR1779602	3	H1-ESC	28536
SRR1779603	3	H1-ESC	28316
SRR1779604	3	H1-ESC	18564
SRR1779605	3	H1-ESC	5576
SRR1779606	3	H1-ESC	3654
SRR1779607	3	H1-ESC	48464
SRR1779608	3	H1-ESC	22884
SRR1779609	3	H1-ESC	108634
SRR1779610	3	H1-ESC	9168
SRR1779611	3	H1-ESC	25770
SRR1779612	3	H1-ESC	42362
SRR1779613	3	H1-ESC	67456
SRR1779614	3	H1-ESC	34270
SRR1779615	3	H1-ESC	37890
SRR1779616	3	H1-ESC	34098
SRR1779617	3	H1-ESC	92724
SRR1779618	3	H1-ESC	61894
SRR1779619	3	H1-ESC	18690
SRR1779620	3	H1-ESC	43356
SRR1779621	3	H1-ESC	35972
SRR1779622	3	H1-ESC	7470
SRR1779623	3	H1-ESC	47810
SRR1779624	3	H1-ESC	4302
SRR1779625	3	H1-ESC	86928
SRR1779626	3	H1-ESC	60018
SRR1779627	3	H1-ESC	34098
SRR1779628	3	H1-ESC	48278
SRR1779629	3	H1-ESC	23732
SRR1779630	3	H1-ESC	27624
SRR1779631	3	H1-ESC	75558
SRR1779632	3	H1-ESC	32644
SRR1779633	1	H1-ESC	2512
SRR1779634	3	H1-ESC	28062
SRR1779635	3	H1-ESC	125940
SRR1779636	3	H1-ESC	2428
SRR1779637	3	H1-ESC	22802
SRR1779638	3	H1-ESC	23858
SRR1779639	3	H1-ESC	67592
SRR1779640	3	H1-ESC	33170
SRR1779641	3	H1-ESC	2478
SRR1779642	3	H1-ESC	53438
SRR1779643	3	H1-ESC	2340
SRR1779644	3	H1-ESC	41426
SRR1779645	3	H1-ESC	3384
SRR1779646	3	H1-ESC	54350
SRR1779647	3	H1-ESC	26602
SRR1779648	3	H1-ESC	3516
SRR1779649	3	H1-ESC	31300
SRR1779650	3	H1-ESC	75588
SRR1779651	3	H1-ESC	2504
SRR1779652	3	H1-ESC	6474
SRR1779653	3	H1-ESC	37982
SRR1779654	3	H1-ESC	39682
SRR1779655	3	H1-ESC	18088
SRR1779656	3	H1-ESC	8184
SRR1779657	3	H1-ESC	34490
SRR1779658	2	H1-ESC	382594
SRR1779660	1	H1-ESC	21176
SRR1779661	1	H1-ESC	60386
SRR1779662	2	H1-ESC	28106
SRR1779663	2	H1-ESC	162848
SRR1779664	2	H1-ESC	14158
SRR1779665	2	H1-ESC	163584
SRR1779666	2	H1-ESC	59632
SRR1779667	2	H1-ESC	71168
SRR1779668	2	H1-ESC	4566
SRR1779669	2	H1-ESC	27120
SRR1779670	2	H1-ESC	57292
SRR1779671	2	H1-ESC	4354
SRR1779672	2	H1-ESC	4024
SRR1779673	2	H1-ESC	79188
SRR1779674	2	H1-ESC	25328
SRR1779675	2	H1-ESC	71044
SRR1779676	2	H1-ESC	169854
SRR1779677	2	H1-ESC	9360
SRR1779678	2	H1-ESC	61836
SRR1779679	2	H1-ESC	52192
SRR1779680	2	H1-ESC	46962
SRR1779681	2	H1-ESC	47442
SRR1779682	2	H1-ESC	80298
SRR1779683	2	GM12878	20872
SRR1779685	2	GM12878	6832
SRR1779686	2	GM12878	17310
SRR1779687	2	GM12878	6252
SRR1779688	2	GM12878	20450
SRR1779689	2	GM12878	319654
SRR1779690	2	GM12878	26550
SRR1779691	2	GM12878	3524
SRR1779692	2	GM12878	5882
SRR1779693	2	GM12878	7210
SRR1779694	2	GM12878	57618
SRR1779695	2	GM12878	5088
SRR1779696	2	GM12878	3322
SRR1779698	2	GM12878	5286
SRR1779701	2	GM12878	4128
SRR1779702	2	GM12878	4210
SRR1779704	2	GM12878	2384
SRR1779705	2	GM12878	7010
SRR1779706	2	GM12878	2358
SRR1779707	2	GM12878	13416
SRR1779708	2	GM12878	4924
SRR1779709	2	GM12878	27398
SRR1779710	2	GM12878	29856
SRR1779711	2	GM12878	7764
SRR1779712	2	GM12878	35578
SRR1779713	2	GM12878	19588
SRR1779714	2	GM12878	66000
SRR1779715	2	GM12878	86924
SRR1779716	2	GM12878	19998
SRR1779717	2	GM12878	30198
SRR1779718	2	GM12878	25252
SRR1779719	2	GM12878	44154
SRR1779721	2	GM12878	12128
SRR1779722	2	GM12878	23462
SRR1779723	2	GM12878	15598
SRR1779724	4	GM12878	15130
SRR1779728	4	GM12878	4782
SRR1779729	4	GM12878	15500
SRR1779731	4	GM12878	14052
SRR1779732	4	GM12878	20436
SRR1779733	4	GM12878	90704
SRR1779734	4	GM12878	21398
SRR1779735	4	GM12878	11172
SRR1779736	4	GM12878	16966
SRR1779737	4	GM12878	5750
SRR1779738	4	GM12878	27408
SRR1779740	4	GM12878	31662
SRR1779741	4	GM12878	84506
SRR1779742	2	GM12878	28580
SRR1779743	2	GM12878	34622
SRR1779744	2	GM12878	14960
SRR1779745	2	GM12878	51442
SRR1779746	2	GM12878	29942
SRR1779747	2	GM12878	9156
SRR1779749	2	GM12878	24210
SRR1779750	2	GM12878	16076
SRR1779751	2	GM12878	16618
SRR1779752	2	GM12878	13124
