Runs	CellType	AUPR
SRR1781219	BJ	0.901
SRR1781222	BJ	0.894
SRR1781220	BJ	0.897
SRR1781221	BJ	0.896
SRR1781223	BJ	0.893
SRR1781224	BJ	0.871
SRR1781226	BJ	0.897
SRR1781227	BJ	0.896
SRR1781229	BJ	0.9
SRR1781228	BJ	0.9
SRR1781231	BJ	0.898
SRR1781233	BJ	0.9
SRR1781234	BJ	0.901
SRR1781235	BJ	0.897
SRR1781232	BJ	0.862
SRR1781237	BJ	0.871
SRR1781238	BJ	0.901
SRR1781239	BJ	0.896
SRR1781241	BJ	0.9
SRR1781243	BJ	0.896
SRR1781244	BJ	0.887
SRR1781245	BJ	0.898
SRR1781246	BJ	0.898
SRR1781250	BJ	0.896
SRR1781249	BJ	0.892
SRR1781253	BJ	0.896
SRR1781254	BJ	0.901
SRR1781255	BJ	0.899
SRR1781257	BJ	0.897
SRR1781260	BJ	0.898
SRR1781263	BJ	0.897
SRR1781261	BJ	0.895
SRR1781251	BJ	0.804
SRR1781264	BJ	0.9
SRR1781265	BJ	0.876
SRR1781266	BJ	0.902
SRR1781256	BJ	0.895
SRR1781269	BJ	0.901
SRR1781259	BJ	0.896
SRR1781271	BJ	0.897
SRR1781270	BJ	0.9
SRR1781273	BJ	0.897
SRR1781272	BJ	0.9
SRR1781274	BJ	0.898
SRR1781277	BJ	0.871
SRR1781276	BJ	0.899
SRR1781278	BJ	0.901
SRR1781279	BJ	0.902
SRR1781280	BJ	0.901
SRR1781282	BJ	0.888
SRR1781281	BJ	0.901
SRR1781283	BJ	0.695
SRR1781284	BJ	0.884
SRR1781285	BJ	0.889
SRR1781287	BJ	0.894
SRR1781286	BJ	0.898
SRR1781288	BJ	0.895
SRR1781291	BJ	0.896
SRR1781290	BJ	0.896
SRR1781292	BJ	0.894
SRR1781294	BJ	0.898
SRR1781293	BJ	0.899
SRR1781296	BJ	0.896
SRR1781297	BJ	0.893
SRR1781295	BJ	0.892
SRR1781298	BJ	0.897
SRR1781300	BJ	0.899
SRR1781299	BJ	0.894
SRR1781301	BJ	0.895
SRR1781303	BJ	0.896
SRR1781305	BJ	0.894
SRR1781306	BJ	0.902
SRR1781308	BJ	0.897
SRR1781314	BJ	0.898
SRR1781309	BJ	0.813
SRR1781310	BJ	0.895
SRR1781312	BJ	0.887
SRR1781311	BJ	0.897
SRR1781313	BJ	0.871
SRR1779683	GM12878	0.874
SRR1779685	GM12878	0.878
SRR1779686	GM12878	0.885
SRR1779688	GM12878	0.863
SRR1779687	GM12878	0.875
SRR1779690	GM12878	0.886
SRR1779689	GM12878	0.817
SRR1779691	GM12878	0.863
SRR1779693	GM12878	0.846
SRR1779694	GM12878	0.889
SRR1779692	GM12878	0.859
SRR1779695	GM12878	0.869
SRR1779696	GM12878	0.812
SRR1779698	GM12878	0.85
SRR1779701	GM12878	0.842
SRR1779702	GM12878	0.781
SRR1779704	GM12878	0.775
SRR1779705	GM12878	0.875
SRR1779706	GM12878	0.811
SRR1779708	GM12878	0.856
SRR1779707	GM12878	0.892
SRR1779709	GM12878	0.897
SRR1779711	GM12878	0.8
SRR1779712	GM12878	0.897
SRR1779713	GM12878	0.883
SRR1779715	GM12878	0.898
SRR1779714	GM12878	0.861
SRR1779710	GM12878	0.899
SRR1779716	GM12878	0.873
SRR1779717	GM12878	0.887
SRR1779718	GM12878	0.903
SRR1779719	GM12878	0.895
SRR1779722	GM12878	0.88
SRR1779724	GM12878	0.893
SRR1779723	GM12878	0.885
SRR1779729	GM12878	0.888
SRR1779731	GM12878	0.877
SRR1779728	GM12878	0.861
SRR1779732	GM12878	0.89
SRR1779721	GM12878	0.892
SRR1779733	GM12878	0.906
SRR1779735	GM12878	0.872
SRR1779736	GM12878	0.901
SRR1779734	GM12878	0.892
SRR1779738	GM12878	0.88
SRR1779740	GM12878	0.601
SRR1779737	GM12878	0.868
SRR1779742	GM12878	0.901
SRR1779743	GM12878	0.899
SRR1779744	GM12878	0.876
SRR1779741	GM12878	0.815
SRR1779745	GM12878	0.905
SRR1779746	GM12878	0.888
SRR1779747	GM12878	0.874
SRR1779749	GM12878	0.874
SRR1779750	GM12878	0.877
SRR1779752	GM12878	0.885
SRR1779753	GM12878	0.907
SRR1779751	GM12878	0.88
SRR1779754	GM12878	0.868
SRR1779756	GM12878	0.868
SRR1779755	GM12878	0.902
SRR1779757	GM12878	0.903
SRR1779759	GM12878	0.829
SRR1779762	GM12878	0.883
SRR1779761	GM12878	0.844
SRR1779760	GM12878	0.859
SRR1779763	GM12878	0.842
SRR1779765	GM12878	0.872
SRR1779764	GM12878	0.791
SRR1779766	GM12878	0.834
SRR1779768	GM12878	0.868
SRR1779767	GM12878	0.895
SRR1779769	GM12878	0.892
SRR1779771	GM12878	0.874
SRR1779770	GM12878	0.908
SRR1779772	GM12878	0.904
SRR1779774	GM12878	0.898
SRR1779776	GM12878	0.874
SRR1779777	GM12878	0.741
SRR1779780	GM12878	0.895
SRR1779781	GM12878	0.835
SRR1779782	GM12878	0.89
SRR1779779	GM12878	0.905
SRR1779783	GM12878	0.874
SRR1779784	GM12878	0.843
SRR1779785	GM12878	0.901
SRR1779788	GM12878	0.828
SRR1779787	GM12878	0.895
SRR1779789	GM12878	0.89
SRR1779790	GM12878	0.884
SRR1779792	GM12878	0.827
SRR1779791	GM12878	0.805
SRR1779793	GM12878	0.911
SRR1779794	GM12878	0.866
SRR1779796	GM12878	0.885
SRR1779795	GM12878	0.906
SRR1779797	GM12878	0.83
SRR1779798	GM12878	0.906
SRR1779799	GM12878	0.872
SRR1779800	GM12878	0.891
SRR1779801	GM12878	0.874
SRR1779802	GM12878	0.883
SRR1779803	GM12878	0.838
SRR1779804	GM12878	0.899
SRR1779806	GM12878	0.905
SRR1779805	GM12878	0.892
SRR1779808	GM12878	0.884
SRR1779809	GM12878	0.885
SRR1779811	GM12878	0.8
SRR1779810	GM12878	0.908
SRR1779813	GM12878	0.893
SRR1779812	GM12878	0.897
SRR1779814	GM12878	0.887
SRR1779815	GM12878	0.886
SRR1779816	GM12878	0.851
SRR1779817	GM12878	0.889
SRR1779819	GM12878	0.856
SRR1779820	GM12878	0.908
SRR1779807	GM12878	0.891
SRR1779822	GM12878	0.833
SRR1779821	GM12878	0.877
SRR1779818	GM12878	0.893
SRR1779823	GM12878	0.882
SRR1779824	GM12878	0.846
SRR1779825	GM12878	0.906
SRR1779828	GM12878	0.903
SRR1779826	GM12878	0.884
SRR1779827	GM12878	0.882
SRR1779829	GM12878	0.819
SRR1779830	GM12878	0.911
SRR1779833	GM12878	0.875
SRR1779831	GM12878	0.86
SRR1779832	GM12878	0.909
SRR1779834	GM12878	0.891
SRR1779835	GM12878	0.894
SRR1779836	GM12878	0.885
SRR1779837	GM12878	0.882
SRR1779839	GM12878	0.902
SRR1779841	GM12878	0.751
SRR1779842	GM12878	0.899
SRR1779838	GM12878	0.881
SRR1779840	GM12878	0.908
SRR1779843	GM12878	0.895
SRR1779844	GM12878	0.907
SRR1779846	GM12878	0.906
SRR1779848	GM12878	0.89
SRR1779845	GM12878	0.877
SRR1779849	GM12878	0.879
SRR1779847	GM12878	0.896
SRR1779850	GM12878	0.882
SRR1779851	GM12878	0.89
SRR1779852	GM12878	0.905
SRR1779853	GM12878	0.901
SRR1779855	GM12878	0.882
SRR1779854	GM12878	0.896
SRR1779857	GM12878	0.652
SRR1779858	GM12878	0.903
SRR1779859	GM12878	0.881
SRR1779861	GM12878	0.901
SRR1779866	GM12878	0.893
SRR1779863	GM12878	0.9
