Runs	CellType	AUPR
SRR1781219	BJ	0.374
SRR1781222	BJ	0.286
SRR1781220	BJ	0.34
SRR1781221	BJ	0.36
SRR1781223	BJ	0.296
SRR1781224	BJ	0.225
SRR1781226	BJ	0.3
SRR1781227	BJ	0.338
SRR1781229	BJ	0.321
SRR1781228	BJ	0.378
SRR1781231	BJ	0.354
SRR1781233	BJ	0.335
SRR1781234	BJ	0.37
SRR1781235	BJ	0.305
SRR1781232	BJ	0.211
SRR1781237	BJ	0.248
SRR1781238	BJ	0.354
SRR1781239	BJ	0.296
SRR1781241	BJ	0.38
SRR1781243	BJ	0.382
SRR1781244	BJ	0.291
SRR1781245	BJ	0.368
SRR1781246	BJ	0.314
SRR1781250	BJ	0.406
SRR1781249	BJ	0.328
SRR1781253	BJ	0.305
SRR1781254	BJ	0.363
SRR1781255	BJ	0.386
SRR1781257	BJ	0.351
SRR1781260	BJ	0.316
SRR1781263	BJ	0.303
SRR1781261	BJ	0.301
SRR1781251	BJ	0.205
SRR1781264	BJ	0.387
SRR1781265	BJ	0.237
SRR1781266	BJ	0.367
SRR1781256	BJ	0.31
SRR1781269	BJ	0.345
SRR1781259	BJ	0.346
SRR1781271	BJ	0.312
SRR1781270	BJ	0.39
SRR1781273	BJ	0.313
SRR1781272	BJ	0.375
SRR1781274	BJ	0.387
SRR1781277	BJ	0.223
SRR1781276	BJ	0.374
SRR1781278	BJ	0.365
SRR1781279	BJ	0.345
SRR1781280	BJ	0.339
SRR1781282	BJ	0.28
SRR1781281	BJ	0.348
SRR1781283	BJ	0.205
SRR1781284	BJ	0.265
SRR1781285	BJ	0.268
SRR1781287	BJ	0.29
SRR1781286	BJ	0.39
SRR1781288	BJ	0.321
SRR1781291	BJ	0.382
SRR1781290	BJ	0.299
SRR1781292	BJ	0.313
SRR1781294	BJ	0.404
SRR1781293	BJ	0.389
SRR1781296	BJ	0.313
SRR1781297	BJ	0.306
SRR1781295	BJ	0.399
SRR1781298	BJ	0.355
SRR1781300	BJ	0.347
SRR1781299	BJ	0.302
SRR1781301	BJ	0.291
SRR1781303	BJ	0.347
SRR1781305	BJ	0.454
SRR1781306	BJ	0.358
SRR1781308	BJ	0.31
SRR1781314	BJ	0.313
SRR1781309	BJ	0.2
SRR1781310	BJ	0.34
SRR1781312	BJ	0.269
SRR1781311	BJ	0.337
SRR1781313	BJ	0.252
SRR1779683	GM12878	0.334
SRR1779685	GM12878	0.276
SRR1779686	GM12878	0.298
SRR1779688	GM12878	0.27
SRR1779687	GM12878	0.276
SRR1779690	GM12878	0.323
SRR1779689	GM12878	0.28
SRR1779691	GM12878	0.261
SRR1779693	GM12878	0.263
SRR1779694	GM12878	0.292
SRR1779692	GM12878	0.261
SRR1779695	GM12878	0.271
SRR1779696	GM12878	0.255
SRR1779698	GM12878	0.258
SRR1779701	GM12878	0.258
SRR1779702	GM12878	0.257
SRR1779704	GM12878	0.25
SRR1779705	GM12878	0.278
SRR1779706	GM12878	0.252
SRR1779708	GM12878	0.264
SRR1779707	GM12878	0.315
SRR1779709	GM12878	0.339
SRR1779711	GM12878	0.263
SRR1779712	GM12878	0.343
SRR1779713	GM12878	0.316
SRR1779715	GM12878	0.479
SRR1779714	GM12878	0.423
SRR1779710	GM12878	0.343
SRR1779716	GM12878	0.323
SRR1779717	GM12878	0.33
SRR1779718	GM12878	0.379
SRR1779719	GM12878	0.347
SRR1779722	GM12878	0.341
SRR1779724	GM12878	0.292
SRR1779723	GM12878	0.291
SRR1779729	GM12878	0.298
SRR1779731	GM12878	0.298
SRR1779728	GM12878	0.257
SRR1779732	GM12878	0.328
SRR1779721	GM12878	0.301
SRR1779733	GM12878	0.445
SRR1779735	GM12878	0.278
SRR1779736	GM12878	0.315
SRR1779734	GM12878	0.326
SRR1779738	GM12878	0.319
SRR1779740	GM12878	0.247
SRR1779737	GM12878	0.271
SRR1779742	GM12878	0.381
SRR1779743	GM12878	0.352
SRR1779744	GM12878	0.307
SRR1779741	GM12878	0.268
SRR1779745	GM12878	0.404
SRR1779746	GM12878	0.352
SRR1779747	GM12878	0.284
SRR1779749	GM12878	0.348
SRR1779750	GM12878	0.312
SRR1779752	GM12878	0.3
SRR1779753	GM12878	0.35
SRR1779751	GM12878	0.315
SRR1779754	GM12878	0.269
SRR1779756	GM12878	0.277
SRR1779755	GM12878	0.349
SRR1779757	GM12878	0.331
SRR1779759	GM12878	0.253
SRR1779762	GM12878	0.296
SRR1779761	GM12878	0.253
SRR1779760	GM12878	0.26
SRR1779763	GM12878	0.262
SRR1779765	GM12878	0.271
SRR1779764	GM12878	0.251
SRR1779766	GM12878	0.254
SRR1779768	GM12878	0.269
SRR1779767	GM12878	0.321
SRR1779769	GM12878	0.465
SRR1779771	GM12878	0.275
SRR1779770	GM12878	0.352
SRR1779772	GM12878	0.344
SRR1779774	GM12878	0.339
SRR1779776	GM12878	0.29
SRR1779777	GM12878	0.255
SRR1779780	GM12878	0.357
SRR1779781	GM12878	0.262
SRR1779782	GM12878	0.331
SRR1779779	GM12878	0.351
