Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-5.77887995128544	-8.41503354244153	H1-ESC	20278
SRR1779588	-5.29011518840702	-7.19242831401746	H1-ESC	2078
SRR1779589	-6.87203628902348	-10.6855022542946	H1-ESC	111022
SRR1779590	-5.50352222804936	-8.33217068843763	H1-ESC	14420
SRR1779591	-5.12092072849186	-6.91146489314954	H1-ESC	2492
SRR1779592	-5.14680702571781	-8.91254445247571	H1-ESC	57986
SRR1779593	-5.33269579296025	-7.22768326930921	H1-ESC	17374
SRR1779594	-6.70451862697514	-10.8933317296974	H1-ESC	80170
SRR1779595	-5.40897161846073	-7.67796727352063	H1-ESC	6992
SRR1779596	-6.13302547817143	-9.5700027578346	H1-ESC	32936
SRR1779597	-5.19492704753788	-7.08065053157727	H1-ESC	3712
SRR1779598	-6.08103020076664	-8.65739461116712	H1-ESC	27526
SRR1779599	-6.78386051540287	-10.9567005269996	H1-ESC	99860
SRR1779600	-5.89729244594487	-8.72246667079847	H1-ESC	30034
SRR1779601	-5.08144004230412	-6.97552987270276	H1-ESC	2674
SRR1779602	-5.28643352870854	-8.87818261318128	H1-ESC	28536
SRR1779603	-6.11402399425419	-8.85209389858167	H1-ESC	28316
SRR1779604	-5.80454761867436	-8.63100835018079	H1-ESC	18564
SRR1779605	-5.14122707729252	-6.91074677638929	H1-ESC	5576
SRR1779606	-4.78495843295964	-7.01338215999524	H1-ESC	3654
SRR1779607	-5.59334261302861	-9.19672700099866	H1-ESC	48464
SRR1779608	-5.74717266445072	-9.4200832479469	H1-ESC	22884
SRR1779609	-6.75028498058232	-10.9222881429664	H1-ESC	108634
SRR1779610	-5.38107330684574	-7.07121344737928	H1-ESC	9168
SRR1779611	-5.94844658260258	-8.58153840236585	H1-ESC	25770
SRR1779612	-5.29368240718754	-9.06127949886243	H1-ESC	42362
SRR1779613	-6.67515070323857	-10.7778999441139	H1-ESC	67456
SRR1779614	-5.90313179378422	-9.3164045446388	H1-ESC	34270
SRR1779615	-6.14397079830082	-8.94766350917737	H1-ESC	37890
SRR1779616	-6.07606060390385	-9.51516743831556	H1-ESC	34098
SRR1779617	-6.81149227504643	-10.3724043004982	H1-ESC	92724
SRR1779618	-5.99963076000126	-9.33278771572034	H1-ESC	61894
SRR1779619	-5.6488321531287	-8.43834420375745	H1-ESC	18690
SRR1779620	-5.26411754970463	-9.12893887691419	H1-ESC	43356
SRR1779621	-5.97309095744999	-9.22361870937269	H1-ESC	35972
SRR1779622	-5.54804642085942	-8.03056546382825	H1-ESC	7470
SRR1779623	-6.09805710201176	-9.34081956081311	H1-ESC	47810
SRR1779624	-5.02052504901799	-6.95122166805188	H1-ESC	4302
SRR1779625	-6.80701143627079	-10.3322670095436	H1-ESC	86928
SRR1779626	-6.16474134807499	-9.02486153774183	H1-ESC	60018
