Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-1.08700387017327	9.88461832542374	H1-ESC	20278
SRR1779588	-2.32113440172272	10.8108439876552	H1-ESC	2078
SRR1779589	-0.309012605114749	-5.06687970619247	H1-ESC	111022
SRR1779590	-0.741948796673586	10.0087867214198	H1-ESC	14420
SRR1779591	-1.93741155998307	10.7178864910121	H1-ESC	2492
SRR1779592	-0.442898942395022	10.2142405941005	H1-ESC	57986
SRR1779593	0.0421623454849218	9.70075563926651	H1-ESC	17374
SRR1779594	-0.294592453404238	-4.93786378364608	H1-ESC	80170
SRR1779595	-0.39567430154877	10.0850034191127	H1-ESC	6992
SRR1779596	-0.237766577168276	9.59063868064835	H1-ESC	32936
SRR1779597	-0.69036914245682	10.2851500942226	H1-ESC	3712
SRR1779598	-0.48236657516556	10.1741538478847	H1-ESC	27526
SRR1779599	-0.401700211926272	-5.02555938224838	H1-ESC	99860
SRR1779600	-0.404499365254214	9.79787878532364	H1-ESC	30034
SRR1779601	-2.29897542135315	10.8473792507167	H1-ESC	2674
SRR1779602	-0.35382790700989	9.92314104576066	H1-ESC	28536
SRR1779603	-0.920221103592684	9.55688433189347	H1-ESC	28316
SRR1779604	-0.349193288250735	9.87994627494767	H1-ESC	18564
SRR1779605	-2.39402700798111	10.8605122997279	H1-ESC	5576
SRR1779606	-2.50934894220429	10.9262414409633	H1-ESC	3654
SRR1779607	-0.734641088410189	9.61381105918839	H1-ESC	48464
SRR1779608	-0.504957868023684	9.73048929710343	H1-ESC	22884
SRR1779609	-0.3561950458725	-4.98946090202377	H1-ESC	108634
SRR1779610	-1.03212945000725	10.0022178127284	H1-ESC	9168
SRR1779611	-0.768607331677249	9.92122988243058	H1-ESC	25770
SRR1779612	-0.174295379086306	9.69947866935685	H1-ESC	42362
SRR1779613	-0.425071610375216	-5.09497066001937	H1-ESC	67456
SRR1779614	-0.702023936672976	9.62693743247941	H1-ESC	34270
SRR1779615	-0.341252638264468	9.06688837547257	H1-ESC	37890
SRR1779616	-0.665793134136965	9.53740076560929	H1-ESC	34098
SRR1779617	-0.436386717720797	-4.38027329902694	H1-ESC	92724
SRR1779618	-0.425615621968081	9.14974932212784	H1-ESC	61894
SRR1779619	-0.324218822880557	10.0304246379848	H1-ESC	18690
SRR1779620	0.106615470484922	9.05471567649796	H1-ESC	43356
SRR1779621	-0.810371829434207	9.74703554649308	H1-ESC	35972
SRR1779622	-1.34380769567089	10.188559098434	H1-ESC	7470
SRR1779623	-0.789893878861239	9.42859129447892	H1-ESC	47810
SRR1779624	-2.21430136100846	10.6730924083705	H1-ESC	4302
SRR1779625	-0.352148367329409	-4.29702945213363	H1-ESC	86928
SRR1779626	-0.624994172020724	9.52229265708878	H1-ESC	60018
SRR1779627	-0.341258002682498	9.08898977775528	H1-ESC	34098
SRR1779628	-0.152199460430911	9.02636198539689	H1-ESC	48278
SRR1779629	-1.00195400254326	10.2211690380092	H1-ESC	23732
SRR1779630	-0.681279791756442	9.45962194938614	H1-ESC	27624
SRR1779631	-0.299729777737429	-4.76210589866683	H1-ESC	75558
SRR1779632	-0.643367124958804	9.8335147335048	H1-ESC	32644
SRR1779633	-1.95822496549683	10.6069169475551	H1-ESC	2512
SRR1779634	0.0553659663955663	9.13483290214493	H1-ESC	28062
SRR1779635	-0.45936955349045	-4.48003478508041	H1-ESC	125940
SRR1779636	-2.28485585586624	10.7744765712734	H1-ESC	2428
SRR1779637	0.172456668452451	9.46705584068253	H1-ESC	22802
SRR1779638	-0.444080008431246	9.98118547935441	H1-ESC	23858
SRR1779639	0.10810463292999	8.81513361473038	H1-ESC	67592
SRR1779640	-0.768323315544894	9.54186300773575	H1-ESC	33170
SRR1779641	-2.2080496086319	10.7154031230922	H1-ESC	2478
SRR1779642	-0.364012671871951	9.21438936729386	H1-ESC	53438
SRR1779643	-2.40528143779831	10.6832471324916	H1-ESC	2340
SRR1779644	-1.66750959889488	10.4691806270595	H1-ESC	41426
SRR1779645	-1.83245165483551	10.5656609966274	H1-ESC	3384
SRR1779646	-0.00307221548156988	8.88309626121476	H1-ESC	54350
SRR1779647	-0.447121693058779	9.45705179710343	H1-ESC	26602
SRR1779648	-2.40245415107804	10.8463178112025	H1-ESC	3516
SRR1779649	-0.512339426441958	9.20164637107804	H1-ESC	31300
SRR1779650	-0.594277573986819	9.62232641715958	H1-ESC	75588
SRR1779651	-1.98770631687241	10.5947633220668	H1-ESC	2504
SRR1779652	-1.799626572295	10.6661220027919	H1-ESC	6474
SRR1779653	-0.49707741872864	9.83799509544327	H1-ESC	37982
SRR1779654	-0.0654038919647242	9.76300100822403	H1-ESC	39682
SRR1779655	-0.293251110478213	9.82701735038712	H1-ESC	18088
SRR1779656	0.0310707555572485	9.65769247550919	H1-ESC	8184
SRR1779657	0.119127319888303	9.25958399314835	H1-ESC	34490
SRR1779658	-0.382557941838076	-4.15297694664047	H1-ESC	382594
SRR1779660	-0.769101394577792	9.95017485160782	H1-ESC	21176
SRR1779661	-0.245639516278079	-4.85556216697738	H1-ESC	60386
SRR1779662	0.148343967036435	9.28572992820694	H1-ESC	28106
SRR1779663	-0.303464723988345	-4.7339434192662	H1-ESC	162848
SRR1779664	0.0965599284927343	9.5690875484462	H1-ESC	14158
SRR1779665	-0.360725118084719	-4.88556905250595	H1-ESC	163584
SRR1779666	-0.0438844694335963	9.00947241325333	H1-ESC	59632
SRR1779667	-0.328775478764346	-4.95179505806014	H1-ESC	71168
SRR1779668	-1.50573133514719	10.2959247066493	H1-ESC	4566
SRR1779669	-0.386494113369753	9.7885928585048	H1-ESC	27120
SRR1779670	0.0773491130630468	9.06229834098771	H1-ESC	57292
SRR1779671	-2.08429165021973	10.6623626186366	H1-ESC	4354
SRR1779672	-2.25735618011551	10.7609153224941	H1-ESC	4024
SRR1779673	-0.316228701039126	-4.78190083961532	H1-ESC	79188
SRR1779674	-0.944641573591998	9.69314627189591	H1-ESC	25328
SRR1779675	0.0839754806320165	8.79894403953507	H1-ESC	71044
SRR1779676	-0.382429076596072	-4.57405133705184	H1-ESC	169854
SRR1779677	-2.17845566408234	10.7681136562343	H1-ESC	9360
SRR1779678	-0.367828084393313	-4.52094264488265	H1-ESC	61836
SRR1779679	-0.415010644360354	10.1029630138393	H1-ESC	52192
SRR1779680	-0.395667864247134	9.62634520072892	H1-ESC	46962
SRR1779681	-0.521542443199923	9.71554331321671	H1-ESC	47442
SRR1779682	-0.287784530087283	-4.85258813362167	H1-ESC	80298
SRR1779683	8.5119028554718	1.60917691726639	GM12878	20872
SRR1779685	8.85506920679016	5.60673098106339	GM12878	6832
SRR1779686	8.34084324701233	5.49902824897721	GM12878	17310
SRR1779687	7.90784745080871	5.76519922752335	GM12878	6252
SRR1779688	8.4021730886261	6.23748688240006	GM12878	20450
SRR1779689	7.27269844873352	3.46173457641556	GM12878	319654
SRR1779690	8.21479420526428	5.66586021919205	GM12878	26550
SRR1779691	8.22440247400207	5.49242119331315	GM12878	3524
SRR1779692	8.08585648401184	5.53338627357438	GM12878	5882
SRR1779693	8.17802719934387	5.91217426795914	GM12878	7210
SRR1779694	7.98705201013489	2.90506891746476	GM12878	57618
SRR1779695	8.5367527471344	6.18236259956315	GM12878	5088
SRR1779696	7.78396897180481	4.87469295997574	GM12878	3322
SRR1779698	8.02759079797668	5.47373060722306	GM12878	5286
SRR1779701	7.855885552005	5.13212208290055	GM12878	4128
SRR1779702	7.50326256616516	4.28384880561783	GM12878	4210
SRR1779704	7.69994549615783	4.75219635505631	GM12878	2384
SRR1779705	8.01779942377014	5.18021921653702	GM12878	7010
SRR1779706	7.75574593408508	4.66801886100724	GM12878	2358
SRR1779707	8.27260498865051	3.38611893196061	GM12878	13416
SRR1779708	8.06741623742981	5.3363314105983	GM12878	4924
SRR1779709	9.2653322683136	5.59075645942643	GM12878	27398
SRR1779710	8.41275315149231	3.42255048294022	GM12878	29856
SRR1779711	7.47996048791809	4.07476572532609	GM12878	7764
SRR1779712	9.48145298822326	5.48704628486588	GM12878	35578
SRR1779713	8.70802979333801	6.0440574123378	GM12878	19588
SRR1779714	10.3540792928497	0.662955029201055	GM12878	66000
SRR1779715	11.224818276004	2.36642555732682	GM12878	86924
SRR1779716	8.93104653222961	6.20758633155778	GM12878	19998
SRR1779717	9.23422722680969	5.91565947074845	GM12878	30198
SRR1779718	8.87515168054504	3.08287624854996	GM12878	25252
SRR1779719	9.39890580041809	5.78422216911271	GM12878	44154
SRR1779721	8.05077652795715	5.28315548438981	GM12878	12128
SRR1779722	8.85826687677307	6.15380672950699	GM12878	23462
SRR1779723	8.4335165487091	3.38559965629532	GM12878	15598
SRR1779724	8.4034872518341	4.81556562919571	GM12878	15130
SRR1779728	7.94448189599914	5.41123442192032	GM12878	4782
SRR1779729	8.38848786218567	5.20126776237443	GM12878	15500
SRR1779731	8.65550618036194	5.83767513771012	GM12878	14052
SRR1779732	9.10695748193664	5.93044952888444	GM12878	20436
SRR1779733	10.7506237493317	2.48314981002762	GM12878	90704
SRR1779734	9.30820374353332	5.56290487785294	GM12878	21398
SRR1779735	8.10180764062805	5.77912096519425	GM12878	11172
SRR1779736	8.48752503259582	4.01971249122574	GM12878	16966
SRR1779737	8.22546009881897	5.41508154411271	GM12878	5750
SRR1779738	9.00318055017395	6.27556900520279	GM12878	27408
SRR1779740	5.2105432019989	2.53093461532547	GM12878	31662
SRR1779741	7.51585869653625	3.14122252006485	GM12878	84506
SRR1779742	9.16113858087463	5.45201830406144	GM12878	28580
SRR1779743	9.41432862146301	5.25099567909195	GM12878	34622
SRR1779744	8.3684006200592	6.15945677299454	GM12878	14960
SRR1779745	11.0867557988922	2.6342206432338	GM12878	51442
SRR1779746	9.24289231164856	5.98507551689103	GM12878	29942
SRR1779747	8.06719307763977	5.97973446388199	GM12878	9156
SRR1779749	7.74524025781555	2.65122870941117	GM12878	24210
SRR1779750	7.86327748163147	2.71238450546219	GM12878	16076
SRR1779751	8.57877259118957	6.1163459255214	GM12878	16618
SRR1779752	8.41231350763244	5.17040400047257	GM12878	13124
SRR1779753	9.15334610803528	3.65988831062272	GM12878	34126
SRR1779754	8.224857376651	5.82623629112198	GM12878	4816
SRR1779755	8.72873024804992	3.63067392845109	GM12878	24890
SRR1779756	7.88419632776184	2.8615680171962	GM12878	4944
SRR1779757	9.59263710840149	5.07787518043473	GM12878	29568
SRR1779759	8.19568066461487	5.3749924137111	GM12878	2228
SRR1779760	7.84406285150451	5.3065987064357	GM12878	3794
SRR1779761	7.98821167810364	5.47388557929947	GM12878	2292
SRR1779762	8.53286175592346	5.69628099937394	GM12878	14242
SRR1779763	8.26101403100891	5.7448916866298	GM12878	5566
SRR1779764	7.38282685144348	3.68862680931046	GM12878	3254
SRR1779765	7.95739941461487	5.75200562019303	GM12878	5746
SRR1779766	8.03383545740051	4.60203270454361	GM12878	3496
SRR1779767	8.5120888219635	3.23307232398942	GM12878	27698
SRR1779768	8.28132729394836	5.98817495841935	GM12878	7904
SRR1779769	9.36132149560852	1.66137735385849	GM12878	72358
SRR1779770	9.72778324945373	3.64288048286393	GM12878	39966
SRR1779771	8.09557537897033	5.53272823829606	GM12878	9900
SRR1779772	9.34610657556457	5.09167437095597	GM12878	22558
SRR1779774	9.14542775018615	5.57042269248917	GM12878	28102
SRR1779776	8.42205624444885	5.7916593982692	GM12878	9510
SRR1779777	6.59393887384338	3.03418664474442	GM12878	4054
