Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	2.01010518874882	1.41884346042145	H1-ESC	20278
SRR1779588	1.32379036750553	1.88359565768707	H1-ESC	2078
SRR1779589	1.53120427932499	1.25021250281799	H1-ESC	111022
SRR1779590	2.13328867759464	1.2763731006192	H1-ESC	14420
SRR1779591	0.757357295415382	6.82811624075352e-07	H1-ESC	2492
SRR1779592	1.81913786735294	1.19063158069122	H1-ESC	57986
SRR1779593	1.66178947295902	1.33871645961273	H1-ESC	17374
SRR1779594	1.98658781852482	1.47084791694153	H1-ESC	80170
SRR1779595	1.93961220588444	1.84392161403168	H1-ESC	6992
SRR1779596	2.07022767867802	1.27869160209168	H1-ESC	32936
SRR1779597	1.6539567073798	1.72973842654694	H1-ESC	3712
SRR1779598	1.73871618118046	1.60001452002991	H1-ESC	27526
SRR1779599	1.41135698165653	1.22434372935761	H1-ESC	99860
SRR1779600	1.55787568893192	1.22062034640778	H1-ESC	30034
SRR1779601	1.16935544814823	1.92736883197296	H1-ESC	2674
SRR1779602	1.8687992652869	1.68932755027283	H1-ESC	28536
SRR1779603	1.43244295921085	1.60835201774109	H1-ESC	28316
SRR1779604	1.69510846938847	1.13020081553925	H1-ESC	18564
SRR1779605	1.61351781692265	1.83016915355194	H1-ESC	5576
SRR1779606	1.02128284778355	1.44129211936463	H1-ESC	3654
SRR1779607	1.82882600631474	1.49500412974823	H1-ESC	48464
SRR1779608	1.8639426788306	1.19862492118347	H1-ESC	22884
SRR1779609	1.69169526901005	1.73021669421662	H1-ESC	108634
SRR1779610	1.78372221793888	1.56810612712372	H1-ESC	9168
SRR1779611	2.06870561446903	1.43824846778381	H1-ESC	25770
SRR1779612	2.20233445968388	1.33862156901825	H1-ESC	42362
SRR1779613	1.53054004516361	1.30269546542633	H1-ESC	67456
SRR1779614	2.05194121207951	1.35087556872833	H1-ESC	34270
SRR1779615	2.2596262058234	1.69375712905396	H1-ESC	37890
SRR1779616	1.99252968635319	1.2262935164975	H1-ESC	34098
SRR1779617	2.07742744292973	1.48267288241852	H1-ESC	92724
SRR1779618	1.72493034209965	1.84819979701508	H1-ESC	61894
SRR1779619	1.41261010970829	1.67723400626648	H1-ESC	18690
SRR1779620	2.13419395293949	1.31039674315918	H1-ESC	43356
SRR1779621	1.82312231864689	1.59309167895783	H1-ESC	35972
SRR1779622	1.93570452537296	1.47757513556946	H1-ESC	7470
SRR1779623	1.78617864455936	1.64497132335175	H1-ESC	47810
SRR1779624	1.756803806684	1.67980022464264	H1-ESC	4302
SRR1779625	1.82641964759586	1.74844129119385	H1-ESC	86928
SRR1779626	1.68850999679325	1.56139547858704	H1-ESC	60018
SRR1779627	1.30698996391056	1.4191748622464	H1-ESC	34098
SRR1779628	2.15295916404484	1.59701318774689	H1-ESC	48278
SRR1779629	1.8611522277808	1.15372128520477	H1-ESC	23732
SRR1779630	1.86516266669987	1.30034120116699	H1-ESC	27624
SRR1779631	1.86961894836185	1.05481154952515	H1-ESC	75558
SRR1779632	1.66020589675663	1.63011701140869	H1-ESC	32644
SRR1779633	1.2965336402869	1.75820548568237	H1-ESC	2512
SRR1779634	1.33222084846256	1.76038725409973	H1-ESC	28062
SRR1779635	1.79106860961674	1.25885732207764	H1-ESC	125940
SRR1779636	1.13752919044254	1.258477878909	H1-ESC	2428
SRR1779637	1.97859364356754	1.6607657197522	H1-ESC	22802
SRR1779638	1.88278847541569	1.52392239604462	H1-ESC	23858
SRR1779639	1.97099619712589	1.57268626723755	H1-ESC	67592
SRR1779640	2.08976512756107	1.48534817729462	H1-ESC	33170
SRR1779641	1.02044897880314	1.61730308566559	H1-ESC	2478
SRR1779642	1.84351449813602	1.25832123790253	H1-ESC	53438
SRR1779643	0.914352591893654	1.35191590819824	H1-ESC	2340
SRR1779644	0.97933476772068	1.41561181579102	H1-ESC	41426
SRR1779645	0.979200538060646	1.25802524123657	H1-ESC	3384
SRR1779646	1.49521380271671	1.41257209811676	H1-ESC	54350
SRR1779647	2.01599770393131	0.782052469591981	H1-ESC	26602
SRR1779648	1.14639049377201	1.00498981509674	H1-ESC	3516
SRR1779649	1.97939711417912	1.29316849742401	H1-ESC	31300
SRR1779650	1.89678006973026	1.03537161384094	H1-ESC	75588
SRR1779651	0.882223065755348	1.23252434764374	H1-ESC	2504
SRR1779652	0.812354739568214	1.0394026759671	H1-ESC	6474
SRR1779653	1.56541257705448	1.46131355796326	H1-ESC	37982
SRR1779654	1.76463847961185	1.27808351550568	H1-ESC	39682
SRR1779655	1.5943236907935	0.995679927210695	H1-ESC	18088
SRR1779656	1.39545470084904	0.577589822153932	H1-ESC	8184
SRR1779657	2.01137953605412	1.31685490642059	H1-ESC	34490
SRR1779658	1.67384105529545	1.15910501513947	H1-ESC	382594
SRR1779660	1.52930479850529	1.53747518096436	H1-ESC	21176
SRR1779661	1.80068450774906	1.57828326259125	H1-ESC	60386
SRR1779662	1.15873246993778	1.54983539615143	H1-ESC	28106
SRR1779663	1.73825412597416	1.41588671241272	H1-ESC	162848
SRR1779664	1.6158605178809	1.02153868709076	H1-ESC	14158
SRR1779665	1.4651618560767	1.38469417129028	H1-ESC	163584
SRR1779666	1.5544214805579	1.05654473338593	H1-ESC	59632
SRR1779667	0.490927751920204	1.53018779788483	H1-ESC	71168
SRR1779668	2.40039473380802	1.62246198688019	H1-ESC	4566
SRR1779669	1.69876199569462	1.39304132495392	H1-ESC	27120
SRR1779670	1.90303307380436	0.996767235140688	H1-ESC	57292
SRR1779671	1.51852041091679	1.29958803687561	H1-ESC	4354
SRR1779672	1.82066613044498	1.97373027835358	H1-ESC	4024
SRR1779673	1.73847490157841	1.00418050322998	H1-ESC	79188
SRR1779674	2.22414522971867	1.73666424785126	H1-ESC	25328
SRR1779675	2.15736585464237	1.66366250548828	H1-ESC	71044
SRR1779676	1.96364479865788	1.42313380275238	H1-ESC	169854
SRR1779677	2.17320304717777	1.68478150401581	H1-ESC	9360
SRR1779678	1.6824093421912	1.1018946889447	H1-ESC	61836
SRR1779679	1.72074490394352	0.995596957545168	H1-ESC	52192
SRR1779680	2.06258612479923	1.54945428405274	H1-ESC	46962
SRR1779681	1.95562678184269	1.18072993789185	H1-ESC	47442
SRR1779682	1.41251402702091	1.49010081325043	H1-ESC	80298
SRR1779683	-3.06798047218563	3.75083966289032	GM12878	20872
SRR1779685	-3.06604379806759	5.55328316722382	GM12878	6832
SRR1779686	-2.94307417068722	5.9463395598935	GM12878	17310
SRR1779687	-2.11978453788998	3.72316474948395	GM12878	6252
SRR1779688	-1.85236430559399	4.40240664515961	GM12878	20450
SRR1779689	-3.09190029297115	5.84254927669037	GM12878	319654
SRR1779690	-3.39325350914242	5.61490101848114	GM12878	26550
SRR1779691	-1.68175852689983	4.34388155971039	GM12878	3524
SRR1779692	-1.02610239777805	4.32752318416107	GM12878	5882
SRR1779693	-1.63422751817944	3.92092127833832	GM12878	7210
SRR1779694	-3.36727065239193	4.72733588252533	GM12878	57618
SRR1779695	-1.82413286361935	4.74753232036102	GM12878	5088
SRR1779696	-2.2121743598962	5.91577143702973	GM12878	3322
