Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-1.78723468098328	0.569678730790555	H1-ESC	20278
SRR1779588	0.0204592512221579	0.263200468842923	H1-ESC	2078
SRR1779589	-2.64154793533966	-0.392186277086795	H1-ESC	111022
SRR1779590	-1.05180801663086	0.171481199090421	H1-ESC	14420
SRR1779591	-0.775243299338078	0.717264480416715	H1-ESC	2492
SRR1779592	-0.0753147027222868	-1.46366228955513	H1-ESC	57986
SRR1779593	-0.486502366396641	-0.816017501528323	H1-ESC	17374
SRR1779594	-2.6419673136203	-0.448855512316287	H1-ESC	80170
SRR1779595	1.45738051619842	3.04183370572799	H1-ESC	6992
SRR1779596	-2.53444005760834	-0.635701679165423	H1-ESC	32936
SRR1779597	0.864110452798152	1.92354399663681	H1-ESC	3712
SRR1779598	1.0966492721112	3.07959491712326	H1-ESC	27526
SRR1779599	-2.67981983933136	-0.220043652231753	H1-ESC	99860
SRR1779600	-0.229426788422322	-0.57505827444321	H1-ESC	30034
SRR1779601	-0.593194501730656	0.464840478722989	H1-ESC	2674
SRR1779602	-2.18340350899384	-0.135094754869998	H1-ESC	28536
SRR1779603	-1.66674448761628	-0.920524202759326	H1-ESC	28316
SRR1779604	1.84620497908905	2.64855153066391	H1-ESC	18564
SRR1779605	-0.315767275425648	0.170533842866361	H1-ESC	5576
SRR1779606	-0.346690612169957	0.573271341149747	H1-ESC	3654
SRR1779607	-2.49790694031403	-0.515401833231509	H1-ESC	48464
SRR1779608	-1.09069992813752	-0.776929520542682	H1-ESC	22884
SRR1779609	-2.56808759483979	-0.605714314158023	H1-ESC	108634
SRR1779610	1.11814842906311	3.12526256543869	H1-ESC	9168
SRR1779611	2.05084274497345	2.49088317853683	H1-ESC	25770
SRR1779612	-2.03969289574311	-1.0660958443833	H1-ESC	42362
SRR1779613	-2.40932633194611	-0.306829505140841	H1-ESC	67456
SRR1779614	-2.09474064621613	-0.168331794912875	H1-ESC	34270
SRR1779615	-1.74556161675141	-0.844504289801181	H1-ESC	37890
SRR1779616	-2.18474365982697	-0.110771470243991	H1-ESC	34098
SRR1779617	-2.79384519371674	-0.63204776542908	H1-ESC	92724
SRR1779618	-2.82093455109284	-0.77156826155907	H1-ESC	61894
SRR1779619	1.90940199580505	0.11916357976669	H1-ESC	18690
SRR1779620	-2.11046721253083	-0.309449725325168	H1-ESC	43356
SRR1779621	-1.88791467461274	-0.706083558971942	H1-ESC	35972
SRR1779622	1.98379276480987	2.41836101514572	H1-ESC	7470
SRR1779623	-1.95423986229584	-1.00947482186085	H1-ESC	47810
SRR1779624	-0.124684782954907	0.918920106713712	H1-ESC	4302
SRR1779625	-2.58833958420441	-0.757387720520556	H1-ESC	86928
SRR1779626	-2.60999585899994	-0.753992192919314	H1-ESC	60018
SRR1779627	-2.08667279991791	-1.09280166077143	H1-ESC	34098
SRR1779628	-2.25890518936799	-0.958781622822345	H1-ESC	48278
SRR1779629	-0.125791715714192	-1.02570824372298	H1-ESC	23732
SRR1779630	-1.14517833504364	-0.111490063841403	H1-ESC	27624
SRR1779631	-2.52785565170929	-0.36173903244263	H1-ESC	75558
SRR1779632	-2.17597724709198	-0.56169670122391	H1-ESC	32644
SRR1779633	0.110381507989908	0.64205975038284	H1-ESC	2512
SRR1779634	-1.99557234558747	-0.484743111307681	H1-ESC	28062
SRR1779635	-2.73866702828095	-0.650908552582324	H1-ESC	125940
SRR1779636	0.260268343356395	-0.119444422895968	H1-ESC	2428
SRR1779637	-1.27508689675019	-0.75596898096329	H1-ESC	22802
SRR1779638	-1.46771218094513	-0.4201773931337	H1-ESC	23858
SRR1779639	-2.50409271034882	-0.745979987556994	H1-ESC	67592
SRR1779640	-2.51887203964875	-0.606148414785922	H1-ESC	33170
SRR1779641	-0.472927289339757	0.349217004601895	H1-ESC	2478
SRR1779642	-2.47166778359101	-0.882456742699206	H1-ESC	53438
SRR1779643	-0.0445136225549932	0.301836795632779	H1-ESC	2340
SRR1779644	1.72175632205322	2.92144662839645	H1-ESC	41426
SRR1779645	0.583508236077571	0.871784276788175	H1-ESC	3384
SRR1779646	-2.80438567909882	-0.892727368052066	H1-ESC	54350
SRR1779647	-1.08716823372529	2.10791117650741	H1-ESC	26602
SRR1779648	-0.072153346869206	-0.502634339506686	H1-ESC	3516
SRR1779649	-2.07350732597992	-0.761663429911197	H1-ESC	31300
SRR1779650	-1.96777941498444	-0.388494186575473	H1-ESC	75588
SRR1779651	0.364392710593486	0.561311311547696	H1-ESC	2504
SRR1779652	0.465643627312923	1.30175334913009	H1-ESC	6474
SRR1779653	-2.3906462362735	-0.932416670496524	H1-ESC	37982
SRR1779654	-2.58757688316987	-0.842773370916903	H1-ESC	39682
SRR1779655	-0.509099262091374	-0.360722117598117	H1-ESC	18088
SRR1779656	-0.738967793318486	0.667316860978543	H1-ESC	8184
SRR1779657	-2.2545480898349	-0.495046727831424	H1-ESC	34490
SRR1779658	-2.52586652550385	-1.01714924025065	H1-ESC	382594
SRR1779660	0.945284349587703	0.366872496430814	H1-ESC	21176
SRR1779661	-2.49268748078034	-0.264689259703219	H1-ESC	60386
SRR1779662	-1.32915605816529	-1.04767583357817	H1-ESC	28106
SRR1779663	-2.22377802643464	-0.653610729153216	H1-ESC	162848
SRR1779664	-0.952012436720585	0.609056062524259	H1-ESC	14158
SRR1779665	-2.63098909172699	-0.491225652868808	H1-ESC	163584
SRR1779666	-2.46970440659211	-0.622758858377993	H1-ESC	59632
SRR1779667	0.817543251183772	-2.70691900747544	H1-ESC	71168
SRR1779668	0.805775983002925	0.0498477886366244	H1-ESC	4566
SRR1779669	-0.574199335905766	-0.56380783813721	H1-ESC	27120
SRR1779670	-2.47979475769684	-0.807622544939578	H1-ESC	57292
SRR1779671	0.228022007015491	-0.386009566958011	H1-ESC	4354
SRR1779672	0.859939975407863	-0.00498359697586337	H1-ESC	4024
SRR1779673	-2.4104650190799	-0.525106840307773	H1-ESC	79188
SRR1779674	-0.746531622740483	-1.29728619056469	H1-ESC	25328
SRR1779675	-2.63447524819062	-0.942426346714557	H1-ESC	71044
SRR1779676	-2.3130152395694	-0.775266163523257	H1-ESC	169854
SRR1779677	0.43781967249229	-0.0949308206391934	H1-ESC	9360
SRR1779678	-2.42043306145356	-0.647455059464038	H1-ESC	61836
SRR1779679	-1.11860133919404	-0.462685101206363	H1-ESC	52192
SRR1779680	-2.16043140206025	-0.49483685987717	H1-ESC	46962
