Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	4.88752598602787	-8.00652971766506	H1-ESC	20278
SRR1779588	-4.27273016135677	-0.417140870313982	H1-ESC	2078
SRR1779589	2.87211508591191	-8.59984293482814	H1-ESC	111022
SRR1779590	5.32369227249638	-8.49758711360012	H1-ESC	14420
SRR1779591	-3.85627846877559	-0.443949728231767	H1-ESC	2492
SRR1779592	4.66249461014286	-7.74624243281398	H1-ESC	57986
SRR1779593	4.94234223206059	-8.70410624049221	H1-ESC	17374
SRR1779594	3.10991425354496	-8.65868368647609	H1-ESC	80170
SRR1779595	-3.35623197715267	-0.856333165388445	H1-ESC	6992
SRR1779596	4.065055797887	-7.60295382044826	H1-ESC	32936
SRR1779597	-3.64294080893978	-0.551325111608843	H1-ESC	3712
SRR1779598	5.03632540543095	-8.15002241633449	H1-ESC	27526
SRR1779599	3.00965804893986	-8.55856028101955	H1-ESC	99860
SRR1779600	4.99313969452397	-8.39503279231105	H1-ESC	30034
SRR1779601	-3.90191798369869	-0.282653479795793	H1-ESC	2674
SRR1779602	4.13607640106694	-7.30312529109035	H1-ESC	28536
SRR1779603	4.52219099838749	-8.55206575892482	H1-ESC	28316
SRR1779604	5.26259798843876	-8.44041338465724	H1-ESC	18564
SRR1779605	-3.8270533577679	-0.508547692518572	H1-ESC	5576
SRR1779606	-4.18451194922908	-0.325685887556413	H1-ESC	3654
SRR1779607	4.17538065750615	-7.23500433466945	H1-ESC	48464
SRR1779608	4.71120924789921	-7.73141184351955	H1-ESC	22884
SRR1779609	2.88356609184758	-8.46143141291652	H1-ESC	108634
SRR1779610	-3.33204298179134	-0.937980084638933	H1-ESC	9168
SRR1779611	4.98790116150395	-8.61603060267482	H1-ESC	25770
SRR1779612	4.50102181274907	-7.73625937006984	H1-ESC	42362
SRR1779613	3.19986862976567	-8.65307798884426	H1-ESC	67456
SRR1779614	4.14828104813115	-7.22350969813381	H1-ESC	34270
SRR1779615	3.71959061462895	-8.33574572108303	H1-ESC	37890
SRR1779616	4.30875105698124	-7.32193174860988	H1-ESC	34098
