Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-11.6026439068754	9.87594753445364	H1-ESC	20278
SRR1779588	-12.4422149060209	9.7341809862969	H1-ESC	2078
SRR1779589	-8.24055665711951	9.21399933041311	H1-ESC	111022
SRR1779590	-10.5855101941068	9.37254959286428	H1-ESC	14420
SRR1779591	-11.8158873913724	9.47483020962453	H1-ESC	2492
SRR1779592	-10.5107421277006	9.53942257107473	H1-ESC	57986
SRR1779593	-8.49152845124793	9.39218860806203	H1-ESC	17374
SRR1779594	-8.20018666963172	9.16146427334524	H1-ESC	80170
SRR1779595	-9.78370565156531	9.27613979519582	H1-ESC	6992
SRR1779596	-10.2525605557401	9.81009250820852	H1-ESC	32936
SRR1779597	-12.2484721539457	9.92377620877004	H1-ESC	3712
SRR1779598	-11.2328585980375	9.22536235989309	H1-ESC	27526
SRR1779599	-8.14854425172401	9.15226417721487	H1-ESC	99860
SRR1779600	-9.40872663240028	9.3244433993218	H1-ESC	30034
SRR1779601	-11.9536151287992	9.87458854855276	H1-ESC	2674
SRR1779602	-11.3114690182645	9.50366264523244	H1-ESC	28536
SRR1779603	-9.38697999696326	10.0284562701104	H1-ESC	28316
SRR1779604	-10.1948251126249	9.29918152035451	H1-ESC	18564
SRR1779605	-12.5142163632352	9.73214203060842	H1-ESC	5576
SRR1779606	-12.049402177139	9.82934433163381	H1-ESC	3654
SRR1779607	-12.2644194958646	9.78385692776418	H1-ESC	48464
SRR1779608	-11.1657618878324	9.39159732998586	H1-ESC	22884
SRR1779609	-8.14402097444129	9.12093883694387	H1-ESC	108634
SRR1779610	-10.2905845044096	9.26583343685842	H1-ESC	9168
SRR1779611	-10.3358630536039	9.8549028033135	H1-ESC	25770
SRR1779612	-11.4907473919828	9.26788383663869	H1-ESC	42362
SRR1779613	-8.30050843934608	9.27677017391897	H1-ESC	67456
SRR1779614	-12.1865128872831	9.61086231411672	H1-ESC	34270
SRR1779615	-9.47283548097205	10.0546765917656	H1-ESC	37890
SRR1779616	-12.3565282223661	9.69268757046438	H1-ESC	34098
SRR1779617	-9.60332483033729	9.47783523739553	H1-ESC	92724
SRR1779618	-10.5063342450101	9.8964477175591	H1-ESC	61894
SRR1779619	-9.2957839367826	9.86602741421438	H1-ESC	18690
SRR1779620	-8.91805261354041	9.6931710833428	H1-ESC	43356
SRR1779621	-11.4994401333768	9.44832378567434	H1-ESC	35972
SRR1779622	-12.0727204678495	9.95838600338674	H1-ESC	7470
SRR1779623	-10.7748937008817	9.46151596249319	H1-ESC	47810
SRR1779624	-11.0829886792142	9.75432068051076	H1-ESC	4302
SRR1779625	-10.2524651883085	9.96914821804739	H1-ESC	86928
SRR1779626	-11.3518981335599	9.26185756863332	H1-ESC	60018
SRR1779627	-9.5030764935453	10.1216302508233	H1-ESC	34098
SRR1779628	-9.56348222474647	10.1351380938408	H1-ESC	48278
SRR1779629	-11.5023707745512	9.20305591763235	H1-ESC	23732
SRR1779630	-9.6246413586576	10.0810514086602	H1-ESC	27624
SRR1779631	-8.43861860017371	9.48144966305471	H1-ESC	75558
SRR1779632	-11.2253655789335	9.62454754055715	H1-ESC	32644
SRR1779633	-12.3388842938383	9.70069652737356	H1-ESC	2512
SRR1779634	-9.61980909089637	10.11899810971	H1-ESC	28062
SRR1779635	-9.59245008210731	9.52510696591115	H1-ESC	125940
SRR1779636	-12.4544486401517	9.66685253323293	H1-ESC	2428
SRR1779637	-8.34412854890418	9.28239113033987	H1-ESC	22802
SRR1779638	-11.514903008743	9.69705635250783	H1-ESC	23858
SRR1779639	-9.67998975495887	9.99978214443899	H1-ESC	67592
SRR1779640	-11.5788373349149	9.41241890133596	H1-ESC	33170
SRR1779641	-12.4932374356229	9.62201648892141	H1-ESC	2478
SRR1779642	-10.6936234829862	9.70823532284475	H1-ESC	53438
SRR1779643	-12.2660245297391	9.85494667233205	H1-ESC	2340
SRR1779644	-9.06125444154334	9.49190384091115	H1-ESC	41426
