Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-2.50456766735418	-1.02016119620304	H1-ESC	20278
SRR1779588	-1.87261943470343	-1.0456891503046	H1-ESC	2078
SRR1779589	-1.35757045399054	-4.20809416434268	H1-ESC	111022
SRR1779590	-1.35948924671515	-2.62642674109439	H1-ESC	14420
SRR1779591	-9.61470870624884	1.58328838685055	H1-ESC	2492
SRR1779592	-1.81971697460516	-2.2915010895441	H1-ESC	57986
SRR1779593	-2.0013034785877	-3.11043553015689	H1-ESC	17374
SRR1779594	-1.6495516742359	-3.93541960379581	H1-ESC	80170
SRR1779595	6.94416733134882	2.94498549440404	H1-ESC	6992
SRR1779596	-1.64708785663946	-2.60758738181095	H1-ESC	32936
SRR1779597	-0.268902942050534	-0.949529692144198	H1-ESC	3712
SRR1779598	-1.52697972904547	-1.47643284461002	H1-ESC	27526
SRR1779599	-1.52182702671393	-3.73658136984806	H1-ESC	99860
SRR1779600	-1.06892375599249	-3.22157053610782	H1-ESC	30034
SRR1779601	-2.70838980327948	-0.916797205419345	H1-ESC	2674
SRR1779602	-1.11305551182135	-2.48735003134708	H1-ESC	28536
SRR1779603	-1.52279142986639	-3.22579483649234	H1-ESC	28316
SRR1779604	-1.22365359913214	-1.92294697424869	H1-ESC	18564
SRR1779605	-1.29275326382025	-1.17657284399967	H1-ESC	5576
SRR1779606	-5.73958234440191	-0.566223665685458	H1-ESC	3654
SRR1779607	-1.66527275692328	-2.29565863272647	H1-ESC	48464
SRR1779608	-1.21581058155401	-2.62853674551944	H1-ESC	22884
SRR1779609	-1.62717537533148	-4.12212519309024	H1-ESC	108634
SRR1779610	-1.10152296673163	-1.33863548895816	H1-ESC	9168
SRR1779611	-1.15005879055365	-3.27579359671573	H1-ESC	25770
SRR1779612	-1.44474296223028	-2.12565283438663	H1-ESC	42362
SRR1779613	-1.61655311237677	-4.16178850790958	H1-ESC	67456
SRR1779614	-1.59406141888006	-2.57016853949527	H1-ESC	34270
SRR1779615	-1.76331548344	-2.88636164328556	H1-ESC	37890
SRR1779616	-1.53962497364386	-2.44017176291446	H1-ESC	34098
SRR1779617	-1.24393515240057	-4.02697758337955	H1-ESC	92724
SRR1779618	-1.18102388035162	-3.15567879340152	H1-ESC	61894
SRR1779619	-1.79769043575628	-1.9200730766962	H1-ESC	18690
SRR1779620	-1.30645494114264	-4.18280224463443	H1-ESC	43356
SRR1779621	-1.47415523182257	-2.55601315161685	H1-ESC	35972
SRR1779622	2.12868149627344	-0.372719570607943	H1-ESC	7470
SRR1779623	-1.66898350368841	-2.79045538565616	H1-ESC	47810
SRR1779624	-1.88383726726874	-1.0885985340784	H1-ESC	4302
SRR1779625	-1.27574209820135	-3.85710959097843	H1-ESC	86928
SRR1779626	-1.44691733967169	-2.41445116660099	H1-ESC	60018
SRR1779627	-1.52875952373846	-3.2075338806818	H1-ESC	34098
SRR1779628	-1.13996843944891	-3.9972591843317	H1-ESC	48278
SRR1779629	-1.0398092712055	-2.90820936820011	H1-ESC	23732
SRR1779630	-1.84025315891607	-2.78593878409366	H1-ESC	27624
SRR1779631	-1.42306880604132	-4.23053841254215	H1-ESC	75558
SRR1779632	-1.81875352512701	-2.80772881171207	H1-ESC	32644
SRR1779633	-5.21816901813849	-0.57724647185306	H1-ESC	2512
SRR1779634	-1.64469937931402	-3.61035828253726	H1-ESC	28062
SRR1779635	-1.335585638393	-3.72145466467838	H1-ESC	125940
SRR1779636	-3.92969541202887	-0.658277079076571	H1-ESC	2428
SRR1779637	-1.81484322201117	-3.42435316702823	H1-ESC	22802
SRR1779638	-1.59331016193731	-2.93112187048892	H1-ESC	23858
SRR1779639	-1.24718956600531	-3.51258282324771	H1-ESC	67592
