Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-3.29506231323372	3.4760037664738	H1-ESC	20278
SRR1779588	6.17789052947869	-6.50323951202962	H1-ESC	2078
SRR1779589	-3.06744504943977	4.03501570266154	H1-ESC	111022
SRR1779590	-3.07216454521309	3.86709320586589	H1-ESC	14420
SRR1779591	6.49697660430779	-6.38683021027181	H1-ESC	2492
SRR1779592	-4.04271973148475	3.87623179000285	H1-ESC	57986
SRR1779593	-3.05150962844978	3.9618755583134	H1-ESC	17374
SRR1779594	-3.9425313569654	3.97252857726481	H1-ESC	80170
SRR1779595	5.30400537475457	-8.13922345596883	H1-ESC	6992
SRR1779596	-3.50622762218605	3.77452814620402	H1-ESC	32936
SRR1779597	5.85058855041375	-6.61664950806234	H1-ESC	3712
SRR1779598	-3.33263112083564	3.5271192793217	H1-ESC	27526
SRR1779599	-3.27894462124	4.06555092376139	H1-ESC	99860
SRR1779600	-3.2427296735395	3.99312794249919	H1-ESC	30034
SRR1779601	6.14797376617302	-6.41984546143148	H1-ESC	2674
SRR1779602	-3.53980935588966	3.91312086623576	H1-ESC	28536
SRR1779603	-3.97993982807289	3.63601410430339	H1-ESC	28316
SRR1779604	-3.06537879482399	3.64537584823039	H1-ESC	18564
SRR1779605	5.93268751129021	-6.66906726318929	H1-ESC	5576
SRR1779606	5.93875669463982	-6.56488740402791	H1-ESC	3654
SRR1779607	-3.81458021179329	3.75611317199137	H1-ESC	48464
SRR1779608	-3.39699221626411	3.84838402312663	H1-ESC	22884
SRR1779609	-4.0541173316587	3.84342539351847	H1-ESC	108634
SRR1779610	5.33944963439812	-8.5002039666805	H1-ESC	9168
SRR1779611	-3.71090711132179	3.89192831557658	H1-ESC	25770
SRR1779612	-3.66863919273506	4.09642660659221	H1-ESC	42362
SRR1779613	-3.71929932609687	4.1828171018925	H1-ESC	67456
SRR1779614	-3.3872324325193	3.48108089011576	H1-ESC	34270
SRR1779615	-3.93057389036308	3.72604382079509	H1-ESC	37890
SRR1779616	-3.43548549190651	3.58287012618449	H1-ESC	34098
SRR1779617	-4.13289178386818	3.98199045699504	H1-ESC	92724
SRR1779618	-3.75425029770027	4.02020704787638	H1-ESC	61894
SRR1779619	-3.12103880420814	3.72591555159953	H1-ESC	18690
SRR1779620	-3.69413567558418	3.5147000555363	H1-ESC	43356
SRR1779621	-3.90928591266761	3.89811861556437	H1-ESC	35972
SRR1779622	4.89340566619744	-8.35839164215657	H1-ESC	7470
SRR1779623	-3.53699577823768	3.92200243514445	H1-ESC	47810
SRR1779624	5.80444787963738	-6.92721307236287	H1-ESC	4302
SRR1779625	-3.56568301693092	3.83218681853679	H1-ESC	86928
SRR1779626	-3.86150122657905	3.67426741164592	H1-ESC	60018
SRR1779627	-4.1201660133947	3.80453836959269	H1-ESC	34098
SRR1779628	-3.93225325122963	3.9524499182072	H1-ESC	48278
SRR1779629	-3.13537980095039	3.54634368461039	H1-ESC	23732
SRR1779630	-3.36668301597725	3.82215607207682	H1-ESC	27624
SRR1779631	-3.70939374939094	4.25416100066569	H1-ESC	75558
SRR1779632	-3.7487921811689	3.62828886550334	H1-ESC	32644
SRR1779633	6.35665487274041	-6.56554830032918	H1-ESC	2512
SRR1779634	-4.1744439102758	3.7156859640446	H1-ESC	28062
SRR1779635	-3.05571330562721	3.79647982161906	H1-ESC	125940
SRR1779636	3.88578676208367	-8.75865924316976	H1-ESC	2428
SRR1779637	-3.51834214702736	4.08896458190348	H1-ESC	22802
SRR1779638	-3.58721543327461	3.52662742179301	H1-ESC	23858
SRR1779639	-4.21708829179893	3.77234900039103	H1-ESC	67592
SRR1779640	-3.72164369598518	3.68480551284221	H1-ESC	33170
SRR1779641	4.52712701782097	-8.4041517968807	H1-ESC	2478
SRR1779642	-3.47783411518226	3.68650925200846	H1-ESC	53438
SRR1779643	4.42427991851677	-9.76032245117757	H1-ESC	2340
SRR1779644	5.55483316406121	-8.69958102661702	H1-ESC	41426
SRR1779645	5.9589669607531	-6.91098868805501	H1-ESC	3384
SRR1779646	-3.71468294635902	3.50070631545451	H1-ESC	54350
SRR1779647	-3.57166899219642	3.87480366271403	H1-ESC	26602
SRR1779648	5.46508573516716	-6.57482612091634	H1-ESC	3516
SRR1779649	-3.72636021152626	3.98080122512248	H1-ESC	31300
SRR1779650	-3.58365930095802	3.46666491073039	H1-ESC	75588
SRR1779651	6.01414941772332	-6.68572509247396	H1-ESC	2504
SRR1779652	5.68181871398796	-6.72754991013143	H1-ESC	6474
SRR1779653	-3.69235504642616	3.94865810912516	H1-ESC	37982
SRR1779654	-3.45709122196327	3.51918089431193	H1-ESC	39682
SRR1779655	-3.17372489944587	3.84239685576823	H1-ESC	18088
SRR1779656	4.63833688720574	-9.04695308167073	H1-ESC	8184
SRR1779657	-3.70905555263649	4.29375374358561	H1-ESC	34490
SRR1779658	-3.38458860889564	3.6936002973881	H1-ESC	382594
SRR1779660	-3.05176783577095	3.90739548247721	H1-ESC	21176
SRR1779661	-3.99311138168464	3.76818048995402	H1-ESC	60386
SRR1779662	-3.69459379688392	4.02369701903727	H1-ESC	28106
SRR1779663	-3.13488830104957	3.6606093649235	H1-ESC	162848
SRR1779664	-3.24135173336158	3.85059940856364	H1-ESC	14158
SRR1779665	-3.04411960617195	4.13427889388469	H1-ESC	163584
SRR1779666	-3.68795002475868	3.72706902068522	H1-ESC	59632
SRR1779667	-3.90732480064521	4.06185781997111	H1-ESC	71168
SRR1779668	5.60089086517205	-6.62945973831746	H1-ESC	4566
SRR1779669	-3.852430949365	4.14086687606242	H1-ESC	27120
SRR1779670	-3.81624902263771	3.74139988463786	H1-ESC	57292
SRR1779671	5.98092054351677	-6.38909137207601	H1-ESC	4354
SRR1779672	6.19913934692253	-6.75330913025472	H1-ESC	4024
SRR1779673	-3.93273873106132	3.66714346450236	H1-ESC	79188
SRR1779674	-3.14324868694435	3.85071909469035	H1-ESC	25328
SRR1779675	-4.05640978590141	3.90585815947917	H1-ESC	71044
SRR1779676	-3.15204251781593	3.76412069838908	H1-ESC	169854
SRR1779677	6.11128782256951	-6.80512607056234	H1-ESC	9360
SRR1779678	-3.67777062431465	4.10864794295695	H1-ESC	61836
SRR1779679	-3.42891837135444	3.69813835662272	H1-ESC	52192
SRR1779680	-3.70029784217964	4.05946362059977	H1-ESC	46962
SRR1779681	-3.58867372051368	3.41487538855937	H1-ESC	47442
SRR1779682	-3.72333909050117	3.96460306685832	H1-ESC	80298
SRR1779683	-0.957323322450024	11.9450389150944	GM12878	20872
SRR1779685	-2.98764432445655	10.5230513815251	GM12878	6832
SRR1779686	-2.96053589359413	11.0935288671818	GM12878	17310
SRR1779687	3.98014997466912	-8.74121081787679	GM12878	6252
SRR1779688	4.58893274291863	-9.43868148285482	GM12878	20450
SRR1779689	-1.80779195800911	11.0400382284489	GM12878	319654
SRR1779690	-2.80213380828987	11.2170420889225	GM12878	26550
SRR1779691	6.02850984557976	-8.60247409302327	GM12878	3524
SRR1779692	4.01741479858269	-8.59976279694173	GM12878	5882
SRR1779693	4.23583673461785	-8.00842559296224	GM12878	7210
SRR1779694	-1.51801086441169	12.070643544611	GM12878	57618
SRR1779695	4.0383126638781	-8.32028090912435	GM12878	5088
SRR1779696	6.26849817260613	-7.38576972443196	GM12878	3322
SRR1779698	5.83641695007195	-7.49427020508382	GM12878	5286
SRR1779701	4.79878114684929	-7.54454791504476	GM12878	4128
SRR1779702	6.31377576812615	-6.97572362381551	GM12878	4210
SRR1779704	6.25734209045281	-6.93023192841146	GM12878	2384
SRR1779705	-2.62813235298286	10.5269328359928	GM12878	7010
SRR1779706	5.68346380218377	-6.75684773880574	GM12878	2358
SRR1779707	-2.17105818763862	11.5204707388249	GM12878	13416
SRR1779708	4.08194517120232	-9.07147872406575	GM12878	4924
SRR1779709	-3.176041612779	11.163115621027	GM12878	27398
SRR1779710	-2.00801039711128	11.3707410101261	GM12878	29856
SRR1779711	4.22401975616326	-8.29591214615438	GM12878	7764
SRR1779712	-3.68815899864326	11.4037333731022	GM12878	35578
SRR1779713	-3.35037280098091	11.0900040869084	GM12878	19588
SRR1779714	-0.782459983979565	5.08500158828166	GM12878	66000
SRR1779715	-2.72053385749946	10.4825164083805	GM12878	86924
SRR1779716	-3.3388776876081	10.8694154028263	GM12878	19998
SRR1779717	-3.4886888362516	10.9331818823185	GM12878	30198
SRR1779718	-2.35440326706062	11.9485503439274	GM12878	25252
SRR1779719	-3.34272743240486	11.0313798193302	GM12878	44154
SRR1779721	-2.35345173851143	11.0838023428288	GM12878	12128
SRR1779722	-3.26211668029914	11.2243329290715	GM12878	23462
SRR1779723	-2.16383720413337	11.0105811361637	GM12878	15598
SRR1779724	-1.90830327049385	11.5245562795964	GM12878	15130
SRR1779728	5.92384504302849	-8.3902882333431	GM12878	4782
SRR1779729	-2.71533514038215	11.1290084127751	GM12878	15500
SRR1779731	-3.2883657313932	11.2295256857243	GM12878	14052
SRR1779732	-3.2359279491056	11.4704896215763	GM12878	20436
SRR1779733	-2.57915760055671	10.5197755102482	GM12878	90704
SRR1779734	-3.52141607776771	11.1986590627995	GM12878	21398
SRR1779735	-2.76306129470955	10.6692496542301	GM12878	11172
SRR1779736	-2.69038272873054	12.0291644338932	GM12878	16966
SRR1779737	5.14320920928826	-8.59704482513997	GM12878	5750
SRR1779738	-3.36532617584358	10.9822407965031	GM12878	27408
SRR1779740	4.83639501556267	-7.73417413193319	GM12878	31662
SRR1779741	3.88138364776482	-9.50437724548909	GM12878	84506
SRR1779742	-3.10468197837959	11.6274806265202	GM12878	28580
SRR1779743	-2.95298934951912	10.9647780660954	GM12878	34622
SRR1779744	-2.79174042717109	11.2242823843327	GM12878	14960
SRR1779745	-3.0452770091642	12.2476979498234	GM12878	51442
SRR1779746	-3.48040438667427	11.3708697561589	GM12878	29942
SRR1779747	-2.83197952285896	10.6446944479313	GM12878	9156
SRR1779749	-1.46640349403511	12.2257233862248	GM12878	24210
SRR1779750	-1.709977159654	11.7688037161198	GM12878	16076
SRR1779751	-3.25503302589546	11.0980969671574	GM12878	16618
SRR1779752	-3.05039633289466	10.8111659292546	GM12878	13124
SRR1779753	-2.35870243087898	11.4558707479801	GM12878	34126
SRR1779754	4.5482118032824	-8.76307761627767	GM12878	4816
SRR1779755	-2.11235190406929	11.8058291677799	GM12878	24890
SRR1779756	3.92030786498894	-9.39381301361654	GM12878	4944
SRR1779757	-3.39139998928199	11.2933293585148	GM12878	29568
SRR1779759	6.02539419158806	-7.33099544006917	GM12878	2228
SRR1779760	5.19086812957634	-6.99882066208455	GM12878	3794
SRR1779761	5.28000711425652	-7.86370265442464	GM12878	2292
SRR1779762	-3.12684215084205	10.8448573355046	GM12878	14242
SRR1779763	4.74910615905632	-8.38266646820638	GM12878	5566
SRR1779764	5.81109594329705	-6.68070685822103	GM12878	3254
SRR1779765	-2.81303525940071	10.5119839910832	GM12878	5746
SRR1779766	6.12386201843132	-7.56129252869222	GM12878	3496
SRR1779767	-1.59985996261726	11.6069403890934	GM12878	27698
SRR1779768	4.7042176626574	-9.25093734222982	GM12878	7904
SRR1779769	-1.77780200019966	10.9853001837101	GM12878	72358
SRR1779770	-3.1164233781446	11.6623460058537	GM12878	39966
SRR1779771	5.9490153692614	-9.13870513397786	GM12878	9900
SRR1779772	-2.91083313003669	11.5856009725895	GM12878	22558
SRR1779774	-3.2280914880384	11.0146275762882	GM12878	28102
SRR1779776	-2.89970565811287	10.5852051977482	GM12878	9510
SRR1779777	3.91482900604119	-8.59944808441732	GM12878	4054
SRR1779779	-3.17361403480659	11.3802367452946	GM12878	51410
SRR1779780	-1.93300915733467	12.57105648559	GM12878	26418
SRR1779781	3.65453695281853	-8.38624942261312	GM12878	5876
SRR1779782	-1.74069167152534	12.154269338068	GM12878	20678
SRR1779783	-2.0134976007093	12.1565648321476	GM12878	30906
SRR1779784	5.88116811736931	-9.14741790253255	GM12878	3652
SRR1779785	-1.58564544693122	11.6568576101628	GM12878	44890
SRR1779787	-3.09041095749031	11.0054475073185	GM12878	21940
SRR1779788	4.82786725982537	-9.21775233704183	GM12878	6292
SRR1779789	-1.62585116401802	12.2043277029362	GM12878	33368
SRR1779790	-2.49301124588142	10.9518624548283	GM12878	15338
SRR1779791	4.63147806152214	-7.7922862764034	GM12878	3806
SRR1779792	5.95716833099236	-8.67189586121175	GM12878	6764
SRR1779793	-2.72737718597541	11.6655770544377	GM12878	37032
SRR1779794	-1.15051890388618	5.4167939428654	GM12878	172734
SRR1779795	-2.05183053985725	12.0121899847355	GM12878	64188
SRR1779796	-1.70808554664741	12.026737332758	GM12878	29316
SRR1779797	4.1611850164782	-9.67834365326497	GM12878	8590
SRR1779798	-3.25680113807808	12.0759297613468	GM12878	43540
SRR1779799	-1.8807215787519	11.8174611334172	GM12878	18248
SRR1779800	-2.74360896125923	12.4085942510929	GM12878	319450
SRR1779801	-1.496833334123	12.2949811224308	GM12878	50970
SRR1779802	-2.82884980217109	10.959538579401	GM12878	17958
SRR1779803	4.48779462798943	-9.45261180359456	GM12878	6286
SRR1779804	-2.64951492324958	10.7649127249089	GM12878	89520
SRR1779805	-3.66842938438545	11.1546221975651	GM12878	49858
SRR1779806	-3.54299081340919	12.0428277258244	GM12878	31044
SRR1779807	-2.34095312133918	11.6998788122502	GM12878	15708
SRR1779808	-1.46421504989753	12.2287551168766	GM12878	48084
SRR1779809	-1.75980568901191	11.0531378988591	GM12878	102078
SRR1779810	-2.77884126678596	11.4060641531315	GM12878	36532
SRR1779811	6.33867811187615	-6.89534985977742	GM12878	4692
SRR1779812	-3.25869394317756	11.2325564627018	GM12878	28530
SRR1779813	-2.12080265060554	11.9974862341252	GM12878	43642
SRR1779814	-2.21134830490242	10.6206732992497	GM12878	200566
SRR1779815	-3.13702620044838	11.5141640905705	GM12878	41250
SRR1779816	4.05450033172478	-8.90495955902669	GM12878	13014
SRR1779817	-2.93264652267585	11.8848077062931	GM12878	27048
