Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-2.51143349264748	-1.23881089400037	H1-ESC	20278
SRR1779588	-1.77535296534188	-0.321099129426324	H1-ESC	2078
SRR1779589	-2.65713573549874	-4.72886109064802	H1-ESC	111022
SRR1779590	-2.57272578333504	-1.34214770506605	H1-ESC	14420
SRR1779591	-1.93148113344796	-0.508338120686852	H1-ESC	2492
SRR1779592	-2.59444953058846	-2.64344429682478	H1-ESC	57986
SRR1779593	-2.40617312048562	-3.75712942789777	H1-ESC	17374
SRR1779594	-2.73334265802987	-4.66914915751203	H1-ESC	80170
SRR1779595	-2.34347570990212	-2.300770995128	H1-ESC	6992
SRR1779596	-2.2504413232673	-2.44837736796125	H1-ESC	32936
SRR1779597	-2.01024247263558	-0.657760259616219	H1-ESC	3712
SRR1779598	-2.5026716098655	-1.73132681559309	H1-ESC	27526
SRR1779599	-2.70883966539986	-4.63695215891584	H1-ESC	99860
SRR1779600	-2.4182126626838	-3.83708500574812	H1-ESC	30034
SRR1779601	-2.13866747473367	-1.44025945376142	H1-ESC	2674
SRR1779602	-2.50397754763253	-1.41309189509138	H1-ESC	28536
SRR1779603	-2.28493488882668	-3.36549663256391	H1-ESC	28316
SRR1779604	-2.17691112612374	-2.44032787989362	H1-ESC	18564
SRR1779605	-1.99699855898507	-0.559179064738595	H1-ESC	5576
SRR1779606	-2.06928301905282	-1.13554560850843	H1-ESC	3654
SRR1779607	-2.56405414198525	-1.10066532801374	H1-ESC	48464
SRR1779608	-2.46688355063088	-1.64942741106733	H1-ESC	22884
SRR1779609	-2.76577950571664	-4.6734311551927	H1-ESC	108634
SRR1779610	-2.10483361338265	-2.21872687052473	H1-ESC	9168
SRR1779611	-2.45849085901864	-2.809639927852	H1-ESC	25770
SRR1779612	-2.62185956095345	-1.46493601511701	H1-ESC	42362
SRR1779613	-2.6771876916755	-4.77117085169538	H1-ESC	67456
SRR1779614	-2.60127795790322	-1.1825647325395	H1-ESC	34270
SRR1779615	-2.3170083865989	-3.48104047487959	H1-ESC	37890
SRR1779616	-2.55151237105019	-1.03264307688459	H1-ESC	34098
SRR1779617	-2.34580029104836	-3.52502274225935	H1-ESC	92724
SRR1779618	-2.45079554175027	-2.4206223459123	H1-ESC	61894
SRR1779619	-2.28800488566048	-3.62364816378339	H1-ESC	18690
SRR1779620	-2.34052516077645	-3.78833436678632	H1-ESC	43356
SRR1779621	-2.46787417982705	-1.388297674167	H1-ESC	35972
SRR1779622	-1.94161976431496	-0.820730206477486	H1-ESC	7470
SRR1779623	-2.37300110911019	-2.37563347529157	H1-ESC	47810
SRR1779624	-2.21629644487984	-0.991225418555581	H1-ESC	4302
SRR1779625	-2.40307761286385	-2.98032355021223	H1-ESC	86928
SRR1779626	-2.43288696859963	-1.45782053183302	H1-ESC	60018
SRR1779627	-2.23558581923135	-2.97074126909956	H1-ESC	34098
SRR1779628	-2.17541910265572	-2.68169498156294	H1-ESC	48278
SRR1779629	-2.50286377524026	-1.78097712706312	H1-ESC	23732
SRR1779630	-2.40011049364693	-3.66968655298933	H1-ESC	27624
SRR1779631	-2.78397108172067	-4.50808357905134	H1-ESC	75558
SRR1779632	-2.33546198462136	-1.49014639567121	H1-ESC	32644
SRR1779633	-1.78688431833871	-0.381759342658364	H1-ESC	2512
SRR1779634	-2.28835619543679	-2.8722722501634	H1-ESC	28062
SRR1779635	-2.38855815981515	-3.65805864046796	H1-ESC	125940
SRR1779636	-1.77382982824929	-0.339145478713357	H1-ESC	2428
SRR1779637	-2.40301586245187	-3.70058059405073	H1-ESC	22802
SRR1779638	-2.4807434186805	-1.28813922117933	H1-ESC	23858
SRR1779639	-2.22442127321847	-2.74820446680769	H1-ESC	67592
SRR1779640	-2.47084570978768	-1.19944166849836	H1-ESC	33170
SRR1779641	-1.84038663958199	-0.426162538039528	H1-ESC	2478
SRR1779642	-2.38270546053536	-2.60522889803632	H1-ESC	53438
SRR1779643	-1.8082078800071	-0.386411187159859	H1-ESC	2340
SRR1779644	-2.62409235094674	-4.29881643961652	H1-ESC	41426
SRR1779645	-2.05149448965676	-0.61442118595823	H1-ESC	3384
SRR1779646	-2.44001365755685	-2.36764049242719	H1-ESC	54350
SRR1779647	-2.34085930441506	-3.38385104845747	H1-ESC	26602
SRR1779648	-2.15073050116189	-1.01660763930067	H1-ESC	3516
SRR1779649	-2.48659015749581	-2.47192310999616	H1-ESC	31300
SRR1779650	-2.55079997633584	-1.81971263598188	H1-ESC	75588
SRR1779651	-1.8702629909385	-0.577547487723671	H1-ESC	2504
SRR1779652	-2.01769150351174	-1.22323989580854	H1-ESC	6474
SRR1779653	-2.45800055121072	-1.25412451933607	H1-ESC	37982
SRR1779654	-2.25549579714425	-2.74539088915571	H1-ESC	39682
SRR1779655	-2.42111254786141	-2.12539624880537	H1-ESC	18088
SRR1779656	-2.58271242235787	-4.24607872675642	H1-ESC	8184
SRR1779657	-2.26601625536568	-2.3740291566728	H1-ESC	34490
SRR1779658	-2.54355443571694	-3.49730038355573	H1-ESC	382594
SRR1779660	-2.52575768087991	-1.69025850008711	H1-ESC	21176
SRR1779661	-2.70614291285165	-4.55626463602766	H1-ESC	60386
SRR1779662	-2.4693122014869	-4.04546045969709	H1-ESC	28106
SRR1779663	-2.33401919458993	-3.65425443361982	H1-ESC	162848
SRR1779664	-2.28065980528481	-1.34693348120435	H1-ESC	14158
SRR1779665	-2.74882460688241	-4.56895994852766	H1-ESC	163584
SRR1779666	-2.51758111570962	-2.2835066289781	H1-ESC	59632
SRR1779667	-2.65883422945626	-4.70963406275495	H1-ESC	71168
SRR1779668	-2.10733665083535	-1.89153778265699	H1-ESC	4566
SRR1779669	-2.52313173864968	-2.14408397387251	H1-ESC	27120
SRR1779670	-2.39692736719735	-3.36926817606672	H1-ESC	57292
SRR1779671	-1.91611207579263	-0.580178436744057	H1-ESC	4354
SRR1779672	-1.85899795149453	-0.647024032580697	H1-ESC	4024
SRR1779673	-2.78648592089303	-4.69727253626569	H1-ESC	79188
SRR1779674	-2.27564359758981	-2.93088149737104	H1-ESC	25328
SRR1779675	-2.36709989164956	-2.66757774065717	H1-ESC	71044
SRR1779676	-2.51827896689065	-3.48820376108869	H1-ESC	169854
SRR1779677	-2.22383547876962	-1.08083641241773	H1-ESC	9360
SRR1779678	-2.70069194887765	-4.61294197748884	H1-ESC	61836
SRR1779679	-2.5246567830909	-3.8020293683885	H1-ESC	52192
SRR1779680	-2.4824673042167	-2.29460787485822	H1-ESC	46962
SRR1779681	-2.57175267790444	-1.73311721991285	H1-ESC	47442
SRR1779682	-2.72506238077767	-4.63526749323591	H1-ESC	80298
SRR1779683	-7.06318379496224	-11.0432064504503	GM12878	20872
SRR1779685	0.929842103971168	-12.0014889211534	GM12878	6832
SRR1779686	-0.621745645301417	-11.6282522649644	GM12878	17310
SRR1779687	0.0179633393418044	-12.4728348226426	GM12878	6252
SRR1779688	-1.34243692015298	-11.1943285436509	GM12878	20450
SRR1779689	-8.23011590098031	-11.4820930929063	GM12878	319654
SRR1779690	-0.906729410635307	-12.0206978292344	GM12878	26550
SRR1779691	0.515238632215187	-12.0405724019884	GM12878	3524
SRR1779692	1.39054380799644	-12.0437777013658	GM12878	5882
SRR1779693	0.704307545674965	-11.4059345693467	GM12878	7210
SRR1779694	-6.86151600931771	-11.5354273290513	GM12878	57618
SRR1779695	1.43926786328666	-12.6076137990831	GM12878	5088
SRR1779696	0.11877201939933	-12.4903442830919	GM12878	3322
SRR1779698	1.35090254689567	-12.0449335546373	GM12878	5286
SRR1779701	-0.655904813902453	-12.2389996023057	GM12878	4128
SRR1779702	1.65006922627799	-12.474674460399	GM12878	4210
SRR1779704	-0.0495132908690721	-12.5264151067613	GM12878	2384
SRR1779705	1.5384786024224	-12.6202490301011	GM12878	7010
SRR1779706	1.31011437322013	-12.602154967296	GM12878	2358
SRR1779707	-1.99946189974435	-11.9849235982774	GM12878	13416
