Runs	UMAP1	UMAP2	CellType	NumofReads
SRR1779587	-1.90770229172978	-1.81348740054809	H1-ESC	20278
SRR1779588	-3.23835972917351	-2.08866613103591	H1-ESC	2078
SRR1779589	1.65401049482551	-2.60843234254562	H1-ESC	111022
SRR1779590	-1.54183226299557	-2.04285471631728	H1-ESC	14420
SRR1779591	-3.07325677049431	-2.19725542260848	H1-ESC	2492
SRR1779592	-0.117084304216239	-1.61043267442428	H1-ESC	57986
SRR1779593	0.41473933088508	-2.04108493520461	H1-ESC	17374
SRR1779594	1.58580442297187	-2.60744719697677	H1-ESC	80170
SRR1779595	-1.30943612230096	-1.84796159459792	H1-ESC	6992
SRR1779596	-0.814982215288016	-1.824786176221	H1-ESC	32936
SRR1779597	-2.90999631059441	-2.11064093305312	H1-ESC	3712
SRR1779598	-0.742434779527518	-2.09547727300369	H1-ESC	27526
SRR1779599	1.67353506910529	-2.53744797898971	H1-ESC	99860
SRR1779600	0.977409561750558	-2.28007905675613	H1-ESC	30034
SRR1779601	-2.14493177306924	-1.69970296813689	H1-ESC	2674
SRR1779602	-1.25665105355057	-1.46341188742362	H1-ESC	28536
SRR1779603	-0.179489652040335	-1.52356045438491	H1-ESC	28316
SRR1779604	-0.995071808221671	-1.60135166837417	H1-ESC	18564
SRR1779605	-3.16022781503472	-2.16063289834701	H1-ESC	5576
SRR1779606	-2.43020562303338	-1.92054771377288	H1-ESC	3654
SRR1779607	-2.09526104700837	-1.88692366077148	H1-ESC	48464
SRR1779608	-1.34909857285294	-1.99797480298721	H1-ESC	22884
SRR1779609	1.58160038816657	-2.58338778211318	H1-ESC	108634
SRR1779610	-1.40131751668725	-2.00156288339339	H1-ESC	9168
SRR1779611	0.187148769971994	-1.87281321479522	H1-ESC	25770
SRR1779612	-1.11113731038842	-1.69651406003677	H1-ESC	42362
SRR1779613	1.69230266439643	-2.60909598066055	H1-ESC	67456
SRR1779614	-2.28474245441231	-1.97054659320556	H1-ESC	34270
SRR1779615	0.514939507124093	-1.96372347070419	H1-ESC	37890
SRR1779616	-2.19263694656167	-2.10396819307052	H1-ESC	34098
SRR1779617	0.59719987737861	-2.05266981317245	H1-ESC	92724
SRR1779618	-0.642276803377005	-1.41600017739974	H1-ESC	61894
SRR1779619	0.384663065549997	-1.9964312811061	H1-ESC	18690
SRR1779620	0.616009672758249	-2.11588149263107	H1-ESC	43356
SRR1779621	-1.6627679731426	-1.91888921453201	H1-ESC	35972
SRR1779622	-2.62448958528313	-2.18818109227859	H1-ESC	7470
SRR1779623	-0.396093884828421	-1.64455543948852	H1-ESC	47810
SRR1779624	-2.63405142200265	-2.06287365152084	H1-ESC	4302
SRR1779625	-0.081906715753409	-1.73101382447921	H1-ESC	86928
SRR1779626	-1.43443451297555	-1.53292613221847	H1-ESC	60018
SRR1779627	-0.48315433633599	-1.51577596856796	H1-ESC	34098
SRR1779628	-0.739963451745841	-1.48928456498824	H1-ESC	48278
SRR1779629	-1.02859667909417	-2.10992233945571	H1-ESC	23732
SRR1779630	0.701106985685495	-2.13637488080703	H1-ESC	27624
SRR1779631	1.42460151540962	-2.4357178707286	H1-ESC	75558
SRR1779632	-1.84947886538777	-1.91380434228622	H1-ESC	32644
SRR1779633	-3.20146969926629	-2.14924555017196	H1-ESC	2512
SRR1779634	-0.48881999624047	-1.43513481809341	H1-ESC	28062
SRR1779635	0.748781164762643	-2.14856569959365	H1-ESC	125940
SRR1779636	-3.34193650853905	-2.05077474309646	H1-ESC	2428
SRR1779637	0.280177196142343	-1.88859199477874	H1-ESC	22802
SRR1779638	-1.68959314596924	-1.90389322234832	H1-ESC	23858
SRR1779639	-0.557112137201163	-1.59335487081252	H1-ESC	67592
SRR1779640	-2.09184021723542	-1.92027847959243	H1-ESC	33170
SRR1779641	-3.19629804265771	-2.14014058305465	H1-ESC	2478
SRR1779642	-0.524623314264151	-1.3744197983905	H1-ESC	53438
SRR1779643	-3.25164572370324	-2.08628182603561	H1-ESC	2340
SRR1779644	1.69226523267951	-2.64714174462997	H1-ESC	41426
SRR1779645	-2.98346130025658	-2.16775601102554	H1-ESC	3384
SRR1779646	-1.14455447566781	-1.83654533817016	H1-ESC	54350
SRR1779647	0.0864935718747648	-1.95468728734695	H1-ESC	26602
SRR1779648	-2.41451100480828	-2.00202768041335	H1-ESC	3516
SRR1779649	-0.474188128831717	-1.45331712557517	H1-ESC	31300
SRR1779650	-0.831742206933829	-2.08896451188766	H1-ESC	75588
SRR1779651	-3.06299690377984	-2.16892533494674	H1-ESC	2504
SRR1779652	-2.29805843007836	-2.10966794683181	H1-ESC	6474
SRR1779653	-2.05886743438515	-1.85199009372436	H1-ESC	37982
SRR1779654	-0.274175802591178	-1.5308493871852	H1-ESC	39682
SRR1779655	-0.785740832212302	-2.2373444338008	H1-ESC	18088
SRR1779656	1.62970825063911	-2.64443044854842	H1-ESC	8184
SRR1779657	-1.28872949850831	-1.82148699952804	H1-ESC	34490
SRR1779658	1.19670792448249	-2.39067630960189	H1-ESC	382594
SRR1779660	-0.847729424360129	-2.21084826184951	H1-ESC	21176
SRR1779661	1.52672859060493	-2.55014364911758	H1-ESC	60386
SRR1779662	1.00769658910957	-2.27065508557998	H1-ESC	28106
SRR1779663	0.801743944761423	-2.16729347898208	H1-ESC	162848
SRR1779664	-1.94864992273125	-1.84208392097198	H1-ESC	14158
SRR1779665	1.49196215498176	-2.58289449407302	H1-ESC	163584
SRR1779666	-0.539538542154166	-2.0438025493785	H1-ESC	59632
SRR1779667	1.73813172208991	-2.53606050206863	H1-ESC	71168
SRR1779668	-1.2838256455687	-2.08922903730117	H1-ESC	4566
SRR1779669	-0.428133407953116	-1.87274520589553	H1-ESC	27120
SRR1779670	0.39271612989631	-1.93804704143249	H1-ESC	57292
SRR1779671	-3.02970925939355	-2.23053865625106	H1-ESC	4354
SRR1779672	-2.95169214380059	-2.24799387647353	H1-ESC	4024
SRR1779673	1.40143509733405	-2.482077171342	H1-ESC	79188
SRR1779674	-0.642278472307059	-1.35129829241477	H1-ESC	25328
SRR1779675	-0.497737447145316	-1.57620476676666	H1-ESC	71044
SRR1779676	0.494134863493112	-2.00478367997848	H1-ESC	169854
SRR1779677	-2.43441549909386	-1.92142324639999	H1-ESC	9360
SRR1779678	1.31305237638679	-2.43525223924361	H1-ESC	61836
