Cell	Cluster	CellType	NumofReads
SRR5353377	9	HSC	32556
SRR5353378	9	HSC	7234
SRR5353379	9	HSC	36120
SRR5353380	9	HSC	13892
SRR5353381	9	HSC	7358
SRR5353382	9	HSC	17630
SRR5353383	9	HSC	11228
SRR5353384	9	HSC	76198
SRR5353385	9	HSC	23750
SRR5353386	9	HSC	23968
SRR5353387	9	HSC	9242
SRR5353388	9	HSC	53518
SRR5353389	9	HSC	25782
SRR5353390	9	HSC	20056
SRR5353391	9	HSC	15818
SRR5353392	9	HSC	22212
SRR5353393	9	HSC	95848
SRR5353394	9	HSC	155324
SRR5353395	9	HSC	81460
SRR5353396	9	HSC	23432
SRR5353397	9	HSC	13066
SRR5353398	9	HSC	23492
SRR5353399	9	HSC	4360
SRR5353400	9	HSC	34890
SRR5353401	9	HSC	12040
SRR5353402	9	HSC	13018
SRR5353403	9	HSC	23544
SRR5353404	9	HSC	4066
SRR5353405	9	HSC	4428
SRR5353407	9	HSC	79106
SRR5353408	9	HSC	23082
SRR5353409	9	HSC	61536
SRR5353410	9	HSC	11418
SRR5353412	9	HSC	16258
SRR5353413	9	HSC	13190
SRR5353414	9	HSC	10116
SRR5353415	9	HSC	11080
SRR5353416	9	HSC	32856
SRR5353417	9	HSC	42352
SRR5353418	9	HSC	32626
SRR5353419	9	HSC	21502
SRR5353420	9	HSC	14374
SRR5353422	9	HSC	41880
SRR5353423	9	HSC	25978
SRR5353424	9	HSC	18318
SRR5353425	9	HSC	29394
SRR5353426	9	HSC	6650
SRR5353427	9	HSC	16400
SRR5353429	9	HSC	13596
SRR5353430	9	HSC	25000
SRR5353431	9	HSC	13614
SRR5353432	9	HSC	29798
SRR5353433	9	HSC	6336
SRR5353434	24	HSC	38878
SRR5353435	24	HSC	20454
SRR5353436	24	HSC	5308
SRR5353437	24	HSC	21346
SRR5353438	24	HSC	10118
SRR5353439	24	HSC	27120
SRR5353440	24	HSC	27080
SRR5353441	24	HSC	69626
SRR5353442	24	HSC	28112
SRR5353444	24	HSC	14780
SRR5353445	24	HSC	14248
SRR5353446	24	HSC	184176
SRR5353447	24	HSC	22558
SRR5353448	24	HSC	6590
SRR5353449	24	HSC	40268
SRR5353450	24	HSC	7328
SRR5353451	24	HSC	31068
SRR5353452	24	HSC	53122
SRR5353453	9	HSC	25624
SRR5353454	14	HSC	25756
SRR5353455	14	HSC	9472
SRR5353456	14	HSC	15402
SRR5353457	14	HSC	22060
SRR5353458	14	HSC	14002
SRR5353459	14	HSC	5660
SRR5353460	14	HSC	80514
SRR5353461	14	HSC	9312
SRR5353463	14	HSC	27884
SRR5353464	14	HSC	39670
SRR5353465	14	HSC	22890
SRR5353466	14	HSC	19182
SRR5353467	14	HSC	11632
SRR5353468	14	HSC	31622
SRR5353470	14	HSC	284844
SRR5353471	14	HSC	13086
SRR5353472	14	HSC	11948
SRR5353473	14	HSC	21448
SRR5353474	14	HSC	12960
SRR5353475	14	HSC	21928
SRR5353476	14	HSC	12714
SRR5353477	14	HSC	8672
SRR5353478	14	HSC	90968
SRR5353479	14	HSC	3784
SRR5353480	14	HSC	25916
