Cell	Cluster	CellType	NumofReads
SRR5353377	3	HSC	32556
SRR5353378	3	HSC	7234
SRR5353379	3	HSC	36120
SRR5353380	3	HSC	13892
SRR5353381	3	HSC	7358
SRR5353382	3	HSC	17630
SRR5353383	3	HSC	11228
SRR5353384	3	HSC	76198
SRR5353385	3	HSC	23750
SRR5353386	3	HSC	23968
SRR5353387	3	HSC	9242
SRR5353388	3	HSC	53518
SRR5353389	3	HSC	25782
SRR5353390	3	HSC	20056
SRR5353391	3	HSC	15818
SRR5353392	3	HSC	22212
SRR5353393	3	HSC	95848
SRR5353394	3	HSC	155324
SRR5353395	3	HSC	81460
SRR5353396	3	HSC	23432
SRR5353397	3	HSC	13066
SRR5353398	3	HSC	23492
SRR5353399	3	HSC	4360
SRR5353400	3	HSC	34890
SRR5353401	3	HSC	12040
SRR5353402	3	HSC	13018
SRR5353403	3	HSC	23544
SRR5353404	3	HSC	4066
SRR5353405	3	HSC	4428
SRR5353407	3	HSC	79106
SRR5353408	3	HSC	23082
SRR5353409	3	HSC	61536
SRR5353410	3	HSC	11418
SRR5353412	3	HSC	16258
SRR5353413	3	HSC	13190
SRR5353414	3	HSC	10116
SRR5353415	3	HSC	11080
SRR5353416	3	HSC	32856
SRR5353417	3	HSC	42352
SRR5353418	3	HSC	32626
SRR5353419	3	HSC	21502
SRR5353420	3	HSC	14374
SRR5353422	3	HSC	41880
SRR5353423	3	HSC	25978
SRR5353424	3	HSC	18318
SRR5353425	3	HSC	29394
SRR5353426	3	HSC	6650
SRR5353427	3	HSC	16400
SRR5353429	3	HSC	13596
SRR5353430	3	HSC	25000
SRR5353431	3	HSC	13614
SRR5353432	3	HSC	29798
SRR5353433	3	HSC	6336
SRR5353434	3	HSC	38878
SRR5353435	3	HSC	20454
SRR5353436	3	HSC	5308
SRR5353437	3	HSC	21346
SRR5353438	3	HSC	10118
SRR5353439	3	HSC	27120
SRR5353440	3	HSC	27080
SRR5353441	3	HSC	69626
SRR5353442	3	HSC	28112
SRR5353444	3	HSC	14780
SRR5353445	3	HSC	14248
SRR5353446	3	HSC	184176
SRR5353447	3	HSC	22558
SRR5353448	3	HSC	6590
SRR5353449	3	HSC	40268
SRR5353450	3	HSC	7328
SRR5353451	3	HSC	31068
SRR5353452	3	HSC	53122
SRR5353453	3	HSC	25624
SRR5353454	3	HSC	25756
SRR5353455	3	HSC	9472
SRR5353456	3	HSC	15402
SRR5353457	3	HSC	22060
SRR5353458	3	HSC	14002
SRR5353459	3	HSC	5660
SRR5353460	3	HSC	80514
SRR5353461	3	HSC	9312
SRR5353463	3	HSC	27884
SRR5353464	3	HSC	39670
SRR5353465	3	HSC	22890
SRR5353466	3	HSC	19182
SRR5353467	3	HSC	11632
SRR5353468	3	HSC	31622
SRR5353470	3	HSC	284844
SRR5353471	3	HSC	13086
SRR5353472	3	HSC	11948
SRR5353473	3	HSC	21448
SRR5353474	3	HSC	12960
SRR5353475	3	HSC	21928
SRR5353476	3	HSC	12714
SRR5353477	3	HSC	8672
SRR5353478	3	HSC	90968
SRR5353479	3	HSC	3784
SRR5353480	3	HSC	25916
