Cell	Cluster	CellType	NumofReads
SRR5353377	1	HSC	32556
SRR5353378	1	HSC	7234
SRR5353379	1	HSC	36120
SRR5353380	1	HSC	13892
SRR5353381	1	HSC	7358
SRR5353382	1	HSC	17630
SRR5353383	1	HSC	11228
SRR5353384	1	HSC	76198
SRR5353385	1	HSC	23750
SRR5353386	1	HSC	23968
SRR5353387	1	HSC	9242
SRR5353388	1	HSC	53518
SRR5353389	1	HSC	25782
SRR5353390	1	HSC	20056
SRR5353391	1	HSC	15818
SRR5353392	1	HSC	22212
SRR5353393	1	HSC	95848
SRR5353394	1	HSC	155324
SRR5353395	1	HSC	81460
SRR5353396	1	HSC	23432
SRR5353397	1	HSC	13066
SRR5353398	1	HSC	23492
SRR5353399	1	HSC	4360
SRR5353400	1	HSC	34890
SRR5353401	1	HSC	12040
SRR5353402	1	HSC	13018
SRR5353403	1	HSC	23544
SRR5353404	1	HSC	4066
SRR5353405	1	HSC	4428
SRR5353407	1	HSC	79106
SRR5353408	1	HSC	23082
SRR5353409	1	HSC	61536
SRR5353410	1	HSC	11418
SRR5353412	1	HSC	16258
SRR5353413	1	HSC	13190
SRR5353414	1	HSC	10116
SRR5353415	1	HSC	11080
SRR5353416	1	HSC	32856
SRR5353417	1	HSC	42352
SRR5353418	1	HSC	32626
SRR5353419	1	HSC	21502
SRR5353420	1	HSC	14374
SRR5353422	1	HSC	41880
SRR5353423	1	HSC	25978
SRR5353424	1	HSC	18318
SRR5353425	1	HSC	29394
SRR5353426	1	HSC	6650
SRR5353427	1	HSC	16400
SRR5353429	1	HSC	13596
SRR5353430	1	HSC	25000
SRR5353431	1	HSC	13614
SRR5353432	1	HSC	29798
SRR5353433	1	HSC	6336
SRR5353434	1	HSC	38878
SRR5353435	1	HSC	20454
SRR5353436	1	HSC	5308
SRR5353437	1	HSC	21346
SRR5353438	1	HSC	10118
SRR5353439	1	HSC	27120
SRR5353440	1	HSC	27080
SRR5353441	1	HSC	69626
SRR5353442	1	HSC	28112
SRR5353444	1	HSC	14780
SRR5353445	1	HSC	14248
SRR5353446	1	HSC	184176
SRR5353447	1	HSC	22558
SRR5353448	1	HSC	6590
SRR5353449	1	HSC	40268
SRR5353450	1	HSC	7328
SRR5353451	1	HSC	31068
SRR5353452	1	HSC	53122
SRR5353453	1	HSC	25624
SRR5353454	1	HSC	25756
SRR5353455	1	HSC	9472
SRR5353456	1	HSC	15402
SRR5353457	1	HSC	22060
SRR5353458	1	HSC	14002
SRR5353459	1	HSC	5660
SRR5353460	1	HSC	80514
SRR5353461	1	HSC	9312
SRR5353463	1	HSC	27884
SRR5353464	1	HSC	39670
SRR5353465	1	HSC	22890
SRR5353466	1	HSC	19182
SRR5353467	1	HSC	11632
SRR5353468	1	HSC	31622
SRR5353470	1	HSC	284844
SRR5353471	1	HSC	13086
SRR5353472	1	HSC	11948
SRR5353473	1	HSC	21448
SRR5353474	1	HSC	12960
SRR5353475	1	HSC	21928
