ARI	num_clusters	clustering_method	method	input
0.200844509921502	8	hc	scImpute	pca
0.512682344884002	8	hc	MAGIC	pca
0.378360267582297	8	hc	SAVER	pca
0.457369531563702	8	hc	cisTopic	pca
0.367935389005603	8	hc	DCA	pca
0.140179772359218	8	hc	scBFA	pca
0.217874016382356	8	hc	SCALE	pca
0.353010574312606	8	hc	Raw	pca
0.0360008766151714	8	hc	PCA	pca
0.453854874496003	8	hc	scOpen	pca
0.199454481101411	8	kmedoids	scImpute	pca
0.459916650432041	8	kmedoids	MAGIC	pca
0.290209555132971	8	kmedoids	SAVER	pca
0.420083163213066	8	kmedoids	cisTopic	pca
0.257128086454388	8	kmedoids	DCA	pca
0.137888519800159	8	kmedoids	scBFA	pca
0.242656603021421	8	kmedoids	SCALE	pca
0.353431151210626	8	kmedoids	Raw	pca
0.034350125637815	8	kmedoids	PCA	pca
0.442872717436466	8	kmedoids	scOpen	pca
0.294620018967237	8	hc	scImpute	tsne
0.485427636990821	8	hc	MAGIC	tsne
0.356356384895554	8	hc	SAVER	tsne
0.529567390134488	8	hc	cisTopic	tsne
0.404900650745168	8	hc	DCA	tsne
0.140342954845518	8	hc	scBFA	tsne
0.323897686747722	8	hc	SCALE	tsne
0.462052008096085	8	hc	Raw	tsne
0.0633572354192781	8	hc	PCA	tsne
0.554522600878635	8	hc	scOpen	tsne
0.309354105585693	8	kmedoids	scImpute	tsne
0.42589930756258	8	kmedoids	MAGIC	tsne
0.389197342664129	8	kmedoids	SAVER	tsne
0.527133037958433	8	kmedoids	cisTopic	tsne
0.404524573568049	8	kmedoids	DCA	tsne
0.113521145492533	8	kmedoids	scBFA	tsne
0.295327174867934	8	kmedoids	SCALE	tsne
0.339605097173539	8	kmedoids	Raw	tsne
0.0621419162798204	8	kmedoids	PCA	tsne
0.505656640505132	8	kmedoids	scOpen	tsne
0.202906589546731	9	hc	scImpute	pca
0.527924675368774	9	hc	MAGIC	pca
0.390522491678946	9	hc	SAVER	pca
0.444346475998592	9	hc	cisTopic	pca
0.346802519645157	9	hc	DCA	pca
0.148539670951142	9	hc	scBFA	pca
0.21879329471693	9	hc	SCALE	pca
0.370311677986833	9	hc	Raw	pca
0.0302873913564198	9	hc	PCA	pca
0.41181101381299	9	hc	scOpen	pca
0.193489126923425	9	kmedoids	scImpute	pca
0.391643781218923	9	kmedoids	MAGIC	pca
0.277914404369812	9	kmedoids	SAVER	pca
0.400628645432219	9	kmedoids	cisTopic	pca
0.294096285079717	9	kmedoids	DCA	pca
0.130802031551519	9	kmedoids	scBFA	pca
0.24008149354041	9	kmedoids	SCALE	pca
0.326559951841966	9	kmedoids	Raw	pca
0.0351156897947094	9	kmedoids	PCA	pca
0.450496427154756	9	kmedoids	scOpen	pca
0.281385751474654	9	hc	scImpute	tsne
0.38828809031482	9	hc	MAGIC	tsne
0.379368581394412	9	hc	SAVER	tsne
0.483519326981675	9	hc	cisTopic	tsne
0.422326896669327	9	hc	DCA	tsne
0.127478236067288	9	hc	scBFA	tsne
0.34601771217525	9	hc	SCALE	tsne
0.474350823449441	9	hc	Raw	tsne
0.0644137939847018	9	hc	PCA	tsne
0.513578585942342	9	hc	scOpen	tsne
0.282252199998697	9	kmedoids	scImpute	tsne
0.408860032760924	9	kmedoids	MAGIC	tsne
0.409578449369106	9	kmedoids	SAVER	tsne
0.46135627989199	9	kmedoids	cisTopic	tsne
0.363704300849471	9	kmedoids	DCA	tsne
0.116724053255801	9	kmedoids	scBFA	tsne
0.314170846352309	9	kmedoids	SCALE	tsne
0.330488419520882	9	kmedoids	Raw	tsne
0.0583851543569361	9	kmedoids	PCA	tsne
0.486674111651525	9	kmedoids	scOpen	tsne
