Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	5.71246196957962	4.92413676719856	HSC	32556
SRR5353378	5.21756078931229	3.05369771461677	HSC	7234
SRR5353379	4.68312599393265	5.05416453819465	HSC	36120
SRR5353380	6.03139879437821	3.93696845512581	HSC	13892
SRR5353381	5.82266809674637	2.47211707573128	HSC	7358
SRR5353382	5.09761430951493	4.0853182170887	HSC	17630
SRR5353383	6.20096494885819	3.6616703365345	HSC	11228
SRR5353384	4.60062410565751	5.31574643593025	HSC	76198
SRR5353385	6.28788854810135	4.10866988640022	HSC	23750
SRR5353386	6.19195368024247	5.06514705162239	HSC	23968
SRR5353387	6.20855619641678	2.29491365890693	HSC	9242
SRR5353388	4.34329559537308	5.03922713737678	HSC	53518
SRR5353389	5.75317575665848	4.91942656974983	HSC	25782
SRR5353390	5.7023897382869	4.20696843605232	HSC	20056
SRR5353391	6.03491022321122	3.63838160972786	HSC	15818
SRR5353392	5.06855108472245	3.83687747459602	HSC	22212
SRR5353393	4.31273510190384	5.20504868965339	HSC	95848
SRR5353394	3.99945499631302	5.28658402900886	HSC	155324
SRR5353395	4.30204727383988	5.3616477344532	HSC	81460
SRR5353396	6.21301271649735	5.19020474891853	HSC	23432
SRR5353397	6.18043281766312	4.06105483513069	HSC	13066
SRR5353398	4.28146841260331	4.01315654258919	HSC	23492
SRR5353399	4.32735969754593	1.98025072555732	HSC	4360
SRR5353400	0.477831504072117	-1.19960599202919	HSC	34890
SRR5353401	6.09844734403031	3.47974647026253	HSC	12040
SRR5353402	6.41260244580643	3.50941766243171	HSC	13018
SRR5353403	6.41286279889481	4.25827659111213	HSC	23544
SRR5353404	4.24670555325882	1.95003784637642	HSC	4066
SRR5353405	4.72166588040726	2.17254246216011	HSC	4428
SRR5353407	4.38394739362137	5.36753524284553	HSC	79106
SRR5353408	5.31300785275834	4.1976581905384	HSC	23082
SRR5353409	4.32035019132035	4.23378528099251	HSC	61536
SRR5353410	6.36086609097855	3.18100131492805	HSC	11418
SRR5353412	3.89487936231034	3.74594176750374	HSC	16258
SRR5353413	5.40339805814164	2.90525544624519	HSC	13190
SRR5353414	5.83564522000687	2.83684457283211	HSC	10116
SRR5353415	6.35939123364823	2.8319002483387	HSC	11080
SRR5353416	5.43718387814896	5.33106959800911	HSC	32856
SRR5353417	3.73609640332596	4.71999419670296	HSC	42352
SRR5353418	4.59562208386795	4.20146144371223	HSC	32626
SRR5353419	5.72388365003006	2.8953129146595	HSC	21502
SRR5353420	5.93608667584794	2.85574401359749	HSC	14374
SRR5353422	5.04898073407547	4.46961463432503	HSC	41880
SRR5353423	6.20788099500077	5.01567042808723	HSC	25978
SRR5353424	5.34466697904007	2.78963101844978	HSC	18318
SRR5353425	6.13081743451493	5.15520156364631	HSC	29394
SRR5353426	5.46666147443192	2.91547025184822	HSC	6650
SRR5353427	6.12316705914872	3.69474328499031	HSC	16400
SRR5353429	6.18444921704667	2.87128985862922	HSC	13596
SRR5353430	6.43633844586747	4.25504125099373	HSC	25000
SRR5353431	6.19506456586258	2.7495700214405	HSC	13614
SRR5353432	6.10024263593094	4.2174450252552	HSC	29798
SRR5353433	4.95623161527054	1.92498553734016	HSC	6336
SRR5353434	5.75309374066727	5.34803498726082	HSC	38878
SRR5353435	6.5326013776912	3.61401523094368	HSC	20454
SRR5353436	5.33583118649857	2.08043468933296	HSC	5308
SRR5353437	4.25181724759476	4.06747020225715	HSC	21346
SRR5353438	6.30118992062943	2.43255532722664	HSC	10118
SRR5353439	6.16672851773636	5.14254535179329	HSC	27120
SRR5353440	5.39171077939408	4.67120135765266	HSC	27080
SRR5353441	4.67163707944291	4.81189979057503	HSC	69626
SRR5353442	6.09565069409745	5.15518105964851	HSC	28112
SRR5353444	6.47703792783158	3.11693633537483	HSC	14780
SRR5353445	5.87382127972977	3.13477576713753	HSC	14248
SRR5353446	3.86001207562821	4.72866786461067	HSC	184176
SRR5353447	6.0946860525264	4.49629081230354	HSC	22558
SRR5353448	5.13524820538895	1.56248796920967	HSC	6590
SRR5353449	4.3920116636409	4.88328183632087	HSC	40268
SRR5353450	6.10818483563797	2.26619065742683	HSC	7328
SRR5353451	4.82192184659378	4.30329049568367	HSC	31068
SRR5353452	4.34681131574051	4.58547891121101	HSC	53122
SRR5353453	6.21713306638138	4.72834552269172	HSC	25624
SRR5353454	5.18196203442948	4.57194388847542	HSC	25756
SRR5353455	6.36697962018387	2.40776599388313	HSC	9472
SRR5353456	6.19496824475663	3.86204637031746	HSC	15402
SRR5353457	6.27027466031449	4.12773240547371	HSC	22060
SRR5353458	6.3935690137996	2.8713642452259	HSC	14002
SRR5353459	5.44850113126175	1.99942577820015	HSC	5660
SRR5353460	4.79084064694779	5.07669747810554	HSC	80514
SRR5353461	5.20155193539994	2.16286052208137	HSC	9312
SRR5353463	5.20516493054764	5.10974563102913	HSC	27884
SRR5353464	4.19329931470292	3.83509839515877	HSC	39670
SRR5353465	3.955304643835	3.82364095192146	HSC	22890
SRR5353466	3.90432502957718	3.93242658119392	HSC	19182
SRR5353467	6.4715604993953	2.86673224907112	HSC	11632
SRR5353468	6.42537691327469	4.86248076896858	HSC	31622
SRR5353470	4.11560013028519	5.39823735695076	HSC	284844
SRR5353471	6.2777276250972	3.85481370430183	HSC	13086
SRR5353472	2.31817748280899	2.09144891243171	HSC	11948
SRR5353473	3.82906343671219	3.84219325523567	HSC	21448
SRR5353474	4.32628061505692	3.21992362480354	HSC	12960
SRR5353475	3.80465318890946	4.02616227607918	HSC	21928
SRR5353476	3.83861067029374	3.76875842552376	HSC	12714
SRR5353477	2.95912482472794	3.19056428413582	HSC	8672
SRR5353478	0.428542515958714	-1.13413955826569	HSC	90968
SRR5353479	5.07602407666581	1.75228441696357	HSC	3784
SRR5353480	4.15775158139603	4.02971042137337	HSC	25916
SRR5353481	4.43131115170853	3.94024575691414	HSC	22464
SRR5353482	4.58705713483231	2.12556684951973	HSC	3262
SRR5353484	4.13828613492386	4.10110486488533	HSC	16064
SRR5353490	5.63124086591141	3.01843226890754	HSC	9936
SRR5353494	5.51128771039383	2.19488037567329	HSC	9726
SRR5353497	5.49734022351639	4.14180339317512	HSC	21772
SRR5353498	4.11638452741044	4.98582471351814	HSC	42952
SRR5353499	5.90895654889481	3.76897538643074	HSC	14722
SRR5353500	5.79714920255082	3.09552014808845	HSC	13968
SRR5353502	5.93868877622025	3.55148900489998	HSC	17260
SRR5353503	3.91082336636918	4.57257235984993	HSC	90974
SRR5353504	4.69196464749711	2.65254462700081	HSC	6036
SRR5353505	4.74798490735428	3.02589763145637	HSC	10514
SRR5353506	4.95027878018753	2.54920280914497	HSC	6096
SRR5353507	5.77080776425736	4.17929900627327	HSC	16486
SRR5353509	4.96074106427567	5.02658189277839	HSC	46338
SRR5353510	6.00546600552933	4.06473315696907	HSC	14210
SRR5353511	4.81349947186844	3.9758678768177	HSC	18328
SRR5353512	5.91413356992142	5.16214097480964	HSC	22132
SRR5353513	4.38143684598343	2.039407143404	HSC	4142
SRR5353514	3.58527900906937	3.53795588951301	HSC	11650
SRR5353515	5.0749802801265	3.26981414299202	HSC	11130
SRR5353516	3.76769973966019	4.78928769569587	HSC	51720
SRR5353517	3.72789194318192	3.96447003822517	HSC	28060
SRR5353518	4.00495960446732	2.17521036606025	HSC	4256
SRR5353519	6.04103615018265	4.33058179359627	HSC	17720
SRR5353521	5.03798773023026	2.44139564972114	HSC	12672
SRR5353522	2.62153794499772	2.95890248756599	HSC	50108
SRR5353524	5.67341282102005	4.20031703453254	HSC	18892
SRR5353525	3.87158968182938	3.53589929084968	HSC	34232
SRR5353526	5.2074151250972	3.84913695793342	HSC	20200
SRR5353527	5.25128032895462	4.00789035301399	HSC	17888
SRR5353528	4.30234958859818	5.1558519695301	HSC	44822
SRR5353529	3.8873319837703	3.99311650734138	HSC	19928
SRR5353530	4.06366016599076	2.09332359771919	HSC	3836
SRR5353531	5.86636306973832	4.35844052772712	HSC	20082
SRR5353532	5.22005750867264	1.7646383140583	HSC	4862
SRR5353533	4.63375332089798	0.686139950563428	HSC	161956
SRR5353534	4.23397352429764	2.32464469413948	HSC	5910
SRR5353535	6.01980402203934	5.24671376686287	HSC	25178
SRR5353536	5.38378336163895	2.67081845741462	HSC	9418
SRR5353538	5.88603498669999	5.14038623314094	HSC	23790
SRR5353539	4.0271115514888	4.93213952522468	HSC	69298
SRR5353540	3.90357353421586	4.36730588417244	HSC	47676
SRR5353541	4.076003572668	5.04590095024299	HSC	52094
SRR5353542	5.02585794659989	2.68754065971565	HSC	8440
SRR5353543	5.40725757810013	4.60003531913948	HSC	25632
SRR5353544	4.23911907407181	2.04478443603706	HSC	3362
SRR5353545	5.49206640454667	3.16555703621101	HSC	10534
SRR5353546	5.04976656171219	2.64225352745247	HSC	7100
SRR5353547	4.60530760022538	2.08275092582893	HSC	6224
SRR5353548	4.5687399122371	1.7834166381855	HSC	4324
SRR5353549	4.28383781644242	2.03597725372505	HSC	3620
SRR5353550	3.96524717542069	5.01114572029304	HSC	54684
SRR5353551	5.47037698956864	3.70446361046028	HSC	14286
SRR5353552	5.12276174756424	2.78867972831917	HSC	56174
SRR5353553	3.83962442609208	4.78423751335335	HSC	73490
SRR5353554	6.07738783093827	2.30073083381843	HSC	7842
SRR5353555	5.96530487271683	2.7886964176197	HSC	11528
SRR5353556	3.93015482159989	2.16812742691231	HSC	8288
SRR5353557	5.88232662412064	4.83015407066536	HSC	20126
SRR5353558	4.99129774304764	3.11252130012703	HSC	14108
SRR5353559	5.4466352674617	4.22326434593391	HSC	26076
SRR5353560	5.6267061445369	4.16355336647224	HSC	18978
SRR5353561	5.21653558942215	2.46443189125252	HSC	124734
SRR5353562	5.81406213971512	5.25950253944587	HSC	28980
SRR5353563	5.37932493420975	4.664393553545	HSC	36868
SRR5353564	6.02721979352372	5.34666455726814	HSC	34584
SRR5353565	4.02919056149857	5.34924853782844	HSC	377270
SRR5353566	5.10740043851273	2.59508527260017	HSC	21414
SRR5353567	4.65929081174271	5.35623277168464	HSC	148232
SRR5353568	6.44870378705399	2.4867161605854	HSC	12744
SRR5353570	4.03771593305008	4.05128491859627	HSC	27554
SRR5353571	6.1174435827388	3.56649459343147	HSC	12428
SRR5353572	4.00685693951981	4.49747050743294	HSC	30786
SRR5353574	3.96291591855423	4.43845571022224	HSC	26766
SRR5353577	6.06306459638016	3.21219838600349	HSC	8112
SRR5353578	5.76796867581742	2.6390668247242	HSC	9134
SRR5353579	5.01183654996293	4.33680404167366	HSC	28084
SRR5353580	5.3159356329097	3.39422095756721	HSC	11542
SRR5353585	5.92961981030838	2.20356381874275	HSC	8016
SRR5353586	5.55985882016556	2.22828615646553	HSC	8692
SRR5353591	3.33274056645768	3.3439885471363	HSC	13416
SRR5353592	4.73852112027543	2.99443686943245	HSC	13462
SRR5353593	4.61277487012284	5.04199660759163	HSC	53352
SRR5353594	5.42263509961503	2.6594787929554	HSC	10004
SRR5353595	4.94787933560746	2.9680177066822	HSC	13426
SRR5353596	4.53482105466263	5.31951058845711	HSC	57180
SRR5353597	3.86162998410599	4.72442544441414	HSC	45466
SRR5353598	5.77163889142411	4.11317027549934	HSC	14940
SRR5353599	4.93833734723465	2.27055324058723	HSC	6324
SRR5353600	3.87398435803788	2.1737610195179	HSC	3696
SRR5353601	3.69070102902787	3.95240891914558	HSC	23000
SRR5353602	3.77500583859818	4.85556806068611	HSC	51598
SRR5353603	4.16644098492997	4.56675685386848	HSC	35032
SRR5353604	4.77452137204545	2.72209466438484	HSC	11518
SRR5353605	5.68184902402298	4.42950356941414	HSC	20424
SRR5353607	2.46136953565018	2.80742753486824	HSC	8762
SRR5353608	5.10115673276322	4.58363736610603	HSC	23168
SRR5353609	3.45625974866288	3.56155885200691	HSC	13516
SRR5353610	5.69316627713578	2.9662824962635	HSC	11492
SRR5353611	5.68703939649003	3.42219842415046	HSC	10260
SRR5353613	5.89547064038651	2.81032384376716	HSC	8360
SRR5353614	5.89211609097855	2.35821975212288	HSC	9300
SRR5353615	4.55372049542801	5.15500653724861	HSC	61250
SRR5353616	5.28640796872513	2.64603675346565	HSC	7862
SRR5353617	4.81990816327469	2.60127795677376	HSC	14610
SRR5353618	6.19403030606644	3.71686471443367	HSC	12526
SRR5353619	6.23068334790604	4.96922982673836	HSC	22976
SRR5353620	3.90271093579667	4.09623445015144	HSC	26754
SRR5353621	5.00295355054276	2.27797997932625	HSC	7446
SRR5353622	0.882144949163365	2.6441332195301	HSC	20798
SRR5353623	5.34997226926224	5.26823819618416	HSC	33948
SRR5353624	5.22270490857499	2.45524228553962	HSC	6710
SRR5353625	6.04152824612992	2.28006566505623	HSC	10232
SRR5353626	6.13034107419388	2.12752116661262	HSC	8976
SRR5353628	3.99856044980423	4.35051215629768	HSC	30964
SRR5353629	5.08176614972489	3.26229489784431	HSC	11500
SRR5353630	-3.16398928431137	0.940107474138258	HSC	91046
SRR5353631	5.43111660214798	4.38465131263923	HSC	21346
SRR5353632	6.04092409345047	3.62791884880256	HSC	13860
SRR5353633	6.27676870557206	2.28835333328438	HSC	10206
SRR5353634	4.96962740155594	5.37039102058601	HSC	60056
SRR5353635	5.78324129315751	2.24805105667305	HSC	8708
SRR5353636	6.35062410565751	4.53546870689583	HSC	17742
SRR5353637	5.1205649587764	1.56032169799995	HSC	8336
SRR5353638	4.97802974912064	4.81649411659431	HSC	44298
SRR5353639	5.73408987256424	4.28828013878059	HSC	23686
SRR5353640	4.00143291684525	5.08384383659553	HSC	51138
SRR5353641	4.05952121945755	3.82561553459358	HSC	14568
SRR5353642	4.23792888852494	4.22863734703254	HSC	30680
SRR5353643	4.70033647748368	2.69986308555794	HSC	10782
SRR5353644	4.0634212705745	4.20427144508552	HSC	20862
SRR5353645	5.23208906384842	2.51450956802559	HSC	7814
SRR5353646	5.98492958279984	2.18017853241157	HSC	7424
SRR5353647	2.94152762624161	3.18631614189338	HSC	10180
SRR5353652	6.53012420865433	3.18193305473518	HSC	18856
SRR5353653	5.9123711797847	3.5297762249012	HSC	15002
SRR5353654	6.2178721639766	2.36052692871284	HSC	11030
SRR5353655	5.90953781339066	5.25205529670906	HSC	27052
SRR5353656	4.76097395154374	4.79989350776863	HSC	34870
SRR5353657	4.83346369000809	2.82105935554695	HSC	11612
SRR5353658	3.78759624692337	4.96871436577034	HSC	93972
SRR5353659	6.3514957639827	2.44466532211494	HSC	9278
SRR5353660	4.73106767865555	5.14801372032356	HSC	30776
SRR5353661	0.230831644262242	-3.76188503761101	HSC	590750
SRR5353662	3.82559110852616	2.23676622848701	HSC	4310
SRR5353663	4.83507063123124	2.34709490280342	HSC	9702
SRR5353665	1.09762909146683	3.22704471092415	HSC	9478
SRR5353666	0.573628446782994	2.98730815391731	HSC	13706
SRR5353667	0.34198238583939	4.10198892097664	HSC	20034
SRR5353668	-0.0942749169216874	4.06073821525764	HSC	21248
SRR5353669	0.555498025144505	3.64979327659797	HSC	13504
SRR5353670	1.36503197881119	2.1645099018116	HSC	8278
SRR5353671	2.54419519635575	2.68016589622688	HSC	5814
SRR5353674	1.30964162084	3.40142358284187	HSC	8734
SRR5353675	1.34064783784287	1.93427742462349	HSC	11374
SRR5353676	2.95690705510514	2.57906211357307	HSC	5450
SRR5353677	-0.71635212120874	4.1915193889637	HSC	42474
SRR5353678	0.958224317754674	3.42071593742561	HSC	19348
SRR5353679	-0.556675554488731	4.17826093177986	HSC	35322
SRR5353680	2.57122709485428	2.50868619423103	HSC	8440
SRR5353681	0.466640493596959	3.93712151985359	HSC	15794
SRR5353683	2.84269263478653	2.52867282371712	HSC	3392
SRR5353684	-0.460989260350299	3.81132377128792	HSC	34890
SRR5353685	0.510575554098057	0.854685911943433	HSC	16988
SRR5353686	0.730097791875767	2.95433534126472	HSC	13010
SRR5353687	0.0200282547129866	3.71948731880379	HSC	24482
SRR5353688	1.59318115445511	2.95906365852546	HSC	7766
SRR5353689	-0.263061085020137	3.93788732032966	HSC	28298
SRR5353690	0.591471693242955	3.17343915443611	HSC	15192
SRR5353692	0.097057721342015	2.91511023979378	HSC	32488
SRR5353693	2.87181093427079	0.0266386364002205	HSC	120398
SRR5353694	-0.328742035900188	3.24627555351448	HSC	33774
SRR5353695	2.15113570424454	2.40109218101692	HSC	9074
SRR5353696	-0.365144410406185	3.20621217231941	HSC	48066
SRR5353697	1.52760030957596	3.28980887870979	HSC	8640
SRR5353698	0.983613631452489	2.77153695564461	HSC	11444
SRR5353699	1.82730343076127	2.24468816261482	HSC	11192
SRR5353700	2.27374078961747	2.25809706192207	HSC	7164
SRR5353701	-0.711045422826839	4.10257352333259	HSC	36516
SRR5353702	-0.321064927850795	3.99002135734749	HSC	28744
SRR5353703	-0.676920742963386	4.25568784218025	HSC	33270
SRR5353704	-0.362826355968547	3.40752852897835	HSC	40616
SRR5353705	0.705144188131261	2.04862774353218	HSC	22304
SRR5353706	-0.480656960283351	3.9179164264698	HSC	31632
SRR5353707	1.11374475690262	1.91501320343208	HSC	10900
SRR5353708	-1.54750738409622	2.36354793052864	HSC	45786
SRR5353709	1.09267880650895	3.74769843559456	HSC	9604
SRR5353710	2.95915915700333	2.46692312698555	HSC	4858
SRR5353711	0.847488782133031	3.16911042671394	HSC	16946
SRR5353712	1.17980732652085	2.20538581352424	HSC	10930
SRR5353713	-0.11897484329803	4.11741603355598	HSC	30736
SRR5353714	0.429768225873875	1.66361964683723	HSC	21376
SRR5353715	-0.625672499884796	3.70054639320564	HSC	40752
SRR5353716	-0.472115093146396	4.13157857399177	HSC	32346
SRR5353717	1.37502767774003	2.18851698379707	HSC	8410
SRR5353719	2.21140291425126	2.69029010276985	HSC	5064
SRR5353720	0.445824167455601	2.95710242729378	HSC	23602
SRR5353721	0.977557680334019	3.77101624946785	HSC	13570
SRR5353722	1.3699181291713	3.11925805549812	HSC	12402
SRR5353723	-0.213340738092494	4.24559367637825	HSC	27342
SRR5353724	2.30325700971024	2.32321680526924	HSC	10694
SRR5353725	2.02226903172867	2.15832150917244	HSC	9754
SRR5353727	0.349680325712132	2.55682743530464	HSC	23720
SRR5353728	-0.633942356568706	4.14921678047371	HSC	46858
SRR5353729	0.305450937475133	4.02346480827522	HSC	20362
SRR5353730	-0.042771973882747	3.62163794975471	HSC	23190
SRR5353731	0.752416631902623	2.82654918174934	HSC	13668
SRR5353732	-0.393744387899471	4.0448547695179	HSC	31552
SRR5353734	1.07551004620926	3.66365636329841	HSC	16702
SRR5353735	2.90071084233658	2.30184687118721	HSC	4884
SRR5353736	1.0254425022258	2.15520537834358	HSC	14380
SRR5353737	-0.692951378648115	3.944920191576	HSC	50724
SRR5353738	0.779085180486607	3.61138690452766	HSC	15358
SRR5353740	-1.89115140703781	2.04377950172615	HSC	30706
SRR5353743	0.522844812597203	3.05893481712532	HSC	17120
SRR5353744	-0.30294890073402	2.98022235374641	HSC	48100
SRR5353745	1.68532325955765	2.8783222530384	HSC	6216
SRR5353746	-0.294229724680019	3.94597590904426	HSC	26114
SRR5353747	-0.246869691883159	3.50245393257332	HSC	30206
SRR5353749	-0.441443183694911	3.4235636089344	HSC	44066
SRR5353750	1.42373325559037	2.28472412567329	HSC	12202
SRR5353751	-0.563510165785384	4.23584331016731	HSC	33268
SRR5353752	2.29678895207779	2.11402715187263	HSC	4376
SRR5353753	0.760178706373143	3.78977359276008	HSC	15016
SRR5353756	-0.492627688919139	4.23497498970222	HSC	31274
SRR5353757	-0.45644795266254	1.42423141937446	HSC	92892
SRR5353758	-0.603525032524896	3.40712369423103	HSC	137470
SRR5353759	0.422750374998021	3.96081841926765	HSC	14598
SRR5353760	1.13876440259354	1.78974569778633	HSC	9040
SRR5353762	2.74409200879471	2.32156218033027	HSC	5878
SRR5353775	1.81052949162858	2.41122091751289	HSC	7020
SRR5353780	0.687091610158848	3.98958028297615	HSC	18570
SRR5353791	2.57786943646805	2.12253845672798	HSC	6606
SRR5353796	1.64525844785111	2.92711986046028	HSC	6406
SRR5353797	1.57854916783707	2.33800161819649	HSC	6796
SRR5353798	2.79527690144913	2.61033023338508	HSC	3614
SRR5353799	1.41626121732132	1.90301455002022	HSC	6184
SRR5353803	1.32691921922104	3.29026568870735	HSC	9014
SRR5353804	-0.441312411104274	3.52894700508308	HSC	36078
SRR5353805	0.729335329259801	3.63939059715462	HSC	10222
SRR5353807	0.0302177283419844	3.9564005229969	HSC	18562
SRR5353808	2.47980429860489	2.51247347336006	HSC	3288
SRR5353809	1.34426142903702	3.21767962913704	HSC	11932
SRR5353810	2.0713865968837	2.49203980903816	HSC	5496
SRR5353811	-0.442043670688701	3.36324561577034	HSC	47306
SRR5353812	-0.558767752026153	3.99433959465217	HSC	33560
SRR5353813	1.54736997815506	3.21112121086311	HSC	6974
SRR5353814	-0.301922389541698	4.2143784854908	HSC	21378
SRR5353816	1.90011336537735	1.87506307106209	HSC	4164
SRR5353817	0.419639966215062	3.76220334510994	HSC	12948
SRR5353818	1.07445420953171	2.91229737739754	HSC	13182
SRR5353819	0.339056751455235	3.43882716636848	HSC	17738
SRR5353820	3.16028024884598	2.24795878868294	HSC	4846
SRR5353821	1.83231618138688	2.9145361278553	HSC	9400
SRR5353822	1.89479329320328	2.57123340110969	HSC	9062
SRR5353824	2.42401768895524	2.00109041671943	HSC	6102
SRR5353825	0.605750224317479	2.77171290855598	HSC	16162
SRR5353826	0.489289781774449	2.82841218452644	HSC	16330
SRR5353827	0.305221101964879	1.59044731598091	HSC	21120
SRR5353829	0.935009619916844	2.50325072746467	HSC	22274
SRR5353831	-0.0793986108647111	3.99245894890022	HSC	25512
SRR5353832	3.05876853200333	2.53724015693855	HSC	4546
SRR5353833	2.9286966535701	1.89881957512092	HSC	15348
SRR5353834	1.32270576688187	2.08064855079841	HSC	8566
SRR5353835	-0.106947281633449	3.49081099968147	HSC	56802
SRR5353836	-0.061476328645778	3.19155992012214	HSC	24064
SRR5353837	1.91320945950882	2.71521533470344	HSC	9392
SRR5353841	0.867196461881566	3.71752465706062	HSC	12910
SRR5353842	-0.4362382080899	4.07951749305916	HSC	31444
SRR5353843	-0.1601251449929	4.15471328239631	HSC	22196
SRR5353844	3.02172257634537	2.53090895157051	HSC	3564
SRR5353845	-0.017734029565883	3.44937528114509	HSC	25778
SRR5353847	3.0910353872432	2.47401846389961	HSC	4650
SRR5353849	0.960596821035313	2.78752912025642	HSC	13830
SRR5353850	0.200055441583562	4.03354133110237	HSC	15774
SRR5353852	2.44205620023148	2.4586023185749	HSC	4552
