Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	-1.66908129264403	-0.079503126677003	HSC	32556
SRR5353378	-1.53379573632765	-2.33059007697913	HSC	7234
SRR5353379	-1.00883480121184	-2.74080664687964	HSC	36120
SRR5353380	1.54513714502764	-1.49278719001624	HSC	13892
SRR5353381	-0.939357347383977	-2.80393034988257	HSC	7358
SRR5353382	-1.10002245713759	-2.75536043220374	HSC	17630
SRR5353383	-0.718736907064797	0.286416999761138	HSC	11228
SRR5353384	-1.14756210853148	-2.21910340362402	HSC	76198
SRR5353385	-1.2124268632083	-2.48191911750647	HSC	23750
SRR5353386	-3.41387297917891	0.31788670248178	HSC	23968
SRR5353387	-1.85854401399183	-2.23628217750403	HSC	9242
SRR5353388	-1.62348284532118	-1.85481435829016	HSC	53518
SRR5353389	-3.05229975987959	-0.82768876129004	HSC	25782
SRR5353390	0.877969719871997	0.0326874775328969	HSC	20056
SRR5353391	-1.09806733538199	-2.37277013831946	HSC	15818
SRR5353392	-1.57430448342848	-2.39990074210974	HSC	22212
SRR5353393	-2.77518775273848	-1.71179921203467	HSC	95848
SRR5353394	-2.18047883321333	-1.21147234016272	HSC	155324
SRR5353395	-0.985826573863508	0.544034056130919	HSC	81460
SRR5353396	-2.38852979947615	-0.920412130888429	HSC	23432
SRR5353397	-1.08191301633406	-2.11828691535803	HSC	13066
SRR5353398	-0.729021312848547	-2.8476505952439	HSC	23492
SRR5353399	-0.883882812753202	-2.87053353362891	HSC	4360
SRR5353400	-0.868557042971135	-2.24048049026343	HSC	34890
SRR5353401	-0.499963394895078	-2.57900030189368	HSC	12040
SRR5353402	1.23783097456407	-0.494179912146058	HSC	13018
SRR5353403	-1.32300027419615	-2.53633553558203	HSC	23544
SRR5353404	-1.20600026060629	-2.45760089927527	HSC	4066
SRR5353405	-1.23636355210829	-2.47872836166235	HSC	4428
SRR5353407	-0.0931722145228399	-2.03202254348609	HSC	79106
SRR5353408	-1.69072713662672	-2.42632634216162	HSC	23082
SRR5353409	-2.47704460431624	-1.53640706115576	HSC	61536
SRR5353410	-1.01181464602041	-2.51248986297461	HSC	11418
SRR5353412	-2.22666718770552	-2.0719724374375	HSC	16258
SRR5353413	-1.55919875909376	-2.32827550941321	HSC	13190
SRR5353414	-3.11948015500593	-0.676596828039613	HSC	10116
SRR5353415	-1.59470131207991	-1.13296134048316	HSC	11080
SRR5353416	-2.56840362359572	-1.60077578597876	HSC	32856
SRR5353417	-1.98202075768995	-2.13857705169531	HSC	42352
SRR5353418	-2.78524615575361	-1.65018016868445	HSC	32626
SRR5353419	-2.08175613690901	-2.28569323592993	HSC	21502
SRR5353420	-2.79736950208235	-1.29840452247473	HSC	14374
SRR5353422	-2.32525493909407	-0.787512965734925	HSC	41880
SRR5353423	-2.87173344899702	-1.26307088905188	HSC	25978
SRR5353424	-1.2509759287982	-2.32234413200232	HSC	18318
SRR5353425	-1.86567082215834	-0.669486947592225	HSC	29394
SRR5353426	-3.0605240087657	-0.916740007933107	HSC	6650
SRR5353427	-1.42529704381514	-2.27327591949317	HSC	16400
SRR5353429	-2.18812897016096	-1.56282956176611	HSC	13596
SRR5353430	-1.34202464629698	-2.39601356559607	HSC	25000
SRR5353431	-1.6054818253665	-1.07857043319556	HSC	13614
SRR5353432	-2.43153168965864	-0.242244072493043	HSC	29798
SRR5353433	-2.30463661958265	-1.09609300666663	HSC	6336
SRR5353434	-2.76766445447493	-0.893801279600587	HSC	38878
SRR5353435	-1.60681023408461	-0.1095598416886	HSC	20454
SRR5353436	-2.90559270192671	-0.945686884458985	HSC	5308
SRR5353437	-1.98554863740492	-1.94085914665076	HSC	21346
SRR5353438	-2.88307645131636	-1.08936841064307	HSC	10118
SRR5353439	-2.12656881619978	-1.05139095359656	HSC	27120
SRR5353440	-1.21892847825575	0.0802312416472768	HSC	27080
SRR5353441	0.659213044151782	0.650417409602675	HSC	69626
SRR5353442	-1.94644334126997	-1.65167004638525	HSC	28112
SRR5353444	-2.58878769685316	-1.36305887275549	HSC	14780
SRR5353445	-2.2500227909236	-0.587623663481202	HSC	14248
SRR5353446	-2.39079429914045	-1.51024562888953	HSC	184176
SRR5353447	-2.44089844037581	-2.12572891288611	HSC	22558
SRR5353448	-2.771120331779	-0.635774202879396	HSC	6590
SRR5353449	-2.65481843759108	-1.27758009010169	HSC	40268
SRR5353450	-1.82862355519819	-2.22280509048316	HSC	7328
