Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	5.6456533522727	-5.08874490658091	HSC	32556
SRR5353378	2.54027281714697	-5.60997703472422	HSC	7234
SRR5353379	5.50723515464087	-4.09265020290659	HSC	36120
SRR5353380	4.37505446387549	-5.88693931499766	HSC	13892
SRR5353381	2.62985716773291	-5.99120262066172	HSC	7358
SRR5353382	3.53649531317969	-4.48403003612803	HSC	17630
SRR5353383	4.69553814841528	-6.52157285610484	HSC	11228
SRR5353384	5.59219037009497	-2.82790401378916	HSC	76198
SRR5353385	4.24221859885473	-6.01251771847056	HSC	23750
SRR5353386	5.51406393958349	-5.55888011852549	HSC	23968
SRR5353387	3.28580628348608	-5.87612178722666	HSC	9242
SRR5353388	4.6158853621604	-2.6711881438856	HSC	53518
SRR5353389	5.24897681189795	-4.59984329143809	HSC	25782
SRR5353390	4.60741291953345	-5.28561523357676	HSC	20056
SRR5353391	2.89024887992163	-5.37701394954966	HSC	15818
SRR5353392	4.58517323447485	-4.38662460247324	HSC	22212
SRR5353393	5.62039385749121	-2.37796857754038	HSC	95848
SRR5353394	5.47256098700781	-1.98409369388865	HSC	155324
SRR5353395	5.66461096717138	-2.18578842083262	HSC	81460
SRR5353396	5.62658844901343	-6.45979526439951	HSC	23432
SRR5353397	3.02899728728552	-5.94879367748545	HSC	13066
SRR5353398	3.38644801093359	-2.78451016346262	HSC	23492
SRR5353399	0.446292981636717	-5.5870006362562	HSC	4360
SRR5353400	3.53888379050513	-2.65340307155894	HSC	34890
SRR5353401	3.44220171881933	-6.23324230114268	HSC	12040
SRR5353402	4.78152237845678	-6.51922681728648	HSC	13018
SRR5353403	3.78837929679175	-4.99851301113413	HSC	23544
SRR5353404	0.35230736447592	-5.69358470836924	HSC	4066
SRR5353405	1.60881052924414	-6.06100204387949	HSC	4428
SRR5353407	5.68995152426977	-2.27737489143656	HSC	79106
SRR5353408	5.21453009558935	-4.94389417568491	HSC	23082
SRR5353409	4.77388773871679	-4.45342805782603	HSC	61536
SRR5353410	2.66385017348547	-5.4006893912916	HSC	11418
SRR5353412	2.4588185401084	-2.90768840709971	HSC	16258
SRR5353413	2.57914839698096	-4.72594430843638	HSC	13190
SRR5353414	3.48406349135657	-6.09341934124278	HSC	10116
SRR5353415	4.74316607428808	-6.7276518622999	HSC	11080
SRR5353416	5.4399443717124	-4.21378472248362	HSC	32856
SRR5353417	3.83225356055517	-1.25026777187632	HSC	42352
