Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	-1.10536974803692	-5.3518975487253	HSC	32556
SRR5353378	-3.05003208057171	-6.63544733433931	HSC	7234
SRR5353379	-1.15935963527447	-4.62174255757539	HSC	36120
SRR5353380	-2.05373233691937	-5.73656065373628	HSC	13892
SRR5353381	-1.66952961818463	-6.52832491307466	HSC	7358
SRR5353382	-2.26995176212078	-4.41471893696993	HSC	17630
SRR5353383	-2.90348380939251	-7.26341946034639	HSC	11228
SRR5353384	-1.01664489642864	-3.02898914723604	HSC	76198
SRR5353385	-1.99134820834881	-5.73519594578951	HSC	23750
SRR5353386	-1.26987117664105	-6.01493008046358	HSC	23968
SRR5353387	-3.13029045001751	-6.37746412663667	HSC	9242
SRR5353388	-1.16399043933636	-2.89730436711519	HSC	53518
SRR5353389	-2.94983810321575	-4.6413319817087	HSC	25782
SRR5353390	-1.21134799854046	-5.02101213841646	HSC	20056
SRR5353391	-1.5288147343803	-5.12794239430635	HSC	15818
SRR5353392	-3.00081819431072	-4.44073088078706	HSC	22212
SRR5353393	-0.957439841191828	-2.94346482663362	HSC	95848
SRR5353394	-0.965952576558649	-2.16756875424593	HSC	155324
SRR5353395	-1.03088516132122	-2.96641356854646	HSC	81460
SRR5353396	-1.6376878632713	-6.60712225346773	HSC	23432
SRR5353397	-1.58243507282025	-5.83857948689668	HSC	13066
SRR5353398	-1.45569485561138	-2.91153247266023	HSC	23492
SRR5353399	-3.38495487109905	-5.90337116627901	HSC	4360
SRR5353400	-1.80779761211163	-2.44574410824983	HSC	34890
SRR5353401	-1.81448334590679	-5.73960287480562	HSC	12040
SRR5353402	-2.79665321246868	-7.81179840474336	HSC	13018
SRR5353403	-1.06100887195355	-4.16809112935274	HSC	23544
SRR5353404	-2.12714427844769	-5.89308817296236	HSC	4066
SRR5353405	-2.85048335925823	-7.12235529332369	HSC	4428
SRR5353407	-1.6934511079002	-4.47000296025484	HSC	79106
SRR5353408	-1.31291741267925	-5.09322197346895	HSC	23082
SRR5353409	-1.41077822582012	-3.49312622456758	HSC	61536
SRR5353410	-2.48936504260784	-5.04117615132539	HSC	11418
SRR5353412	-1.57279127971417	-2.53150923161714	HSC	16258
SRR5353413	-2.53684991733319	-4.62818558125704	HSC	13190
SRR5353414	-1.95581311122662	-6.9490597954294	HSC	10116
SRR5353415	-1.78305357829815	-7.78918487935274	HSC	11080
SRR5353416	-1.3748053921867	-4.78312618642061	HSC	32856
SRR5353417	-1.88611143962628	-1.62479503064363	HSC	42352
SRR5353418	-2.23331731693035	-3.24856121449678	HSC	32626
SRR5353419	-1.72103685275799	-4.92484838872164	HSC	21502
SRR5353420	-1.9598473920036	-7.29204113393038	HSC	14374
SRR5353422	-2.83070892230755	-4.18272240071504	HSC	41880
SRR5353423	-2.1247996701408	-5.67945225148409	HSC	25978
SRR5353424	-1.87604040042645	-1.9573560467264	HSC	18318
SRR5353425	-1.73534816638714	-6.7874329796335	HSC	29394
SRR5353426	-3.43988794223553	-6.57290918736665	HSC	6650
SRR5353427	-1.3817200078178	-4.40955765156954	HSC	16400
SRR5353429	-2.51752084628826	-7.99657375722139	HSC	13596
SRR5353430	-0.980469168584406	-4.37935287862032	HSC	25000
SRR5353431	-1.72592252628094	-7.29287464528291	HSC	13614
SRR5353432	-1.15027994052654	-4.3891380539438	HSC	29798
SRR5353433	-1.92892187968975	-5.09187204747408	HSC	6336
SRR5353434	-1.72173684970623	-6.40116674809664	HSC	38878
SRR5353435	-1.85681837932354	-7.53877861409395	HSC	20454
SRR5353436	-2.72949117557293	-7.86087353139131	HSC	5308
SRR5353437	-1.85265416042095	-1.33106429486482	HSC	21346
SRR5353438	-2.77630227939373	-7.73153812794893	HSC	10118
SRR5353439	-1.36945885555035	-6.12335235982149	HSC	27120
SRR5353440	-1.62989419833904	-4.17069656758516	HSC	27080
SRR5353441	-1.80449313060528	-3.50389797597139	HSC	69626
SRR5353442	-1.335397185247	-5.3899081459543	HSC	28112
SRR5353444	-1.72057074443585	-7.63257534413545	HSC	14780
SRR5353445	-2.61271041766888	-7.92452175526827	HSC	14248
SRR5353446	-1.01235741512066	-2.10022313504427	HSC	184176
SRR5353447	-1.82612437145001	-5.58160526662081	HSC	22558
SRR5353448	-1.68808287517315	-7.60026676564424	HSC	6590
SRR5353449	-1.63711995021588	-3.52653582005708	HSC	40268
SRR5353450	-3.01098579303509	-7.58086712269991	HSC	7328
SRR5353451	-2.3699135197807	-3.12280471234529	HSC	31068
SRR5353452	-1.470801772039	-1.71451218037813	HSC	53122
SRR5353453	-0.995453776280939	-4.08778698353975	HSC	25624
SRR5353454	-2.08768266574627	-3.45119078068941	HSC	25756
SRR5353455	-1.77623123065716	-7.00441725163667	HSC	9472
SRR5353456	-2.73191541568524	-7.72681934743135	HSC	15402
SRR5353457	-2.0262741460014	-6.01081068425386	HSC	22060
SRR5353458	-1.46895879642254	-6.29870064168184	HSC	14002
SRR5353459	-3.61149495975262	-6.42977173238008	HSC	5660
SRR5353460	-1.04266709224468	-2.9739506950876	HSC	80514
SRR5353461	-3.03419345752484	-5.26042587666719	HSC	9312
SRR5353463	-1.1609746827293	-4.5688164940378	HSC	27884
SRR5353464	-0.867721022527277	-1.85164267926424	HSC	39670
SRR5353465	-2.06925004855877	-2.03545148282259	HSC	22890
SRR5353466	-2.16759580508953	-1.98403723149507	HSC	19182
SRR5353467	-2.2531012906242	-8.05496055989473	HSC	11632
SRR5353468	-1.02765816585308	-4.24475653081148	HSC	31622
