Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	-0.593333927900594	-3.76937114535304	HSC	32556
SRR5353378	-0.0563695113966873	-2.79865550337764	HSC	7234
SRR5353379	-0.859357563764851	-4.40315806208583	HSC	36120
SRR5353380	-0.508898226530354	-3.99866020022365	HSC	13892
SRR5353381	0.75317505189677	-2.99289774237605	HSC	7358
SRR5353382	0.341076882569987	-4.36858236132594	HSC	17630
SRR5353383	-0.0475790183852127	-4.1099203759286	HSC	11228
SRR5353384	0.0828142482926437	-4.34179078875514	HSC	76198
SRR5353385	-0.274715868742268	-3.98081719218226	HSC	23750
SRR5353386	-0.527729241163533	-4.62196742831203	HSC	23968
SRR5353387	0.0574152786423752	-3.83388387499782	HSC	9242
SRR5353388	-0.971906153471272	-3.74229680834743	HSC	53518
SRR5353389	-0.450139967710774	-4.88290941058131	HSC	25782
SRR5353390	-0.156619993955891	-4.61047756014796	HSC	20056
SRR5353391	0.289072068422038	-3.00804125605556	HSC	15818
SRR5353392	-1.00209328344564	-4.14826857386561	HSC	22212
SRR5353393	0.541224272935588	-3.97880183993312	HSC	95848
SRR5353394	3.27819994279643	-1.0782873862836	HSC	155324
SRR5353395	3.22575929948588	-1.37508130906554	HSC	81460
SRR5353396	-0.600870100767415	-4.83285152255031	HSC	23432
SRR5353397	-0.423663822920125	-3.80624591647121	HSC	13066
SRR5353398	-0.373886076719563	-3.22382389842006	HSC	23492
SRR5353399	1.82053259202738	-1.59270545183154	HSC	4360
SRR5353400	-0.200174299986165	-3.18101989565822	HSC	34890
SRR5353401	0.209671767442424	-3.03861283598872	HSC	12040
SRR5353402	-0.455194918424886	-4.86946904002162	HSC	13018
SRR5353403	-0.860446898252766	-3.46741043864223	HSC	23544
SRR5353404	2.12300995179911	-1.44729038415881	HSC	4066
SRR5353405	1.83769348451396	-1.49097087322208	HSC	4428
SRR5353407	2.423459323137	-1.52798023162814	HSC	79106
SRR5353408	-0.701636282713216	-4.65712487040492	HSC	23082
SRR5353409	-0.960158554823201	-3.91161715327235	HSC	61536
SRR5353410	0.778731139390666	-3.37192141352626	HSC	11418
SRR5353412	0.00921490976114958	-2.97128950892421	HSC	16258
SRR5353413	0.17551425287028	-3.42602311907741	HSC	13190
SRR5353414	0.164081605165202	-2.82619165717097	HSC	10116
SRR5353415	0.166718514650066	-4.35589062510463	HSC	11080
SRR5353416	-0.103787152082722	-4.71472656069728	HSC	32856
SRR5353417	-1.00565406492452	-3.66450797854396	HSC	42352
SRR5353418	-0.0764500778029373	-4.33359658061	HSC	32626
SRR5353419	-0.366253821165364	-4.92899119196864	HSC	21502
