Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	-4.91669709267847	0.418386200251167	HSC	32556
SRR5353378	-5.80633313241236	-0.9086387587766	HSC	7234
SRR5353379	-4.66780621590845	0.702553676249569	HSC	36120
SRR5353380	-4.555696077969	-1.21965829860967	HSC	13892
SRR5353381	-4.50683457436792	-1.31335513126653	HSC	7358
SRR5353382	-4.26492507043115	-0.646614475367481	HSC	17630
SRR5353383	-4.56915051522486	-0.0554345680455513	HSC	11228
SRR5353384	-5.15450818124048	-1.63461093437474	HSC	76198
SRR5353385	-4.31322056832544	-1.86857609283727	HSC	23750
SRR5353386	-4.64466530862085	-1.66639904510778	HSC	23968
SRR5353387	-4.94538647713892	-1.63890389931005	HSC	9242
SRR5353388	-4.34294659676782	0.2020969854613	HSC	53518
SRR5353389	-5.20332390847437	-1.3739935590009	HSC	25782
SRR5353390	-5.49590928139917	-0.971481247065479	HSC	20056
SRR5353391	-5.16494137826197	0.334743158700054	HSC	15818
SRR5353392	-4.921907015469	-1.41527549755376	HSC	22212
SRR5353393	-5.09124524178736	-1.94044355881017	HSC	95848
SRR5353394	-5.54206902566187	-1.16928987037938	HSC	155324
SRR5353395	-4.5940147120022	-0.0588022900800056	HSC	81460
SRR5353396	-5.10478646340601	-0.0523056818227119	HSC	23432
SRR5353397	-5.01563031258814	0.592671336414402	HSC	13066
SRR5353398	-5.52996689858667	-0.829131288645679	HSC	23492
SRR5353399	-5.52779156747095	-0.515991551993305	HSC	4360
SRR5353400	-4.46517569604151	-1.37688879501622	HSC	34890
SRR5353401	-5.16305787148706	-1.28071097862523	HSC	12040
SRR5353402	-4.99283177438013	-1.00773446094793	HSC	13018
SRR5353403	-4.7962156015896	-1.81432942879003	HSC	23544
SRR5353404	-4.30985982003443	-0.992967529414112	HSC	4066
SRR5353405	-5.12564618172876	-0.197910232661182	HSC	4428
SRR5353407	-4.75074441018335	-1.3638617230634	HSC	79106
SRR5353408	-5.02185208382837	-0.282583458540852	HSC	23082
SRR5353409	-4.73539597573511	-2.04874329101842	HSC	61536
SRR5353410	-4.51144892754785	-1.25462321769994	HSC	11418
SRR5353412	-5.3676439005398	-1.27343265545171	HSC	16258
SRR5353413	-4.80452305855982	-1.30781046879094	HSC	13190
SRR5353414	-4.52184588494532	-0.999540848849232	HSC	10116
SRR5353415	-4.85564953866236	-1.1818548871259	HSC	11080
