Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	5.89256777701046	3.20371432499576	HSC	32556
SRR5353378	6.65387978491452	5.48465843395877	HSC	7234
SRR5353379	6.26984610495236	3.12275190548587	HSC	36120
SRR5353380	6.3172556394067	1.21534426407504	HSC	13892
SRR5353381	5.32140412268307	5.01377029614139	HSC	7358
SRR5353382	6.97623839316037	3.51857657627749	HSC	17630
SRR5353383	5.95456805166867	4.83635206417727	HSC	11228
SRR5353384	6.61165633139279	2.70993466572452	HSC	76198
SRR5353385	6.25973048147824	4.37901659207034	HSC	23750
SRR5353386	6.23636975226071	3.83369679646182	HSC	23968
SRR5353387	6.23690571722653	5.34628315167117	HSC	9242
SRR5353388	6.1846815579858	2.70262212948489	HSC	53518
SRR5353389	7.96447482046749	2.72668166355777	HSC	25782
SRR5353390	5.7863513463464	3.66718716816592	HSC	20056
SRR5353391	7.16181054052975	4.62185020641971	HSC	15818
SRR5353392	6.93402876791622	2.74575228886294	HSC	22212
SRR5353393	7.66589846548703	2.4550075073688	HSC	95848
SRR5353394	7.37535681662228	1.91899438099551	HSC	155324
SRR5353395	6.17011370596554	2.7465695877521	HSC	81460
SRR5353396	5.90096154150631	3.82601661877322	HSC	23432
SRR5353397	6.24575247702267	4.31223983959842	HSC	13066
SRR5353398	6.34323325094845	2.70087690548587	HSC	23492
SRR5353399	4.0827323430505	6.42670507626223	HSC	4360
SRR5353400	7.42523302969601	2.38916821674991	HSC	34890
SRR5353401	5.20157971319821	4.82154579357791	HSC	12040
SRR5353402	5.73254218039181	4.47734852032351	HSC	13018
SRR5353403	6.58496441778805	3.72645564274478	HSC	23544
SRR5353404	4.19458355841305	6.32799787716556	HSC	4066
SRR5353405	4.12238516745236	6.18778009609866	HSC	4428
SRR5353407	6.5325500005212	3.04644890026736	HSC	79106
SRR5353408	6.50609364447262	3.66092033581424	HSC	23082
SRR5353409	6.22765841421749	3.2549936314075	HSC	61536
SRR5353410	5.50989832815792	4.87303133206057	HSC	11418
SRR5353412	6.80568470892575	2.63529916004825	HSC	16258
SRR5353413	5.96463837561276	4.69931955532718	HSC	13190
SRR5353414	5.58612790045407	4.92944021420169	HSC	10116
SRR5353415	5.26158680853512	4.66355486111331	HSC	11080
