Runs	UMAP1	UMAP2	CellType	NumofReads
SRR5353377	-5.99974211945843	-4.62554259082159	HSC	32556
SRR5353378	-7.85651168122601	-4.45992560168584	HSC	7234
SRR5353379	-5.26401147141766	-3.58319897433599	HSC	36120
SRR5353380	-7.02409657731366	-4.24351115008672	HSC	13892
SRR5353381	-7.44628772034955	-5.36974043628057	HSC	7358
SRR5353382	-5.67540034547162	-3.15370673915228	HSC	17630
SRR5353383	-8.09297522797894	-5.45041317721685	HSC	11228
SRR5353384	-4.54262027039837	-2.3063582875379	HSC	76198
SRR5353385	-7.02940472855877	-5.3604034878858	HSC	23750
SRR5353386	-7.0518732954533	-4.73978466769537	HSC	23968
SRR5353387	-7.45342406525921	-4.45644564410528	HSC	9242
SRR5353388	-3.95278891816449	-1.85455961009344	HSC	53518
SRR5353389	-5.90437754884076	-3.51534361621221	HSC	25782
SRR5353390	-6.01166686311078	-3.93024105807623	HSC	20056
SRR5353391	-6.13844737305951	-4.70816797992071	HSC	15818
SRR5353392	-5.31060132279705	-2.0665471055158	HSC	22212
SRR5353393	-4.56112155213665	-2.05168409129461	HSC	95848
SRR5353394	-3.55269917741131	-1.12301130076727	HSC	155324
SRR5353395	-4.40312203660321	-2.14722032328924	HSC	81460
SRR5353396	-7.38946971192669	-5.71617169162115	HSC	23432
SRR5353397	-6.91255053773236	-4.65333933612188	HSC	13066
SRR5353398	-3.88901910081219	-1.44833440562566	HSC	23492
SRR5353399	-6.83190879121136	-3.7184972264417	HSC	4360
SRR5353400	-3.98783501878094	-1.42625827571233	HSC	34890
SRR5353401	-6.89628419175457	-5.20210928698858	HSC	12040
SRR5353402	-8.2837224890263	-6.15193886538824	HSC	13018
SRR5353403	-5.9070044447453	-4.6001152493604	HSC	23544
SRR5353404	-6.78540143266034	-3.61091084262212	HSC	4066
SRR5353405	-7.99585589661908	-4.7306518056043	HSC	4428
SRR5353407	-5.56042155518841	-3.06633825084051	HSC	79106
SRR5353408	-5.56427010789227	-4.04677147647222	HSC	23082
SRR5353409	-4.94733151688885	-2.1895791985639	HSC	61536
SRR5353410	-6.03483447327923	-3.47663063784917	HSC	11418
SRR5353412	-4.15440520539593	-0.815699289048515	HSC	16258
SRR5353413	-5.78758725419354	-3.03728265544256	HSC	13190
SRR5353414	-7.48216733231854	-5.15962500354131	HSC	10116
SRR5353415	-7.91574248566937	-6.26430601855596	HSC	11080
SRR5353416	-5.27220162644696	-3.73188538333257	HSC	32856
SRR5353417	-3.23994430795025	-0.714299390519462	HSC	42352
SRR5353418	-4.78027495637249	-1.85604185839971	HSC	32626
SRR5353419	-6.37728842988324	-4.37582011004766	HSC	21502
SRR5353420	-7.77245864167523	-6.03641314288457	HSC	14374
SRR5353422	-5.11200246110272	-1.74219651004156	HSC	41880
SRR5353423	-7.23746690049481	-4.53913874408086	HSC	25978
SRR5353424	-3.91428908601117	-1.26682932158788	HSC	18318
SRR5353425	-7.50634726777386	-5.83002800723394	HSC	29394
SRR5353426	-8.10111388459515	-4.9468645550855	HSC	6650
SRR5353427	-5.66221961274456	-4.31589550753912	HSC	16400
SRR5353429	-8.27384528413128	-6.00770706912359	HSC	13596
SRR5353430	-5.58574780717205	-4.22128052493414	HSC	25000
SRR5353431	-7.54891309037518	-5.73030228396734	HSC	13614
SRR5353432	-5.25346812501263	-3.79196257373174	HSC	29798
SRR5353433	-6.75205621018719	-4.52884573718389	HSC	6336
SRR5353434	-7.0836754728825	-4.63634533664068	HSC	38878
SRR5353435	-7.66785630479168	-5.99706692477544	HSC	20454
SRR5353436	-8.26785716309857	-6.33111710330328	HSC	5308
SRR5353437	-2.93895468011212	-0.712477514947258	HSC	21346
SRR5353438	-8.27534446015667	-5.93877405902227	HSC	10118
SRR5353439	-6.73143681779217	-4.99580044528326	HSC	27120
SRR5353440	-5.25591000809979	-3.72554678698858	HSC	27080
SRR5353441	-4.97894820466351	-2.61194605609258	HSC	69626
SRR5353442	-6.54113396897625	-4.32416195651373	HSC	28112
SRR5353444	-7.56781062379193	-5.91687674304327	HSC	14780
SRR5353445	-8.15305384888958	-6.12553496142706	HSC	14248
SRR5353446	-3.51108845963788	-1.12984437724432	HSC	184176
SRR5353447	-6.26739892258954	-4.06770748874029	HSC	22558
SRR5353448	-7.3892723013432	-5.98537678500494	HSC	6590
SRR5353449	-4.85080727830243	-2.38867420932134	HSC	40268
SRR5353450	-8.3108859945805	-5.6827740170606	HSC	7328
SRR5353451	-4.64404496445965	-1.48471541186651	HSC	31068
SRR5353452	-3.30513366952252	-1.06467361232122	HSC	53122
SRR5353453	-4.83809193864178	-3.07117695590337	HSC	25624
SRR5353454	-4.93000230088543	-2.36216683169683	HSC	25756
SRR5353455	-7.55992516770672	-5.53761000415166	HSC	9472
SRR5353456	-7.74960383668255	-6.04962057849249	HSC	15402
SRR5353457	-6.73346671357464	-5.02275843402227	HSC	22060
SRR5353458	-7.05634078278851	-4.99775404712041	HSC	14002
SRR5353459	-7.72478255524945	-4.46699471255621	HSC	5660
SRR5353460	-4.49620446458172	-2.28778261920293	HSC	80514
SRR5353461	-5.82672652497601	-3.44422001620611	HSC	9312
SRR5353463	-5.4955521513493	-3.60797543307623	HSC	27884
SRR5353464	-3.10203108086895	-0.968844721520744	HSC	39670
SRR5353465	-3.82427462830853	-0.648228953088127	HSC	22890
SRR5353466	-2.96415337815594	-0.341320464814506	HSC	19182
SRR5353467	-8.2470661093266	-6.28536648532232	HSC	11632
SRR5353468	-5.33674916520428	-4.11675257464727	HSC	31622
SRR5353470	-3.61493310227704	-1.43280048152288	HSC	284844
SRR5353471	-7.99748572602581	-6.23622269412359	HSC	13086
SRR5353472	-2.33603915467572	-0.601134250367485	HSC	11948
SRR5353473	-3.70555409684491	-0.548638889993034	HSC	21448
SRR5353474	-3.96708592667889	-0.800287792886101	HSC	12960
SRR5353475	-4.09158143296551	-1.29440743705114	HSC	21928
SRR5353476	-3.61654338136029	-0.462004373277031	HSC	12714
SRR5353477	-2.73950990929913	-0.229525873864494	HSC	8672
