ARI	num_clusters	clustering_method	method	input
0.6329380334498	14	hc	MAGIC	pca
0.60634261480542	14	hc	Raw	pca
0.614311076177601	14	hc	scOpen	pca
0.427043673777707	14	hc	cisTopic	pca
0.397864543169555	14	hc	scBFA	pca
0.491768563598596	14	hc	scImpute	pca
0.214258289948388	14	hc	SCALE	pca
0.599395003007915	14	kmedoids	MAGIC	pca
0.611930286280104	14	kmedoids	Raw	pca
0.626074017629524	14	kmedoids	scOpen	pca
0.350272929892188	14	kmedoids	cisTopic	pca
0.30673751299474	14	kmedoids	scBFA	pca
0.55814112460358	14	kmedoids	scImpute	pca
0.170831186368012	14	kmedoids	SCALE	pca
0.434072482974531	14	hc	MAGIC	tsne
0.527143232706434	14	hc	Raw	tsne
0.55544358236358	14	hc	scOpen	tsne
0.321879654609089	14	hc	cisTopic	tsne
0.388389829796192	14	hc	scBFA	tsne
0.391006006614925	14	hc	scImpute	tsne
0.122525057368189	14	hc	SCALE	tsne
0.410626303938885	14	kmedoids	MAGIC	tsne
0.54427477653809	14	kmedoids	Raw	tsne
0.510357155427532	14	kmedoids	scOpen	tsne
0.322012614949344	14	kmedoids	cisTopic	tsne
0.387800515940791	14	kmedoids	scBFA	tsne
0.355053409624246	14	kmedoids	scImpute	tsne
0.123122827227381	14	kmedoids	SCALE	tsne
0.635982751826561	15	hc	MAGIC	pca
0.606338378205791	15	hc	Raw	pca
0.617057786712908	15	hc	scOpen	pca
0.400733789098486	15	hc	cisTopic	pca
0.390020980610295	15	hc	scBFA	pca
0.493800345604584	15	hc	scImpute	pca
0.212667616833191	15	hc	SCALE	pca
0.583671384632716	15	kmedoids	MAGIC	pca
0.5894614177148	15	kmedoids	Raw	pca
0.619094737999512	15	kmedoids	scOpen	pca
0.353718598567831	15	kmedoids	cisTopic	pca
0.308886204214023	15	kmedoids	scBFA	pca
0.559770398492784	15	kmedoids	scImpute	pca
0.169288927649229	15	kmedoids	SCALE	pca
0.405657124509469	15	hc	MAGIC	tsne
0.537001093275693	15	hc	Raw	tsne
0.562035456937292	15	hc	scOpen	tsne
0.320663100758219	15	hc	cisTopic	tsne
0.388875297930975	15	hc	scBFA	tsne
0.392647785519401	15	hc	scImpute	tsne
0.113858355403908	15	hc	SCALE	tsne
0.417931714687029	15	kmedoids	MAGIC	tsne
0.547785008835927	15	kmedoids	Raw	tsne
0.482902144396889	15	kmedoids	scOpen	tsne
0.302656740299838	15	kmedoids	cisTopic	tsne
0.386967593367365	15	kmedoids	scBFA	tsne
0.358259041936926	15	kmedoids	scImpute	tsne
0.116461065885856	15	kmedoids	SCALE	tsne
