Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	1	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	1	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	1	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	1	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	1	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	1	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	1	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	1	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	1	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	1	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	1	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	1	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	1	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	1	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	1	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	2	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	1	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	1	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	1	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	1	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	1	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	1	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	1	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	1	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	1	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	1	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	1	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	1	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	1	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	1	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	1	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	1	Jurkat_T_cell	3070	GSM2879690	J	1
