ARI	num_clusters	clustering_method	method	input
0.250469885542676	4	hc	scImpute	pca
0.73301061032617	4	hc	MAGIC	pca
0.375329932135241	4	hc	SAVER	pca
0.708328318039649	4	hc	cisTopic	pca
0.311035676397147	4	hc	DCA	pca
0.0760295271995257	4	hc	scBFA	pca
0.29456642058731	4	hc	SCALE	pca
0.441304852160506	4	hc	Raw	pca
-0.000708387481791601	4	hc	PCA	pca
0.778946740004415	4	hc	scOpen	pca
0.252216352194598	4	kmedoids	scImpute	pca
0.740363070359806	4	kmedoids	MAGIC	pca
0.420570562525757	4	kmedoids	SAVER	pca
0.727564693700886	4	kmedoids	cisTopic	pca
0.223829142208391	4	kmedoids	DCA	pca
0.0473795093190641	4	kmedoids	scBFA	pca
0.32888290056698	4	kmedoids	SCALE	pca
0.377033808720507	4	kmedoids	Raw	pca
0.00132953190918115	4	kmedoids	PCA	pca
0.771020865623495	4	kmedoids	scOpen	pca
0.236874439907507	4	hc	scImpute	tsne
0.682121238548441	4	hc	MAGIC	tsne
0.360265214459796	4	hc	SAVER	tsne
0.72430488750063	4	hc	cisTopic	tsne
0.310912599770037	4	hc	DCA	tsne
0.0568439930205196	4	hc	scBFA	tsne
0.311805101930607	4	hc	SCALE	tsne
0.497030301769303	4	hc	Raw	tsne
0.0137222225925467	4	hc	PCA	tsne
0.782164176533322	4	hc	scOpen	tsne
0.265384121654811	4	kmedoids	scImpute	tsne
0.715523014027303	4	kmedoids	MAGIC	tsne
0.412015258377367	4	kmedoids	SAVER	tsne
0.734931465946151	4	kmedoids	cisTopic	tsne
0.320292460450865	4	kmedoids	DCA	tsne
0.0784159726612896	4	kmedoids	scBFA	tsne
0.358707597601904	4	kmedoids	SCALE	tsne
0.565474219416205	4	kmedoids	Raw	tsne
0.00682466322932808	4	kmedoids	PCA	tsne
0.773784315941884	4	kmedoids	scOpen	tsne
0.255982573815823	5	hc	scImpute	pca
0.706106603101901	5	hc	MAGIC	pca
0.460293373390139	5	hc	SAVER	pca
0.492236221424686	5	hc	cisTopic	pca
0.34448809761318	5	hc	DCA	pca
0.0662293081305325	5	hc	scBFA	pca
0.386259733067363	5	hc	SCALE	pca
0.322632479329452	5	hc	Raw	pca
0.00359099699424339	5	hc	PCA	pca
0.766736709432725	5	hc	scOpen	pca
0.250625960552027	5	kmedoids	scImpute	pca
0.731853550674998	5	kmedoids	MAGIC	pca
0.419526440879728	5	kmedoids	SAVER	pca
0.668628517286774	5	kmedoids	cisTopic	pca
0.329681569537868	5	kmedoids	DCA	pca
0.0615301678993915	5	kmedoids	scBFA	pca
0.363665040177583	5	kmedoids	SCALE	pca
0.345537492390687	5	kmedoids	Raw	pca
0.000754759798663929	5	kmedoids	PCA	pca
0.649948666043544	5	kmedoids	scOpen	pca
0.256893016974827	5	hc	scImpute	tsne
0.702797787593569	5	hc	MAGIC	tsne
0.443738609788188	5	hc	SAVER	tsne
0.518023957907279	5	hc	cisTopic	tsne
0.341594160422762	5	hc	DCA	tsne
0.060777738577775	5	hc	scBFA	tsne
0.361738088829501	5	hc	SCALE	tsne
0.513169330445825	5	hc	Raw	tsne
0.0176112547653473	5	hc	PCA	tsne
0.575093564028208	5	hc	scOpen	tsne
0.256893016974827	5	kmedoids	scImpute	tsne
0.698393256465917	5	kmedoids	MAGIC	tsne
0.405051558957606	5	kmedoids	SAVER	tsne
0.742659109926207	5	kmedoids	cisTopic	tsne
0.346944351818039	5	kmedoids	DCA	tsne
0.0785306299806422	5	kmedoids	scBFA	tsne
0.396357694442446	5	kmedoids	SCALE	tsne
0.375114534608113	5	kmedoids	Raw	tsne
0.0151431650613326	5	kmedoids	PCA	tsne
0.563707929713517	5	kmedoids	scOpen	tsne
