Runs	CellType	AUPR
SRR6357676	Jurkat_T_cell	0.672
SRR6357679	Jurkat_T_cell	0.71
SRR6357683	Jurkat_T_cell	0.662
SRR6357684	Jurkat_T_cell	0.691
SRR6357685	Jurkat_T_cell	0.687
SRR6357686	Jurkat_T_cell	0.692
SRR6357687	Jurkat_T_cell	0.612
SRR6357689	Jurkat_T_cell	0.614
SRR6357690	Jurkat_T_cell	0.693
SRR6357692	Jurkat_T_cell	0.709
SRR6357693	Jurkat_T_cell	0.645
SRR6357695	Jurkat_T_cell	0.557
SRR6357696	Jurkat_T_cell	0.717
SRR6357698	Jurkat_T_cell	0.693
SRR6357699	Jurkat_T_cell	0.665
SRR6357700	Jurkat_T_cell	0.691
SRR6357701	Jurkat_T_cell	0.625
SRR6357702	Jurkat_T_cell	0.719
SRR6357703	Jurkat_T_cell	0.639
SRR6357707	Jurkat_T_cell	0.713
SRR6357708	Jurkat_T_cell	0.645
SRR6357709	Jurkat_T_cell	0.707
SRR6357710	Jurkat_T_cell	0.64
SRR6357711	Jurkat_T_cell	0.534
SRR6357712	Jurkat_T_cell	0.645
SRR6357713	Jurkat_T_cell	0.625
SRR6357714	Jurkat_T_cell	0.678
SRR6357715	Jurkat_T_cell	0.714
SRR6357718	Jurkat_T_cell	0.695
SRR6357719	Jurkat_T_cell	0.685
SRR6357720	Jurkat_T_cell	0.572
SRR6357722	Jurkat_T_cell	0.704
SRR6357723	Jurkat_T_cell	0.712
SRR6357724	Jurkat_T_cell	0.697
SRR6357725	Jurkat_T_cell	0.647
SRR6357729	Jurkat_T_cell	0.718
SRR6357731	Jurkat_T_cell	0.704
SRR6357733	Jurkat_T_cell	0.682
SRR6357734	Jurkat_T_cell	0.616
SRR6357736	Jurkat_T_cell	0.667
SRR6357737	Jurkat_T_cell	0.6
SRR6357738	Jurkat_T_cell	0.592
SRR6357739	Jurkat_T_cell	0.639
SRR6357740	Jurkat_T_cell	0.619
SRR6357745	Jurkat_T_cell	0.728
SRR6357746	Jurkat_T_cell	0.644
SRR6357748	Jurkat_T_cell	0.654
SRR6357749	Jurkat_T_cell	0.727
SRR6357751	Jurkat_T_cell	0.588
SRR6357752	Jurkat_T_cell	0.684
SRR6357753	Jurkat_T_cell	0.682
SRR6357755	Jurkat_T_cell	0.548
SRR6357756	Jurkat_T_cell	0.623
SRR6357758	Jurkat_T_cell	0.651
SRR6357759	Jurkat_T_cell	0.704
SRR6357760	Jurkat_T_cell	0.598
SRR6357763	Jurkat_T_cell	0.682
SRR6357764	Jurkat_T_cell	0.694
SRR6357765	Jurkat_T_cell	0.657
SRR6357766	Jurkat_T_cell	0.698
SRR6357767	Jurkat_T_cell	0.672
SRR6357768	Jurkat_T_cell	0.683
SRR6357769	Jurkat_T_cell	0.619
SRR6357774	Jurkat_T_cell	0.654
SRR6357868	Jurkat_T_cell	0.638
SRR6357869	Jurkat_T_cell	0.682
SRR6357870	Jurkat_T_cell	0.692
SRR6357872	Jurkat_T_cell	0.658
SRR6357874	Jurkat_T_cell	0.582
SRR6357877	Jurkat_T_cell	0.667
SRR6357878	Jurkat_T_cell	0.394
SRR6357879	Jurkat_T_cell	0.701
SRR6357880	Jurkat_T_cell	0.66
SRR6357881	Jurkat_T_cell	0.526
SRR6357882	Jurkat_T_cell	0.453
SRR6357884	Jurkat_T_cell	0.62
SRR6357885	Jurkat_T_cell	0.664
SRR6357886	Jurkat_T_cell	0.685
SRR6357887	Jurkat_T_cell	0.652
SRR6357889	Jurkat_T_cell	0.636
SRR6357890	Jurkat_T_cell	0.662
SRR6357891	Jurkat_T_cell	0.612
SRR6357893	Jurkat_T_cell	0.593
SRR6357894	Jurkat_T_cell	0.7
SRR6357895	Jurkat_T_cell	0.713
SRR6357896	Jurkat_T_cell	0.658
SRR6357897	Jurkat_T_cell	0.604
SRR6357898	Jurkat_T_cell	0.618
SRR6357899	Jurkat_T_cell	0.708
SRR6357901	Jurkat_T_cell	0.693
SRR6357902	Jurkat_T_cell	0.699
SRR6357903	Jurkat_T_cell	0.709
SRR6357904	Jurkat_T_cell	0.645
SRR6357905	Jurkat_T_cell	0.693
SRR6357906	Jurkat_T_cell	0.612
SRR6357776	Jurkat_T_cell	0.657
SRR6357777	Jurkat_T_cell	0.708
SRR6357779	Jurkat_T_cell	0.678
SRR6357781	Jurkat_T_cell	0.689
SRR6357784	Jurkat_T_cell	0.674
SRR6357786	Jurkat_T_cell	0.596
SRR6357787	Jurkat_T_cell	0.704
SRR6357788	Jurkat_T_cell	0.699
SRR6357789	Jurkat_T_cell	0.655
SRR6357790	Jurkat_T_cell	0.697
SRR6357791	Jurkat_T_cell	0.602
SRR6357792	Jurkat_T_cell	0.691
SRR6357793	Jurkat_T_cell	0.693
SRR6357794	Jurkat_T_cell	0.633
SRR6357795	Jurkat_T_cell	0.651
SRR6357797	Jurkat_T_cell	0.634
SRR6357799	Jurkat_T_cell	0.598
SRR6357800	Jurkat_T_cell	0.651
SRR6357801	Jurkat_T_cell	0.701
SRR6357802	Jurkat_T_cell	0.655
SRR6357803	Jurkat_T_cell	0.648
SRR6357804	Jurkat_T_cell	0.689
SRR6357805	Jurkat_T_cell	0.623
SRR6357806	Jurkat_T_cell	0.683
SRR6357807	Jurkat_T_cell	0.708
SRR6357808	Jurkat_T_cell	0.667
SRR6357809	Jurkat_T_cell	0.7
SRR6357810	Jurkat_T_cell	0.716
SRR6357811	Jurkat_T_cell	0.652
SRR6357812	Jurkat_T_cell	0.638
SRR6357813	Jurkat_T_cell	0.68
SRR6357815	Jurkat_T_cell	0.703
SRR6357816	Jurkat_T_cell	0.676
SRR6357817	Jurkat_T_cell	0.698
SRR6357818	Jurkat_T_cell	0.694
SRR6357819	Jurkat_T_cell	0.683
SRR6357821	Jurkat_T_cell	0.669
SRR6357822	Jurkat_T_cell	0.681
SRR6357823	Jurkat_T_cell	0.662
SRR6357824	Jurkat_T_cell	0.701
SRR6357827	Jurkat_T_cell	0.637
SRR6357829	Jurkat_T_cell	0.705
SRR6357831	Jurkat_T_cell	0.695
SRR6357832	Jurkat_T_cell	0.684
SRR6357833	Jurkat_T_cell	0.705
SRR6357834	Jurkat_T_cell	0.69
SRR6357835	Jurkat_T_cell	0.532
SRR6357837	Jurkat_T_cell	0.623
SRR6357838	Jurkat_T_cell	0.702
SRR6357840	Jurkat_T_cell	0.661
SRR6357841	Jurkat_T_cell	0.698
SRR6357842	Jurkat_T_cell	0.597
SRR6357843	Jurkat_T_cell	0.537
SRR6357845	Jurkat_T_cell	0.655
SRR6357846	Jurkat_T_cell	0.646
SRR6357848	Jurkat_T_cell	0.653
SRR6357849	Jurkat_T_cell	0.66
SRR6357850	Jurkat_T_cell	0.636
SRR6357851	Jurkat_T_cell	0.686
SRR6357852	Jurkat_T_cell	0.68
SRR6357853	Jurkat_T_cell	0.628
SRR6357855	Jurkat_T_cell	0.667
SRR6357856	Jurkat_T_cell	0.63
SRR6357857	Jurkat_T_cell	0.612
SRR6357859	Jurkat_T_cell	0.635
SRR6357861	Jurkat_T_cell	0.688
SRR6357862	Jurkat_T_cell	0.685
SRR6357864	Jurkat_T_cell	0.649
SRR6357865	Jurkat_T_cell	0.677
SRR6357866	Jurkat_T_cell	0.687
SRR6357867	Jurkat_T_cell	0.405
SRR6357932	Jurkat_T_cell	0.676
SRR6357933	Jurkat_T_cell	0.692
SRR6357935	Jurkat_T_cell	0.693
SRR6357938	Jurkat_T_cell	0.698
SRR6357939	Jurkat_T_cell	0.693
SRR6357940	Jurkat_T_cell	0.686
SRR6357941	Jurkat_T_cell	0.714
SRR6357942	Jurkat_T_cell	0.63
SRR6357943	Jurkat_T_cell	0.509
SRR6357944	Jurkat_T_cell	0.695
SRR6357946	Jurkat_T_cell	0.639
SRR6357948	Jurkat_T_cell	0.637
SRR6357949	Jurkat_T_cell	0.666
SRR6357950	Jurkat_T_cell	0.576
SRR6357951	Jurkat_T_cell	0.626
SRR6357952	Jurkat_T_cell	0.731
SRR6357953	Jurkat_T_cell	0.671
SRR6357954	Jurkat_T_cell	0.413
SRR6357955	Jurkat_T_cell	0.563
SRR6357956	Jurkat_T_cell	0.499
SRR6357957	Jurkat_T_cell	0.627
SRR6357958	Jurkat_T_cell	0.59
SRR6357959	Jurkat_T_cell	0.577
SRR6357960	Jurkat_T_cell	0.485
SRR6357961	Jurkat_T_cell	0.687
SRR6357962	Jurkat_T_cell	0.624
SRR6357963	Jurkat_T_cell	0.57
SRR6357965	Jurkat_T_cell	0.649
SRR6357967	Jurkat_T_cell	0.664
SRR6357968	Jurkat_T_cell	0.663
SRR6357969	Jurkat_T_cell	0.647
SRR6357970	Jurkat_T_cell	0.654
SRR6357971	Jurkat_T_cell	0.68
SRR6357972	Jurkat_T_cell	0.683
SRR6357973	Jurkat_T_cell	0.685
SRR6357974	Jurkat_T_cell	0.689
SRR6357975	Jurkat_T_cell	0.641
SRR6357976	Jurkat_T_cell	0.671
SRR6357977	Jurkat_T_cell	0.686
SRR6357978	Jurkat_T_cell	0.7
SRR6357979	Jurkat_T_cell	0.618
SRR6357980	Jurkat_T_cell	0.692
SRR6357982	Jurkat_T_cell	0.631
SRR6357983	Jurkat_T_cell	0.664
SRR6357984	Jurkat_T_cell	0.684
SRR6357985	Jurkat_T_cell	0.676
SRR6357986	Jurkat_T_cell	0.674
SRR6357987	Jurkat_T_cell	0.649
SRR6357988	Jurkat_T_cell	0.637
SRR6357989	Jurkat_T_cell	0.68
SRR6357990	Jurkat_T_cell	0.681
SRR6357992	Jurkat_T_cell	0.682
SRR6357993	Jurkat_T_cell	0.685
SRR6357994	Jurkat_T_cell	0.706
SRR6357995	Jurkat_T_cell	0.684
SRR6357907	Jurkat_T_cell	0.663
SRR6357908	Jurkat_T_cell	0.694
SRR6357909	Jurkat_T_cell	0.667
SRR6357911	Jurkat_T_cell	0.607
SRR6357913	Jurkat_T_cell	0.703
SRR6357914	Jurkat_T_cell	0.588
SRR6357915	Jurkat_T_cell	0.7
SRR6357916	Jurkat_T_cell	0.665
SRR6357917	Jurkat_T_cell	0.621
SRR6357918	Jurkat_T_cell	0.689
SRR6357919	Jurkat_T_cell	0.686
SRR6357921	Jurkat_T_cell	0.497
SRR6357923	Jurkat_T_cell	0.681
SRR6357924	Jurkat_T_cell	0.555
SRR6357925	Jurkat_T_cell	0.614
SRR6357926	Jurkat_T_cell	0.699
SRR6357927	Jurkat_T_cell	0.624
SRR6357928	Jurkat_T_cell	0.622
SRR6357929	Jurkat_T_cell	0.711
SRR6357931	Jurkat_T_cell	0.69
SRR6357996	Jurkat_T_cell	0.694
SRR6357997	Jurkat_T_cell	0.66
SRR6357998	Jurkat_T_cell	0.654
SRR6357999	Jurkat_T_cell	0.644
SRR6358000	Jurkat_T_cell	0.667
SRR6358002	Jurkat_T_cell	0.64
SRR6358003	Jurkat_T_cell	0.644
SRR6358004	Jurkat_T_cell	0.551
SRR6358005	Jurkat_T_cell	0.637
SRR6358006	Jurkat_T_cell	0.669
SRR6358007	Jurkat_T_cell	0.669
SRR6358008	Jurkat_T_cell	0.676
SRR6358009	Jurkat_T_cell	0.669
SRR6358010	Jurkat_T_cell	0.639
SRR6358011	Jurkat_T_cell	0.665
SRR6358012	Jurkat_T_cell	0.583
SRR6358013	Jurkat_T_cell	0.664
SRR6358014	Jurkat_T_cell	0.671
SRR6358015	Jurkat_T_cell	0.625
SRR6358016	Jurkat_T_cell	0.612
SRR6358017	Jurkat_T_cell	0.669
SRR6358018	Jurkat_T_cell	0.638
SRR6358019	Jurkat_T_cell	0.663
SRR6358020	Jurkat_T_cell	0.64
SRR6358021	Jurkat_T_cell	0.679
SRR6358022	Jurkat_T_cell	0.61
SRR6358023	Jurkat_T_cell	0.646
SRR6358024	Jurkat_T_cell	0.632
