AvgSpotLen	BioSample	Experiment	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	cell_line	cell_type	disease_status	patient	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	gender
135	SAMN08144536	SRX3454071	2017-12-07	68	26	2018-04-20	SRR6357676	SRS2742768	GSM2879644	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
127	SAMN08144535	SRX3454072	2017-12-07	5	2	2018-04-20	SRR6357677	SRS2742770	GSM2879645	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
138	SAMN08144534	SRX3454073	2017-12-07	0	0	2018-04-20	SRR6357678	SRS2742773	GSM2879646	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144533	SRX3454074	2017-12-07	17	7	2018-04-20	SRR6357679	SRS2742771	GSM2879647	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
120	SAMN08144532	SRX3454075	2017-12-07	2	1	2018-04-20	SRR6357680	SRS2742772	GSM2879648	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
116	SAMN08144531	SRX3454076	2017-12-07	2	1	2018-04-20	SRR6357681	SRS2742774	GSM2879649	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
116	SAMN08144530	SRX3454077	2017-12-07	3	1	2018-04-20	SRR6357682	SRS2742775	GSM2879650	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144529	SRX3454078	2017-12-07	75	30	2018-04-20	SRR6357683	SRS2742776	GSM2879651	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144528	SRX3454079	2017-12-07	22	8	2018-04-20	SRR6357684	SRS2742777	GSM2879652	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
135	SAMN08144527	SRX3454080	2017-12-07	68	26	2018-04-20	SRR6357685	SRS2742778	GSM2879653	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
143	SAMN08144526	SRX3454081	2017-12-07	26	10	2018-04-20	SRR6357686	SRS2742779	GSM2879654	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
129	SAMN08144525	SRX3454082	2017-12-07	93	37	2018-04-20	SRR6357687	SRS2742781	GSM2879655	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
116	SAMN08144524	SRX3454083	2017-12-07	2	1	2018-04-20	SRR6357688	SRS2742780	GSM2879656	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144523	SRX3454084	2017-12-07	76	30	2018-04-20	SRR6357689	SRS2742782	GSM2879657	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
139	SAMN08144522	SRX3454085	2017-12-07	55	21	2018-04-20	SRR6357690	SRS2742783	GSM2879658	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144521	SRX3454086	2017-12-07	0	0	2018-04-20	SRR6357691	SRS2742784	GSM2879659	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144520	SRX3454087	2017-12-07	16	6	2018-04-20	SRR6357692	SRS2742785	GSM2879660	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
135	SAMN08144519	SRX3454088	2017-12-07	38	15	2018-04-20	SRR6357693	SRS2742786	GSM2879661	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
130	SAMN08144518	SRX3454089	2017-12-07	5	2	2018-04-20	SRR6357694	SRS2742787	GSM2879662	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
133	SAMN08144517	SRX3454090	2017-12-07	67	26	2018-04-20	SRR6357695	SRS2742788	GSM2879663	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
133	SAMN08144516	SRX3454091	2017-12-07	18	7	2018-04-20	SRR6357696	SRS2742789	GSM2879664	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
113	SAMN08144515	SRX3454092	2017-12-07	2	1	2018-04-20	SRR6357697	SRS2742790	GSM2879665	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
133	SAMN08144514	SRX3454093	2017-12-07	55	22	2018-04-20	SRR6357698	SRS2742791	GSM2879666	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144513	SRX3454094	2017-12-07	79	31	2018-04-20	SRR6357699	SRS2742792	GSM2879667	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
136	SAMN08144512	SRX3454095	2017-12-07	8	3	2018-04-20	SRR6357700	SRS2742793	GSM2879668	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
134	SAMN08144511	SRX3454096	2017-12-07	46	18	2018-04-20	SRR6357701	SRS2742794	GSM2879669	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144510	SRX3454097	2017-12-07	41	16	2018-04-20	SRR6357702	SRS2742795	GSM2879670	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144509	SRX3454098	2017-12-07	59	23	2018-04-20	SRR6357703	SRS2742796	GSM2879671	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
147	SAMN08144508	SRX3454099	2017-12-07	0	0	2018-04-20	SRR6357704	SRS2742797	GSM2879672	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
123	SAMN08144507	SRX3454100	2017-12-07	4	2	2018-04-20	SRR6357705	SRS2742798	GSM2879673	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
119	SAMN08144506	SRX3454101	2017-12-07	2	1	2018-04-20	SRR6357706	SRS2742799	GSM2879674	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144505	SRX3454102	2017-12-07	39	15	2018-04-20	SRR6357707	SRS2742800	GSM2879675	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
134	SAMN08144504	SRX3454135	2017-12-07	41	16	2018-04-20	SRR6357708	SRS2742833	GSM2879676	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
136	SAMN08144503	SRX3454136	2017-12-07	32	12	2018-04-20	SRR6357709	SRS2742834	GSM2879677	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144502	SRX3454137	2017-12-07	43	17	2018-04-20	SRR6357710	SRS2742835	GSM2879678	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
129	SAMN08144501	SRX3454138	2017-12-07	69	27	2018-04-20	SRR6357711	SRS2742836	GSM2879679	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
136	SAMN08144500	SRX3454139	2017-12-07	40	16	2018-04-20	SRR6357712	SRS2742837	GSM2879680	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
130	SAMN08144499	SRX3454140	2017-12-07	53	21	2018-04-20	SRR6357713	SRS2742838	GSM2879681	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
