Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-4.15263350209087	2.21602572122881	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-4.65784008702129	-1.08326654514006	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-4.52073319157452	-1.41758589824369	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-3.62440808018536	0.601134251750202	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	-3.99632055958599	1.25215525547335	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	-3.87588675221294	-1.36030964931181	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-4.40268309315533	1.3660017959244	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	-5.26455433567852	2.78293683095196	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-4.69596750935406	-1.19497375568083	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-3.38561756810039	0.848038624919147	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-4.90091116627544	-0.183130551182537	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	3.22143368521839	-2.31087308009794	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-4.81251509388775	-0.180211354100018	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	-5.23798449238628	2.02617705980608	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	-5.60842497547955	2.97223355988333	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-2.19873459538311	-3.43563704570463	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-5.89103300770611	0.830118488467426	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	-5.04944784840435	-0.464652109944134	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-5.16932137211651	0.57730717579195	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-4.77765877446026	-0.281561184727459	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	-4.23602373799175	1.76934130112001	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	-5.07826454838604	-0.641267109715252	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-5.13983185490459	1.05689186970064	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	-5.30431969364971	0.923735093272419	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	-4.69309981068462	2.57600342849562	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	-5.00227148732037	1.45783598343203	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	-3.30144674977154	0.86997337261507	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	-2.82820255955547	-1.12215094646147	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	-2.87718756398052	-1.70806222041777	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	-4.65796597203106	0.258615683711262	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	-5.68654234608501	2.61181388417551	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	-5.15256626805157	-0.969019699894695	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	-2.83202393254131	-1.64580302318266	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	-1.94762070378155	-3.5582085140579	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	-3.46095020970196	1.05225784698793	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	-3.86608202656597	-1.75269751628569	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	-4.94708283146709	-1.17315321048429	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	-4.74708397587627	1.97369475284883	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	-5.58099301060528	2.56458033243486	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	-5.80029280384869	2.12929518143007	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	-5.66079170903057	2.10557181755373	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	-4.63040287693829	1.02648515621492	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	-5.89939196308941	2.36447302619287	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	-4.83816893299908	1.79642326752016	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	-5.15528137883038	-0.888070393406658	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	-5.79129202565044	2.22335333744356	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	-4.43146212300152	1.41469664493868	Jurkat_T_cell	13176	GSM2879716	J	1
SRR6357749	-5.16513283451885	2.37516401330301	Jurkat_T_cell	7500	GSM2879717	J	1
SRR6357751	-5.92087347706646	1.08468134323427	Jurkat_T_cell	21868	GSM2879719	J	1
SRR6357752	-4.71782953938335	-0.454883623921185	Jurkat_T_cell	2534	GSM2879720	J	1
SRR6357753	-2.67226631840557	-3.35738139232328	Jurkat_T_cell	1060	GSM2879721	J	1
SRR6357755	-5.46650822361797	2.92904457072088	Jurkat_T_cell	30484	GSM2879723	J	1
SRR6357756	-5.5517643233189	0.459014844096393	Jurkat_T_cell	16318	GSM2879724	J	1
SRR6357758	-5.88472922047466	2.74107206235001	Jurkat_T_cell	22546	GSM2879726	J	1
SRR6357759	-5.09770806034893	0.356010388529987	Jurkat_T_cell	15318	GSM2879727	J	1
SRR6357760	-4.48928339680523	1.15293569485018	Jurkat_T_cell	27784	GSM2879728	J	1
SRR6357763	-3.11378224095196	-2.18331198772123	Jurkat_T_cell	2358	GSM2879731	J	1
SRR6357764	-3.41611750325054	0.450258206523151	Jurkat_T_cell	4922	GSM2879732	J	1
SRR6357765	-5.92828448017925	0.962648104823322	Jurkat_T_cell	23874	GSM2879733	J	1
SRR6357766	-3.56220801075787	0.19611878315279	Jurkat_T_cell	6248	GSM2879734	J	1
SRR6357767	-4.12909825047344	2.00915951649019	Jurkat_T_cell	15534	GSM2879735	J	1
SRR6357768	-3.88037903508038	-1.99549202998808	Jurkat_T_cell	3572	GSM2879736	J	1
SRR6357769	-5.48458988865704	1.97532136360476	Jurkat_T_cell	23174	GSM2879737	J	1
SRR6357774	-1.91864998539776	-3.26130538066557	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	-4.47959978779644	2.06798798958132	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	-3.21439345082134	-1.89314704021147	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	-4.71787436207623	1.5493092052109	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	-3.14630444249004	-2.4421573170059	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	-4.04382689198345	-0.770862627827435	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	-5.339103056992	2.64746053884098	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	-4.83553631504864	-1.25196652492216	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	-4.03574593266338	1.61751432339022	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	-4.38308270176739	1.66744298855135	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	-2.65179951390118	-1.22002081950834	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	-2.55750687321514	-0.835497189366131	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	-3.34957106312603	-0.354146052204876	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	-3.56390698155254	-2.09280257304838	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	-1.54438407620281	-3.34084944804838	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	-4.36353810032696	-0.0958600529067803	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	-3.65138609608501	1.39355952659914	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	-5.84743864735455	2.62498536328146	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	-2.67381937702984	-3.01222138484648	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	-2.64059813221783	-2.82425932964018	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	-2.74404890736431	-0.853294182621746	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	-3.30773861607403	0.327712248957844	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	-5.17794687947124	-0.337338019215374	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	-3.6062510748753	1.52631337562868	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	-1.58116038044781	-1.75454859813383	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	-4.67075712879986	-1.18214397510221	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	-4.29140312870831	2.34319235006639	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	-3.46459896763653	-1.58151917537382	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	-3.29790003498882	0.407531689799518	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	-4.00486643513531	0.617608021891804	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	-2.778312041367	-3.07436328014067	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	-4.23441775044292	1.89658309141466	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	-4.17075855931133	1.99433232466051	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	-3.02144177159161	0.433285187876911	Jurkat_T_cell	4232	GSM2879784	J	2
SRR6357817	-1.77444298466534	-2.64683394511869	Jurkat_T_cell	2118	GSM2879785	J	2
SRR6357818	-5.08507759770245	1.38102908054659	Jurkat_T_cell	23282	GSM2879786	J	2
SRR6357819	-4.94450743397564	-0.593200255238323	Jurkat_T_cell	7970	GSM2879787	J	2
SRR6357821	-3.46212895115704	1.1978219262726	Jurkat_T_cell	18358	GSM2879789	J	2
SRR6357822	-3.27621157368511	-2.42271332820585	Jurkat_T_cell	1672	GSM2879790	J	2
SRR6357823	-4.66926796635479	2.5317915193207	Jurkat_T_cell	18384	GSM2879791	J	2
SRR6357824	-2.92070324620098	-0.0287740715377618	Jurkat_T_cell	45328	GSM2879792	J	2
SRR6357827	-4.93161232670635	2.52891762176821	Jurkat_T_cell	19084	GSM2879795	J	2
SRR6357829	-3.32156641682476	-0.558536101185589	Jurkat_T_cell	3534	GSM2879797	J	2
SRR6357831	-5.14884646138042	-0.979872513615399	Jurkat_T_cell	8530	GSM2879799	J	2
SRR6357832	-3.75573761662334	-0.699434567295818	Jurkat_T_cell	8998	GSM2879800	J	2
SRR6357833	-2.90627987583965	-2.93116383632353	Jurkat_T_cell	1286	GSM2879801	J	2
SRR6357834	-3.36570675572246	-1.43539719661406	Jurkat_T_cell	3286	GSM2879802	J	2
SRR6357835	-4.97097141941875	1.28509457031557	Jurkat_T_cell	69250	GSM2879803	J	2
SRR6357837	-4.79291231831402	2.69789294520685	Jurkat_T_cell	48240	GSM2879805	J	2
SRR6357838	-5.05486090382427	-0.930278588139324	Jurkat_T_cell	6848	GSM2879806	J	2
SRR6357840	-5.63691361149639	0.243184994853229	Jurkat_T_cell	25520	GSM2879808	J	2
SRR6357841	-4.35593922337383	-1.10378794749907	Jurkat_T_cell	3778	GSM2879809	J	2
SRR6357842	-5.46564800938457	0.401647042430134	Jurkat_T_cell	20968	GSM2879810	J	2
SRR6357843	-6.01168329914898	1.13964290539095	Jurkat_T_cell	39604	GSM2879811	J	2
SRR6357845	-1.59882624348492	-2.92979769786528	Jurkat_T_cell	1404	GSM2879813	J	2
SRR6357846	-3.88487227162212	-0.204016495548992	Jurkat_T_cell	32818	GSM2879814	J	2
SRR6357848	-2.70800001820415	-0.341936159931927	Jurkat_T_cell	31314	GSM2879816	J	2
SRR6357849	-3.77852614125103	0.560352992213459	Jurkat_T_cell	12912	GSM2879817	J	2
SRR6357850	-4.84016735752911	1.00555879989931	Jurkat_T_cell	23522	GSM2879818	J	2
SRR6357851	-2.93674357136578	-2.76046233256987	Jurkat_T_cell	1724	GSM2879819	J	2
SRR6357852	-3.02020771702618	0.0765356532699775	Jurkat_T_cell	4028	GSM2879820	J	2
SRR6357853	-5.3926165839085	1.63646156708071	Jurkat_T_cell	20496	GSM2879821	J	2
SRR6357855	-4.9127114554295	2.875485341943	Jurkat_T_cell	14694	GSM2879823	J	2
SRR6357856	-3.52912171086163	0.511901806987018	Jurkat_T_cell	65152	GSM2879824	J	2
SRR6357857	-5.62904103001446	1.58548517147371	Jurkat_T_cell	36664	GSM2879825	J	2
SRR6357859	-1.15297992428631	-2.93357997020414	Jurkat_T_cell	1044	GSM2879827	J	2
SRR6357861	-5.00967200001568	-0.26554851611784	Jurkat_T_cell	10966	GSM2879829	J	2
SRR6357862	-1.49806864460796	-3.22714715083769	Jurkat_T_cell	1132	GSM2879830	J	2
SRR6357864	-4.92645390232891	1.12629980961153	Jurkat_T_cell	70834	GSM2879832	J	2
SRR6357865	-3.19727928837627	-2.47989802440336	Jurkat_T_cell	4512	GSM2879833	J	2
SRR6357866	-2.62547762593121	-2.46063618739775	Jurkat_T_cell	1032	GSM2879834	J	2
SRR6357867	-5.75390465458721	1.55404157558748	Jurkat_T_cell	313854	GSM2879835	J	2
SRR6357868	-4.72104294499248	2.64138346532652	Jurkat_T_cell	18966	GSM2879836	J	3
SRR6357869	-4.30200703343243	0.788315843737812	Jurkat_T_cell	6310	GSM2879837	J	3
SRR6357870	-3.20419342717022	-2.39783768733671	Jurkat_T_cell	1320	GSM2879838	J	3
SRR6357872	-3.31420929631084	-2.023121882283	Jurkat_T_cell	7192	GSM2879840	J	3
SRR6357874	-5.08435900410503	-0.0198319443099786	Jurkat_T_cell	19116	GSM2879842	J	3
SRR6357877	-5.04806597431988	0.810650419390888	Jurkat_T_cell	20496	GSM2879845	J	3
SRR6357878	-6.01279051503033	1.16221148887941	Jurkat_T_cell	138054	GSM2879846	J	3
SRR6357879	-3.95890743931621	-0.557638693653851	Jurkat_T_cell	9690	GSM2879847	J	3
SRR6357880	-5.97104723652691	2.17769343773195	Jurkat_T_cell	21174	GSM2879848	J	3
SRR6357881	-5.74199373921246	2.78036247002253	Jurkat_T_cell	43232	GSM2879849	J	3
SRR6357882	-5.57417614659161	3.02638367930719	Jurkat_T_cell	269068	GSM2879850	J	3
SRR6357884	-5.29542906483501	1.43431932846376	Jurkat_T_cell	120688	GSM2879852	J	3
SRR6357885	-5.2873018523106	1.290638755954	Jurkat_T_cell	23342	GSM2879853	J	3
SRR6357886	-2.63664753636211	-1.62457709392241	Jurkat_T_cell	2056	GSM2879854	J	3
SRR6357887	-3.41519053181499	-2.24142794688871	Jurkat_T_cell	1376	GSM2879855	J	3
SRR6357889	-5.67752630909771	0.884083580172748	Jurkat_T_cell	25984	GSM2879857	J	3
SRR6357890	-4.48488600453228	-0.934992838703899	Jurkat_T_cell	2184	GSM2879858	J	3
SRR6357891	-5.88889486988873	1.37530834595034	Jurkat_T_cell	50422	GSM2879859	J	3
SRR6357893	-4.24009163578838	0.605156850016804	Jurkat_T_cell	26722	GSM2879861	J	3
SRR6357894	-4.11998875340313	-1.3669300564163	Jurkat_T_cell	5454	GSM2879862	J	3
SRR6357895	-4.25029165943951	-0.899591494404583	Jurkat_T_cell	2188	GSM2879863	J	3
SRR6357896	-5.06991989811748	0.501831721461506	Jurkat_T_cell	16030	GSM2879864	J	3
SRR6357897	-5.83704168995708	1.67128188530275	Jurkat_T_cell	28266	GSM2879865	J	3
SRR6357898	-3.94571097096294	1.09959192196199	Jurkat_T_cell	27358	GSM2879866	J	3
SRR6357899	-4.03979094227642	0.330874156153889	Jurkat_T_cell	8018	GSM2879867	J	3
SRR6357901	-3.79387409886211	1.49723119655916	Jurkat_T_cell	12062	GSM2879869	J	3
SRR6357902	-4.89123375614971	0.299339484370441	Jurkat_T_cell	11914	GSM2879870	J	3
SRR6357903	-4.99209053715557	-1.13326149066618	Jurkat_T_cell	4892	GSM2879871	J	3
SRR6357904	-5.41260798176617	-0.00973610957792292	Jurkat_T_cell	21846	GSM2879872	J	3
SRR6357905	-3.14799006184429	-1.86108021815947	Jurkat_T_cell	1268	GSM2879873	J	3
SRR6357906	-5.42843611439556	1.90445024887392	Jurkat_T_cell	18848	GSM2879874	J	3
SRR6357907	-2.49998648365826	-3.13760666927031	Jurkat_T_cell	1276	GSM2879875	J	3
SRR6357908	-4.88560326298565	-0.743985939823895	Jurkat_T_cell	7444	GSM2879876	J	3
SRR6357909	-5.68248589238018	0.519713353312702	Jurkat_T_cell	26378	GSM2879877	J	3
SRR6357911	-5.51643402775616	1.68972189346621	Jurkat_T_cell	21058	GSM2879879	J	3
SRR6357913	-2.75492937764019	-1.13658361514738	Jurkat_T_cell	2312	GSM2879881	J	3
SRR6357914	-5.81217558583111	0.720542382395954	Jurkat_T_cell	27108	GSM2879882	J	3
SRR6357915	-4.56905253132671	-0.130128193699627	Jurkat_T_cell	4872	GSM2879883	J	3
SRR6357916	-2.38988955220074	-3.14883570750883	Jurkat_T_cell	1328	GSM2879884	J	3
SRR6357917	-5.73899014195293	2.05807603517839	Jurkat_T_cell	24064	GSM2879885	J	3
SRR6357918	-2.57003624638409	-2.61899523814848	Jurkat_T_cell	1340	GSM2879886	J	3
SRR6357919	-4.29330570896954	-0.746015835606365	Jurkat_T_cell	3068	GSM2879887	J	3
SRR6357921	-4.61383850773663	1.78095896164248	Jurkat_T_cell	330164	GSM2879889	J	3
SRR6357923	-3.49940664967388	-1.59140400966337	Jurkat_T_cell	2616	GSM2879891	J	3
SRR6357924	-5.21569616993755	1.74595899502108	Jurkat_T_cell	32924	GSM2879892	J	3
SRR6357925	-4.17789871891827	1.80443168798754	Jurkat_T_cell	19710	GSM2879893	J	3
SRR6357926	-3.46766884526104	-1.51806550105742	Jurkat_T_cell	1904	GSM2879894	J	3
SRR6357927	-5.75815184315533	2.56853451947042	Jurkat_T_cell	18330	GSM2879895	J	3
SRR6357928	-5.4802516241917	-0.242300082051067	Jurkat_T_cell	17840	GSM2879896	J	3
