Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	0.87482676978643	-9.79927491861231	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	0.70139406199987	-8.82665013986475	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	0.0247372197681197	-8.95896863656886	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-0.154900689167427	-8.23895883279688	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	0.776769142108513	-9.8598732920254	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	1.22115097518499	-8.41831922250636	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	0.766063790278984	-9.62244367318995	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	1.02403281207616	-9.64145421701319	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	0.162107806163383	-9.74148988443262	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	0.996490340190483	-8.13852357583887	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-0.155651230854439	-8.83222818094141	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	-1.028830905003	-6.51477956491358	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-2.70104875091975	-8.29680585580714	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	0.585143070178581	-9.41658544259913	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	-0.433322806400704	-9.95937585550196	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-0.277682204288887	-7.57106828409083	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-3.31823052887385	-8.7132143946255	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	0.0915068196826705	-8.99222039895899	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-1.54025783066218	-7.89447450357325	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	0.158453564601494	-10.0096240015591	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	1.08036885734136	-9.58134317117579	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	0.727351288753105	-8.38869142251856	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-3.14261617187922	-8.10860109048731	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	-3.1783236456341	-8.82193898874171	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	-0.479266543430733	-7.66332578378565	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	-2.67006673340266	-8.62225198465235	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	0.763904552417351	-9.92345952707178	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	1.24909601684148	-8.87813424783594	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	0.760199170070244	-9.92166852670557	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	-0.983587880176949	-6.42302274423487	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	-1.81397666458552	-9.12007665353663	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	0.534172873454643	-8.0911850901211	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	1.00535247798498	-6.98977517801173	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	0.435681920009209	-7.87969445901759	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	1.05974684234197	-9.72144365030177	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	1.09505532260473	-9.55188131051905	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	1.28236768718298	-8.80718278604395	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	-0.613249440235542	-9.35487889963038	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	0.410237412410332	-8.85379266458399	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	0.594096283870293	-9.23900842386134	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	-0.593241829914497	-8.07751798349268	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	0.526173095660759	-9.55867528634913	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	0.0327864694171676	-9.79615163522608	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	0.362228493648125	-9.25921392160303	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	0.550008754687858	-8.85756063180811	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	0.309540848689629	-9.98781537729151	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	-0.435718674702095	-7.20535039621241	Jurkat_T_cell	13176	GSM2879716	J	1
SRR6357749	-0.276837248844551	-9.41494512277491	Jurkat_T_cell	7500	GSM2879717	J	1
SRR6357751	-1.31309260849421	-9.12140512185938	Jurkat_T_cell	21868	GSM2879719	J	1
SRR6357752	0.211327891307426	-8.37085771280177	Jurkat_T_cell	2534	GSM2879720	J	1
SRR6357753	-0.246353764576363	-6.40775441842921	Jurkat_T_cell	1060	GSM2879721	J	1
SRR6357755	0.458363633113457	-9.88166951852686	Jurkat_T_cell	30484	GSM2879723	J	1
SRR6357756	-2.12979974274104	-8.09224557596094	Jurkat_T_cell	16318	GSM2879724	J	1
