Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-1.14777310728369	-0.434184582846154	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-0.318203201287371	0.355102030618202	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-1.24109454988776	1.17431410966636	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	0.294771442419904	2.55011442123176	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	1.67896343231859	1.02942052303077	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	2.62605715752305	-1.47059372247933	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-0.593067606680972	-2.34275058092355	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	1.63284111977281	0.4743544739318	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	2.71397043228807	-0.805309327261437	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-1.55621360778151	-0.403740914480675	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	0.573105702406782	-1.55856087984322	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	-1.19928157865344	1.04390296159507	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-2.25589298247634	-1.15337565721749	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	2.05642891884508	-0.876693995611657	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	0.262337455756086	-2.53059581102609	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-2.01283990382491	0.0667270105910409	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-2.42496429919539	-1.0372593718934	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	-1.2213523590499	-2.7977676707673	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-0.396527161591631	-0.875756056921471	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-2.51900111674605	-0.73401406587838	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	-0.204069485657794	-2.05309680284737	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	-1.04337461828528	-1.8156698066163	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	1.55555177689256	1.63932820974113	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	1.31474734306993	2.13145774422408	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	2.7223849392003	0.656040398461829	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	-0.891501990848166	-1.09957912744759	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	0.657489309317487	-1.7223315555024	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	1.07501960755052	-0.0755794364380729	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	-0.256688406460864	-0.0787666160035025	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	2.5500786399907	0.0975159090590585	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	-1.0546222829753	1.11795720277549	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	1.27504254341783	-2.36600735964059	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	2.24005247116746	-1.05640557588815	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	0.763411889082807	-0.586515458242882	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	-1.41621389030753	2.02264076290847	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	0.956599364287275	-2.57303765596627	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	0.579814085966962	0.507452217919837	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	-2.3912157916957	0.709780184609901	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	0.869316945082563	-1.46759227098702	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	-0.0956286692553583	-3.0427365619111	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	0.812270174033063	2.00860816059829	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	-1.6236781382495	1.18480756698371	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	-1.07502731471596	-0.937211783545006	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	-0.477297832959277	0.541439859254371	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	2.18034268379869	-0.239985974447716	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	-0.295550992482287	2.51368781743766	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	1.54140449524583	1.98179901955844	Jurkat_T_cell	13176	GSM2879716	J	1
SRR6357749	-1.07697926997481	1.52640741883041	Jurkat_T_cell	7500	GSM2879717	J	1
SRR6357751	-2.33936368464766	-1.39379862131356	Jurkat_T_cell	21868	GSM2879719	J	1
SRR6357752	-0.986709108346087	-0.797688992636193	Jurkat_T_cell	2534	GSM2879720	J	1
SRR6357753	-1.91217844723998	1.64890831528426	Jurkat_T_cell	1060	GSM2879721	J	1
SRR6357755	-0.0199475789004389	-2.23530057253121	Jurkat_T_cell	30484	GSM2879723	J	1
SRR6357756	0.522068033224958	1.11794885812522	Jurkat_T_cell	16318	GSM2879724	J	1
SRR6357758	1.57809973717393	-2.60523703874825	Jurkat_T_cell	22546	GSM2879726	J	1
SRR6357759	-1.82027213811217	-2.13919738115548	Jurkat_T_cell	15318	GSM2879727	J	1
SRR6357760	2.69732237816514	-0.501102717535485	Jurkat_T_cell	27784	GSM2879728	J	1
SRR6357763	0.609126696593183	2.77080181060554	Jurkat_T_cell	2358	GSM2879731	J	1
SRR6357764	-0.511200358861071	-0.732924731390465	Jurkat_T_cell	4922	GSM2879732	J	1
SRR6357765	0.893368730551618	-0.140819104330529	Jurkat_T_cell	23874	GSM2879733	J	1
SRR6357766	0.544734845168012	0.85334297834159	Jurkat_T_cell	6248	GSM2879734	J	1
SRR6357767	0.743312606818098	-1.14033439935922	Jurkat_T_cell	15534	GSM2879735	J	1
SRR6357768	-1.42375363945304	-1.38214829744576	Jurkat_T_cell	3572	GSM2879736	J	1
SRR6357769	-0.169364740841967	-2.50661900820016	Jurkat_T_cell	23174	GSM2879737	J	1
SRR6357774	-0.415000131123644	1.63095053849937	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	2.38155985832872	-0.618466408865441	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	2.77766037941636	-0.984948666708459	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	1.70492530823411	-0.637712033407677	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	0.557993779189008	-1.97404483141183	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	2.04108286858262	-1.40915110887765	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	1.79707790375413	-1.71908953966378	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	0.941074380881208	2.74719610629798	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	0.503480205542463	2.10896864352943	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	-1.76847105264006	-0.305771382467736	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	-0.682705929272753	2.3004237097335	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	-1.66392152547179	2.4638724011016	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	-2.33617936610518	-0.44571331323861	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	-0.205761542313677	0.637278286798011	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	-2.64539824961959	0.999016074521552	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	0.721391687399763	-2.44623902620553	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	1.09747243881883	2.3206431847644	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	1.52757121086778	1.03438463626624	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	-0.000191082947832655	-0.627079041616906	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	-0.0882497930460993	1.14959856687308	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	-2.60577117442427	-1.27313474001168	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	-2.28647934436141	0.429144827706825	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	2.29485226631822	0.903656212670814	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	0.922545323378461	-2.40798190416573	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	-2.66516028880416	0.745988337380897	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	0.708221325880903	1.22398719011069	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	-0.703620156043154	-0.496388228552331	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	-1.7594613337451	-1.05419567407845	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	-0.0938564443522516	-0.0102610904145133	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	0.904115924841779	-0.554472239630212	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	-2.85315989493666	0.207831589562904	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	1.73400856018724	0.0377809685301889	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	-0.167784621708972	-0.918978484289635	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	2.38959575653734	1.40358230291129	Jurkat_T_cell	4232	GSM2879784	J	2
SRR6357817	-2.06682669162093	-2.52966502489327	Jurkat_T_cell	2118	GSM2879785	J	2
SRR6357818	-2.21208690642653	0.707956640107642	Jurkat_T_cell	23282	GSM2879786	J	2
SRR6357819	-2.32530795573531	0.021801916940223	Jurkat_T_cell	7970	GSM2879787	J	2
SRR6357821	2.87127805710496	0.40447994886161	Jurkat_T_cell	18358	GSM2879789	J	2
SRR6357822	-1.66468315362273	-0.199479611532677	Jurkat_T_cell	1672	GSM2879790	J	2
SRR6357823	-0.733726804845912	-1.69820788683175	Jurkat_T_cell	18384	GSM2879791	J	2
SRR6357824	-0.0373989844256464	2.29808181343795	Jurkat_T_cell	45328	GSM2879792	J	2
SRR6357827	-0.163588037484271	1.64206515072108	Jurkat_T_cell	19084	GSM2879795	J	2
SRR6357829	-0.704919537299258	-0.322598012106408	Jurkat_T_cell	3534	GSM2879797	J	2
SRR6357831	-1.342834284299	2.65995189367057	Jurkat_T_cell	8530	GSM2879799	J	2
SRR6357832	-2.14507042407332	-1.99277761759042	Jurkat_T_cell	8998	GSM2879800	J	2
SRR6357833	-1.09315178334056	-1.25111225427865	Jurkat_T_cell	1286	GSM2879801	J	2
SRR6357834	-1.64824425219832	1.21884634910346	Jurkat_T_cell	3286	GSM2879802	J	2
SRR6357835	2.47459984780015	-1.41287949861764	Jurkat_T_cell	69250	GSM2879803	J	2
SRR6357837	-0.64401646494208	-2.43311599077462	Jurkat_T_cell	48240	GSM2879805	J	2
SRR6357838	1.9665677642888	-0.022196205275048	Jurkat_T_cell	6848	GSM2879806	J	2
SRR6357840	-1.91035824059783	-0.476744206564416	Jurkat_T_cell	25520	GSM2879808	J	2
SRR6357841	-2.09075438021956	-1.26498606981515	Jurkat_T_cell	3778	GSM2879809	J	2
SRR6357842	0.480665216452497	-2.60670188249825	Jurkat_T_cell	20968	GSM2879810	J	2
SRR6357843	0.0248008465832648	-2.9613714534211	Jurkat_T_cell	39604	GSM2879811	J	2
SRR6357845	-1.23589392542182	-1.99508837045907	Jurkat_T_cell	1404	GSM2879813	J	2
SRR6357846	1.24589801788987	2.93209323106528	Jurkat_T_cell	32818	GSM2879814	J	2
SRR6357848	-0.026394178860766	0.228174535615455	Jurkat_T_cell	31314	GSM2879816	J	2
SRR6357849	1.84104157448472	0.957920638902198	Jurkat_T_cell	12912	GSM2879817	J	2
SRR6357850	1.51886774063768	0.751942841393958	Jurkat_T_cell	23522	GSM2879818	J	2
SRR6357851	0.0951721763676581	-1.09877827944039	Jurkat_T_cell	1724	GSM2879819	J	2
SRR6357852	-2.33574961661635	-2.24029830278634	Jurkat_T_cell	4028	GSM2879820	J	2
SRR6357853	-0.593570193045718	1.44872700987579	Jurkat_T_cell	20496	GSM2879821	J	2
SRR6357855	-0.697689970725161	0.710179535729896	Jurkat_T_cell	14694	GSM2879823	J	2
SRR6357856	-1.86993830441771	-2.49750808061837	Jurkat_T_cell	65152	GSM2879824	J	2
SRR6357857	-1.64023887156783	-1.79831841768502	Jurkat_T_cell	36664	GSM2879825	J	2
SRR6357859	-0.998549381040913	1.50173574505569	Jurkat_T_cell	1044	GSM2879827	J	2
SRR6357861	-0.513537516587359	-0.280171664373864	Jurkat_T_cell	10966	GSM2879829	J	2
