Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-0.6458873549318	-3.10137176943663	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	0.230756779589684	-1.88130808306578	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-1.63276455791947	-2.64321613741759	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	0.357875367083581	-3.19918299151304	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	-2.09344909580704	0.173904176226823	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	2.8198633393431	-0.19428825808409	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	1.41970064250472	-3.40398312044981	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	0.539874812045129	-3.36083841753844	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-1.76143507154938	-2.42148304415587	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	0.627801915087731	-3.50219250155333	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-1.76666812094208	-2.23604965639952	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	-1.86280337961671	1.05517553853151	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	2.45381691066268	-2.19591904116514	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	0.52182938663009	-2.75709486437681	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	2.13152839747909	-2.02494717074278	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-1.98025695475098	0.222962613574235	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	0.809258719363244	-2.27509165240172	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	2.24186231700424	0.455675359240739	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-1.73440466316697	-1.86790657473448	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	0.227331181445153	-3.55967283678892	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	0.678150673785241	-2.73104858828429	Jurkat_T_cell	11996	GSM2879676	J	1
