Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-1.08736153210398	1.10613673484817	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-3.01600518341061	0.837309773330838	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-0.0649692070006934	1.48217695510879	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-3.24264016265865	-0.419431750411837	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	1.67445454483036	-2.37072557651505	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	1.96442756538395	0.270984347229154	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-1.7106468927383	1.24954741752639	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	-0.888010549199542	1.4121872738649	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-1.24484180922504	-1.27711219036087	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-3.69925847167965	-1.37207562171921	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-3.36460771675106	-0.100987021560519	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	-1.58868756408688	1.54242199218765	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	2.07034358863834	-0.72554356300339	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	-0.332502092075309	-1.2083771868895	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	1.32342419509892	-2.60048786246285	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-2.60268130416866	0.134974892501981	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	1.79770240669254	0.485201294784696	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	0.0466997373581323	-0.611086432571261	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-3.15307726974483	-0.563870255584567	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-3.27077236289974	-1.30727106773361	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	1.30477151756291	0.0917677239228794	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	-0.0396924268722144	0.861897881393582	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-0.0992884885787574	1.78774040496841	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	-2.33368029708858	-0.177117173309176	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	1.19593200569157	1.00955122268692	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	0.18251678829197	-0.781333391303866	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	-2.82863333339687	0.42850654876724	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	-0.198546971034965	2.04046362197891	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	-2.60763158912655	0.976471598510892	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	0.174761985588113	-1.01930183612809	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	-2.21623888130184	0.770074541931302	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	-2.18172457332607	1.12326424873367	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	-1.92681720371242	1.30218427932754	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	-0.878459597778281	1.65443342483535	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	-0.0674965631484595	-0.0314152880857876	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	-2.53193571681972	0.555103714828641	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	-0.720224345874747	-0.203272645110934	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	-1.06503251458403	1.67239826477066	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	-2.855155373764	0.256535704498441	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	0.754727577018777	1.10812562263504	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	0.251128171730081	1.23173564231888	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	-3.10152545089718	0.891404564743192	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	0.895741676139871	-0.920017902488559	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	-0.724497045230826	0.396424229507596	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	1.93636736755375	-0.126089398498385	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	-0.946157391023597	0.63905375755325	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	-1.84060284013744	1.68647545135513	Jurkat_T_cell	13176	GSM2879716	J	1
SRR6357749	-0.0134095203399268	-0.619123999709933	Jurkat_T_cell	7500	GSM2879717	J	1
SRR6357751	-1.47586726660725	0.158315832977445	Jurkat_T_cell	21868	GSM2879719	J	1
SRR6357752	-1.88544031496044	0.803115303878934	Jurkat_T_cell	2534	GSM2879720	J	1
SRR6357753	-0.923658213418683	0.894296582107694	Jurkat_T_cell	1060	GSM2879721	J	1
SRR6357755	-0.995131521326264	0.91586154258743	Jurkat_T_cell	30484	GSM2879723	J	1
SRR6357756	0.722458218383828	1.28305691040054	Jurkat_T_cell	16318	GSM2879724	J	1
SRR6357758	-0.572027738046607	1.50860613143936	Jurkat_T_cell	22546	GSM2879726	J	1
SRR6357759	0.998837446022073	1.31955688751236	Jurkat_T_cell	15318	GSM2879727	J	1
SRR6357760	-0.865229780626258	0.625692780380399	Jurkat_T_cell	27784	GSM2879728	J	1
SRR6357763	0.156234239387551	-1.15164262496933	Jurkat_T_cell	2358	GSM2879731	J	1
SRR6357764	-1.54314359540935	1.29436629570022	Jurkat_T_cell	4922	GSM2879732	J	1
SRR6357765	-0.8742285620689	1.18003743446365	Jurkat_T_cell	23874	GSM2879733	J	1
SRR6357766	-2.83365907783504	-0.152143303985446	Jurkat_T_cell	6248	GSM2879734	J	1
SRR6357767	0.646711920547524	0.373900587921292	Jurkat_T_cell	15534	GSM2879735	J	1
SRR6357768	1.86838636283878	-0.838619534606784	Jurkat_T_cell	3572	GSM2879736	J	1
SRR6357769	0.621860836792031	-1.21507305347428	Jurkat_T_cell	23174	GSM2879737	J	1
SRR6357774	-0.618550206375083	-1.2675378962706	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	0.342463110733071	1.31671636856094	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	-1.42383038516041	1.18425982749954	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	0.291381214904824	0.475588019256742	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	-1.67853328104015	0.736515696411283	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	1.3959215629578	-0.284929816360324	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	-1.2229811799049	1.23990815437332	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	-0.659493799161872	0.86916440284744	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	-0.195537294101676	-1.26603609764084	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	-0.0096118103980628	1.09216469085708	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	-0.233064914894065	1.45155590332046	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	1.80467924957279	-0.664855544204562	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	-0.668246085596046	1.66256588256851	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	0.684060190963784	1.14304369247452	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	1.04901871566776	0.687787468795926	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	0.338806127357522	1.47490995681778	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	-1.17751071865555	0.612584288482816	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	-0.273361350250205	1.14827602661148	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	-0.221445645046195	0.165952618484647	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	-0.638715560388526	1.89006822860733	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	-1.04720006401535	0.502579863433988	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	-0.704588289213142	1.35865228927627	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	-0.123476232242545	1.39532583511368	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	-0.692247236919364	0.568334515457303	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	-0.591967041444739	-1.49051124298081	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	0.280121420669595	1.25334661758438	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	-1.63817330713268	-0.368999545211642	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	-1.47999992485042	1.18986171043411	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	-2.78003122920986	0.649721320037992	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	1.9401167381287	-0.537872140045016	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	-1.52232303733822	-0.393933598632663	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	0.254968618202248	-0.275260274047702	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	0.364351843643227	1.35536211288467	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	0.0668471801758203	0.317145045166165	Jurkat_T_cell	4232	GSM2879784	J	2
SRR6357817	-2.23776295299526	-0.622694794769137	Jurkat_T_cell	2118	GSM2879785	J	2
SRR6357818	-0.393844093036613	0.793093617324979	Jurkat_T_cell	23282	GSM2879786	J	2
SRR6357819	0.486931775856057	1.39405411041275	Jurkat_T_cell	7970	GSM2879787	J	2
SRR6357821	-0.763409371328315	1.13972228324905	Jurkat_T_cell	18358	GSM2879789	J	2
SRR6357822	-0.798866475772819	0.777523215179593	Jurkat_T_cell	1672	GSM2879790	J	2
SRR6357823	-0.68956487889286	-1.12321156703934	Jurkat_T_cell	18384	GSM2879791	J	2
SRR6357824	-1.36745565648075	1.6962711170961	Jurkat_T_cell	45328	GSM2879792	J	2
SRR6357827	-1.06346660370823	1.22751968658462	Jurkat_T_cell	19084	GSM2879795	J	2
SRR6357829	0.574182843017617	0.174542839889676	Jurkat_T_cell	3534	GSM2879797	J	2
SRR6357831	-1.49938025588985	1.02072280204788	Jurkat_T_cell	8530	GSM2879799	J	2
SRR6357832	-0.422102416706046	-0.0351048155973843	Jurkat_T_cell	8998	GSM2879800	J	2
SRR6357833	-0.454468096446952	1.82552164352432	Jurkat_T_cell	1286	GSM2879801	J	2
