Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	5.83499199733491	7.07637792895822	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	4.29295880183931	6.04904371570138	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	5.58785969600434	6.44926267932443	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	4.08219916209932	5.89595466922311	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	5.78361136302705	6.30692154239206	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	3.06504971370454	3.20585161517648	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	7.70240265712495	7.21092230151681	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	7.69040543422456	7.75509983371286	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	6.02043015346284	5.38754183124093	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	3.58373362407441	5.3928471214631	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	6.23185116634126	5.25743299792795	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	4.39641672954316	6.15968662570505	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	6.9919448553061	3.78950887988595	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	5.56276900157685	6.83177858661203	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	7.81729275569673	7.45096069644479	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	1.8330264745688	2.59725922416238	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	8.71369320735688	4.57211166690378	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	5.6773696599936	4.91025406192331	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	8.21565110072846	4.54573327373056	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	5.52669674739595	6.66684919665841	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	5.81473786220308	6.96313577960519	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	5.67520291194673	6.23782259295968	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	8.45485646114106	4.44331151317148	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	8.34915978297944	4.35789614985971	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	6.39682442531343	5.01610189746408	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	8.76791245326753	4.83173137973337	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	5.32058674678559	6.44895798038034	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	3.44590718135591	5.20294529269723	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	4.57493645534272	3.49693805049447	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	4.07193238124604	3.13382846187143	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	8.09494454250093	5.6325202591279	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	3.89101034984346	5.66389042209176	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	2.82607085094209	4.07971459697275	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	1.87222058162446	4.12828904460458	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	5.82591635570283	7.09824138949899	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	2.68102223262544	3.79851132701425	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	4.99560076579805	6.38959604571847	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	8.13376767024751	6.28754049609689	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	7.76048428401704	7.71873527835397	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	7.56079155788179	7.77515178988962	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	7.83632428035493	5.54856735538034	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	7.77734333858247	6.20190006564645	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	8.21746498927827	6.69186359714059	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	7.47439438686128	6.03158575366525	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	5.21782118663545	6.69281297992258	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	7.95254189357515	7.11828714679269	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	5.94357115611787	4.51247841189889	Jurkat_T_cell	13176	GSM2879716	J	1
SRR6357749	5.78341490611787	5.825385630832	Jurkat_T_cell	7500	GSM2879717	J	1
SRR6357751	8.56064564571138	6.2483478195527	Jurkat_T_cell	21868	GSM2879719	J	1
SRR6357752	2.530271595571	4.67812639544992	Jurkat_T_cell	2534	GSM2879720	J	1
SRR6357753	1.53524500713105	4.24326735805063	Jurkat_T_cell	1060	GSM2879721	J	1
SRR6357755	8.31058556422944	6.77624803851633	Jurkat_T_cell	30484	GSM2879723	J	1
SRR6357756	7.16928917751069	4.05065161059884	Jurkat_T_cell	16318	GSM2879724	J	1
SRR6357758	8.29838997707124	6.39147859881906	Jurkat_T_cell	22546	GSM2879726	J	1
SRR6357759	7.65656811580415	7.50601917575387	Jurkat_T_cell	15318	GSM2879727	J	1
SRR6357760	8.3262429891562	7.28725677798776	Jurkat_T_cell	27784	GSM2879728	J	1
SRR6357763	3.86062867030854	5.78184324573068	Jurkat_T_cell	2358	GSM2879731	J	1
SRR6357764	5.40836197719331	6.53592115710763	Jurkat_T_cell	4922	GSM2879732	J	1
SRR6357765	8.61896950587983	5.98742491076974	Jurkat_T_cell	23874	GSM2879733	J	1
SRR6357766	4.73916251048799	4.67992907832651	Jurkat_T_cell	6248	GSM2879734	J	1
SRR6357767	5.81645733699556	7.17990356753854	Jurkat_T_cell	15534	GSM2879735	J	1
SRR6357768	3.8782973943686	5.20925241778879	Jurkat_T_cell	3572	GSM2879736	J	1
SRR6357769	7.97836453304048	7.04006630252389	Jurkat_T_cell	23174	GSM2879737	J	1
SRR6357774	1.46461898669954	2.24338001082925	Jurkat_T_cell	3554	GSM2879742	J	2
SRR6357776	5.7700381933188	5.31214290927438	Jurkat_T_cell	13286	GSM2879744	J	2
SRR6357777	4.39212757930513	3.91663271258859	Jurkat_T_cell	4460	GSM2879745	J	2
SRR6357779	8.04558712825532	5.76648145984201	Jurkat_T_cell	15894	GSM2879747	J	2
SRR6357781	1.90915591106172	3.22150999377756	Jurkat_T_cell	1034	GSM2879749	J	2
SRR6357784	5.14351088390107	6.61487585376291	Jurkat_T_cell	8808	GSM2879752	J	2
SRR6357786	7.81265599117036	7.61152893374948	Jurkat_T_cell	32512	GSM2879754	J	2
SRR6357787	3.76738221034761	5.48571735690622	Jurkat_T_cell	3446	GSM2879755	J	2
SRR6357788	5.32394797191377	4.66445618937997	Jurkat_T_cell	5592	GSM2879756	J	2
SRR6357789	6.67583329066987	5.7575088150361	Jurkat_T_cell	10242	GSM2879757	J	2
SRR6357790	1.29528791293855	2.68057161639718	Jurkat_T_cell	1530	GSM2879758	J	2
SRR6357791	-7.05199235096221	0.0200833089211407	Jurkat_T_cell	78670	GSM2879759	J	2
SRR6357792	4.14654452190156	4.01985865901498	Jurkat_T_cell	2404	GSM2879760	J	2
SRR6357793	3.46010643825288	2.98523908923654	Jurkat_T_cell	2874	GSM2879761	J	2
SRR6357794	-0.0486110986733896	4.32669621776132	Jurkat_T_cell	6802	GSM2879762	J	2
SRR6357795	6.9652114568686	3.48982197116403	Jurkat_T_cell	14160	GSM2879763	J	2
SRR6357797	7.70698887691255	7.62943846057443	Jurkat_T_cell	20812	GSM2879765	J	2
SRR6357799	7.98160416469331	6.43891960452585	Jurkat_T_cell	20508	GSM2879767	J	2
SRR6357800	0.530975884053661	3.286980212436	Jurkat_T_cell	1078	GSM2879768	J	2
SRR6357801	1.40207535609956	3.55760604213266	Jurkat_T_cell	1004	GSM2879769	J	2
SRR6357802	2.85155588969941	2.68645745585946	Jurkat_T_cell	2354	GSM2879770	J	2
SRR6357803	6.62352997646089	4.54622250865487	Jurkat_T_cell	11022	GSM2879771	J	2
SRR6357804	6.65533787593599	4.28455096553354	Jurkat_T_cell	10926	GSM2879772	J	2
SRR6357805	5.46586758479829	7.04518705676584	Jurkat_T_cell	9948	GSM2879773	J	2
SRR6357806	1.68511039600129	2.66897183726816	Jurkat_T_cell	1702	GSM2879774	J	2
SRR6357807	4.61126095638032	4.39909845660715	Jurkat_T_cell	4378	GSM2879775	J	2
SRR6357808	5.31839186534639	4.83441168139963	Jurkat_T_cell	9648	GSM2879776	J	2
SRR6357809	4.3771315275168	4.42579966853647	Jurkat_T_cell	3116	GSM2879777	J	2
SRR6357810	2.73808724269624	3.6700790531495	Jurkat_T_cell	3142	GSM2879778	J	2
SRR6357811	5.99069077358003	3.98326617549447	Jurkat_T_cell	136852	GSM2879779	J	2
SRR6357812	0.121863192174389	4.07388407062082	Jurkat_T_cell	1094	GSM2879780	J	2
SRR6357813	4.60232073650117	4.28536659549264	Jurkat_T_cell	7662	GSM2879781	J	2
SRR6357815	6.23736340389009	5.87203508685617	Jurkat_T_cell	11544	GSM2879783	J	2
SRR6357816	5.72112280711885	4.95223051379709	Jurkat_T_cell	4232	GSM2879784	J	2
