Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-0.810706004773699	8.9517569931504	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-2.02625532475623	8.91282848439185	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-1.72479863492163	8.26675561985938	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-1.81287498799475	9.13215259633033	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	-2.14141733971747	7.75867036900489	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	-2.09532912102851	8.82386402211158	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-0.866582885657869	8.18720344624488	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	-1.33491642800482	8.6854577454087	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-2.31512315598639	7.62954000554054	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-1.90849037495764	9.30523113331764	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-0.896799698745333	7.76928524098365	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	1.57300369414178	5.3362887295243	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-1.7773041280857	4.76556805691688	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	-1.94276554909857	9.19270519337623	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	-1.01308335391196	7.61762670597999	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-1.65804584351691	6.66919139943092	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-1.08790619698676	4.37520341000526	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	-2.14124067155036	6.57522634587257	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-0.724999830400072	5.35563282093971	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-1.74897797433051	8.56283620915382	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	-0.989980653201662	9.05882982335059	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	-0.433355056022726	7.29157070240943	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-0.464053646003328	4.12023834309547	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	0.171070828760542	4.49440077862708	Jurkat_T_cell	91570	GSM2879679	J	1
