Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-7.1499684046613	-0.614837397274628	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-4.75927402485479	0.695559631648406	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-7.88329895247091	-0.197412003216401	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-6.66660453785527	-0.464849461254731	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	-7.73367204178441	-0.609673489269868	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	-9.39139171351064	0.681302081408843	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-6.29997064579595	-0.456445683178559	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	-6.71352674473394	0.595950256648406	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-7.68379237164129	0.549374829593047	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-4.70827438343633	-0.190450419125214	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-5.63375355709661	-0.64302467220749	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	-4.43870689381231	0.179042707743987	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-4.43797924030889	1.26084614879166	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	-5.85198046673406	0.465425263705596	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	-6.36588026989568	0.587543498339996	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-4.25670339573491	0.629381429019317	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-7.46946789730657	0.773079882922515	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	-6.05777670849431	-0.0285410773130805	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-6.12998463619817	0.137521754565582	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-7.7140553187238	0.453773509326324	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	-6.49439527500737	-0.423064936337128	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	-6.30597116459478	0.592988978686675	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-6.90656294334996	1.14492316133057	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	-4.63524152744878	1.79419602042709	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	-7.32439352978338	0.456497680011138	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	-6.34641434658635	1.35623426324402	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	-5.97213890064824	0.598162781062469	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	-8.7350668128239	0.329457174601897	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	-7.90963043678869	0.698993216815337	Jurkat_T_cell	2350	GSM2879686	J	1
