Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-0.529554508767681	-10.1661935606034	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-9.99017407759245	5.31651775455163	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	0.725229419626636	-10.0226784505875	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-10.9078929649216	5.58395950412439	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	-0.852637909494	-9.86412675762488	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	-10.6788690315109	6.49514762973474	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-0.601565145097332	-10.1170888700516	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	-0.653377793870525	-9.78892381573035	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-0.545170568070965	-9.90406616115882	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-8.86726739271696	5.90928833102868	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-0.884874366365032	-9.6397681989701	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	0.719458095588131	-10.2970424451859	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-0.689855955682354	-8.47293050670935	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	0.347165323652668	-10.0481897153886	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	-0.816359542451458	-10.0824604787858	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-9.33638264998014	6.16457264041589	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-0.436331652246075	-8.35203559780432	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	0.579974882163448	-10.0443053998978	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-0.737014435372906	-9.26199777508094	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-0.79920806749876	-9.37111146831824	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	0.202839948095722	-10.3309694089921	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	0.759639970817013	-9.67554195308997	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-0.716270111642437	-9.23454912090613	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	1.0511772109646	-8.52940328502967	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	-0.671192430100994	-9.2735868253739	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	-0.459628246865826	-8.8234349050553	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	0.238615907587452	-10.0553594388993	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	-8.78908612593229	5.70619575595544	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	-7.25937535627897	4.93847839450525	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	0.307758964456959	-9.34906585598304	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	-0.739405296884136	-9.73945720577552	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	-7.29668118818815	4.30115024661706	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	-8.09760072096403	7.52300541019128	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	-9.82789399488981	6.40508167361901	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	-0.190130733094769	-10.241324500087	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	-9.00657346113737	6.86929313754724	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	0.57829082556848	-10.3180561819108	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	-0.957035325608807	-9.51312740230872	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	0.110994227089329	-9.88364560985877	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	-0.333459697805004	-9.93550546551062	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	-0.726317428193646	-9.45575244808509	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	-0.129681788526135	-9.34016521358802	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	-0.83260228498991	-9.11711748028113	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	-0.604314588151531	-9.80398424053504	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	0.481456130601807	-10.2962175169022	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	-0.843778751931744	-9.19751794720008	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	-0.358317814908581	-9.3587713995011	Jurkat_T_cell	13176	GSM2879716	J	1
