Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	6.15559966034359	-11.2251972343018	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	5.85134417480893	-11.2235473777344	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	6.2787514395184	-10.5797695304444	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	6.03244835800595	-12.1349205161621	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	6.25176197952694	-9.55811349406741	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	6.35127217239804	-10.7982372428467	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	6.37420279449887	-8.95968667521975	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	5.97796065277523	-10.1265958930542	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	6.32428843445248	-9.05988542094729	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	6.03569466537899	-12.0976595069458	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	6.72941405243344	-7.80867234721682	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	5.7157312101788	-3.60170880809329	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	7.65054804748959	-3.86547795787356	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	6.12568909592099	-11.1123403693726	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	5.37869555420346	-8.33563176646731	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	7.10709959930844	-7.11534158244632	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	7.05961996979184	-4.26691905513308	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	6.56415230698056	-8.37914124980471	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	7.88347727722592	-4.65474502101443	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	5.95379120773739	-11.3234066154053	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	6.38430554336972	-11.078023352771	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	5.91378647751278	-8.9995016242554	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	7.64054400391049	-3.78344193950198	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	6.85040003723568	-2.15341726794742	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	6.95950610107846	-7.25151959910891	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	6.73040825790829	-4.0577930594971	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	6.22561509079403	-10.280605712085	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	5.76775223679013	-11.9580015327027	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	6.66953093475766	-8.50288526073001	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	7.52649790710873	-5.30002633586428	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	7.07271964020199	-5.35535756602786	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	6.23034817642636	-11.0245803977539	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	5.72042614883847	-11.8310579444458	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	6.19835049576229	-10.4344123984864	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	5.92990023559994	-12.0979036475708	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	5.9693089193768	-12.0667242194702	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	6.06185633606381	-11.4242862845948	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	5.7441039747662	-7.24969235911868	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	5.4581833548016	-8.98170129313968	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	5.88129527038998	-9.96657220378421	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	6.78564459747738	-5.90961352839969	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	6.4896979994244	-7.58287850871585	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	6.74041230148739	-7.64132157817386	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	6.0524855322308	-7.76174775615237	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	5.69879824585385	-11.1777328635742	Jurkat_T_cell	4770	GSM2879713	J	1
