Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	2.69170251044633	2.32011997873158	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	2.05978634509447	3.3484150188622	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	2.7637163654268	2.52416002923818	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	2.05726506862047	3.3592883365807	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	3.73240782621505	1.54102862054677	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	4.10557981881502	0.950782658403825	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	3.14280429038408	2.02063048059316	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	4.87754490527513	1.92012202913136	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	3.28009110245111	2.97536766702504	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	1.8778201595247	2.98747265512318	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	3.38905161175134	1.68585527116628	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	0.981439735025192	2.78217971498341	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	2.91568317565324	-1.16542154749661	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	4.45725056084993	1.91428029710622	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	3.62594508680704	2.84635842019887	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	2.05174257907274	-1.31305818831353	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	3.27444391998651	0.790920378511857	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	4.26640203151109	0.631893278902482	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	1.55244317206743	3.20947754556508	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	4.62851008328798	2.03160441095204	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	4.68145331296327	1.15088427240224	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	4.53161951455476	0.416601063555192	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	2.96699752959611	2.58727586442799	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	2.16052725467088	1.16509092027516	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	3.90001096877458	0.450405241793107	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	4.30233296307924	-0.809376506263305	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	3.69289421032372	2.57742083246083	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	2.35919740352037	3.06561625177235	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	1.14521970900896	2.67216170007558	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	0.332738305658126	2.07592070276112	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	3.93003133985403	1.19217121774526	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	3.10628005418184	2.33221256906361	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	2.50986232909563	1.15034544641347	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	2.69522383365037	2.62913239175649	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	4.57566430720689	1.82373273546071	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	3.95921760353448	-0.701073227578689	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	2.30074110183122	3.26208937341542	Jurkat_T_cell	4318	GSM2879699	J	1
SRR6357733	3.37187745723131	2.56914246255727	Jurkat_T_cell	17942	GSM2879701	J	1
SRR6357734	4.37072398814561	2.25187146837087	Jurkat_T_cell	24104	GSM2879702	J	1
SRR6357736	4.55308642539384	0.89173638994069	Jurkat_T_cell	17196	GSM2879704	J	1
SRR6357737	2.85654112252595	-0.787762967998077	Jurkat_T_cell	38476	GSM2879705	J	1
SRR6357738	3.80966829809549	1.33845555955739	Jurkat_T_cell	20224	GSM2879706	J	1
SRR6357739	3.95614540132883	1.71331894571156	Jurkat_T_cell	18704	GSM2879707	J	1
SRR6357740	4.21409353169801	2.24332702333302	Jurkat_T_cell	18614	GSM2879708	J	1
SRR6357745	4.6081241026819	0.226469995325516	Jurkat_T_cell	4770	GSM2879713	J	1
SRR6357746	4.34071841391923	1.14278447801442	Jurkat_T_cell	20802	GSM2879714	J	1
SRR6357748	-3.25116381493208	1.23018610650868	Jurkat_T_cell	13176	GSM2879716	J	1
SRR6357749	3.0511954084337	2.90493786508412	Jurkat_T_cell	7500	GSM2879717	J	1
