Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	-11.2691732859495	0.786738706076384	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	-11.2454439616086	-0.979576813733339	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	-10.4086233591917	1.2900418166759	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	-9.83289303540015	0.939985645258665	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	-10.1028734660032	1.23123277469897	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	-10.9345947718503	0.189998162234068	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	-10.4007412409666	1.36866499229693	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	-10.7533070063474	1.14956260963702	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	-12.1552988505247	-0.606693970715761	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	-10.0200830912473	0.806957495653868	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	-11.0543323969724	1.00626219555163	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	-10.6869789576414	-0.598409580743074	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	-6.98128809689307	-4.54335855201459	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	-10.9269920802	0.984395993197203	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	-10.8301683878782	-2.61706589416242	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	-8.41621556042456	1.18218971534991	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	-5.89679445980811	-4.33167432502484	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	-10.9791323161008	1.10367037102008	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	-6.31627955197119	-4.5247466440556	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	-11.858310363281	-0.0286585071367619	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	-10.3842903590085	1.20276821895862	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	-12.0077797388914	-0.117812077259779	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	-5.37394633053565	-4.23735402778363	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	-4.89923395870947	-2.9266831751225	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	-12.1180092310789	-0.236399742519617	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	-5.1854964709165	-4.02716468528485	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	-9.98359265087866	1.10375918194079	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	-10.5296989893796	0.300562453711271	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	-11.8540417170408	-0.798230695283174	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	-8.47776093243384	-4.69592450813031	Jurkat_T_cell	9554	GSM2879687	J	1
