Runs	UMAP1	UMAP2	CellType	NumofReads	SampleName	JC	Replicates
SRR6357676	8.79338593548955	-8.11144207787268	Jurkat_T_cell	10686	GSM2879644	J	1
SRR6357679	8.45529503888311	-8.41779326271765	Jurkat_T_cell	3252	GSM2879647	J	1
SRR6357683	10.3173689371985	-5.24237011742346	Jurkat_T_cell	10926	GSM2879651	J	1
SRR6357684	7.70792384213628	-9.07396315407507	Jurkat_T_cell	4354	GSM2879652	J	1
SRR6357685	10.3494076258582	-3.1127321608042	Jurkat_T_cell	8236	GSM2879653	J	1
SRR6357686	9.02737088269414	-7.79793738198034	Jurkat_T_cell	1882	GSM2879654	J	1
SRR6357687	10.2917332178992	-1.24248128008597	Jurkat_T_cell	23184	GSM2879655	J	1
SRR6357689	10.3820290095252	-4.99662493538611	Jurkat_T_cell	24812	GSM2879657	J	1
SRR6357690	10.5379766947669	-2.21176074814551	Jurkat_T_cell	7236	GSM2879658	J	1
SRR6357692	7.67677731579961	-8.91721533608191	Jurkat_T_cell	3266	GSM2879660	J	1
SRR6357693	10.0422806269568	1.44211841750391	Jurkat_T_cell	10380	GSM2879661	J	1
SRR6357695	7.62227053708257	3.70051766562708	Jurkat_T_cell	75414	GSM2879663	J	1
SRR6357696	6.09600730008306	5.77197982001551	Jurkat_T_cell	14836	GSM2879664	J	1
SRR6357698	8.86062474316777	-8.04742478203528	Jurkat_T_cell	11358	GSM2879666	J	1
SRR6357699	10.4274782664222	-2.23222087692969	Jurkat_T_cell	18542	GSM2879667	J	1
SRR6357700	9.09095139569463	3.53345013785608	Jurkat_T_cell	1702	GSM2879668	J	1
SRR6357701	7.6350316531104	5.20644856620081	Jurkat_T_cell	22506	GSM2879669	J	1
SRR6357702	10.1075520045203	-0.2375005371546	Jurkat_T_cell	5406	GSM2879670	J	1
SRR6357703	5.22748179501714	5.81937409568079	Jurkat_T_cell	15872	GSM2879671	J	1
SRR6357707	8.34388680524053	-8.51154135536902	Jurkat_T_cell	6434	GSM2879675	J	1
SRR6357708	8.99199338025273	-7.96665381264441	Jurkat_T_cell	11996	GSM2879676	J	1
SRR6357709	10.4372591502112	-2.87031637501471	Jurkat_T_cell	7010	GSM2879677	J	1
SRR6357710	5.90537591046514	5.90897895026453	Jurkat_T_cell	26502	GSM2879678	J	1
SRR6357711	5.12009615964116	4.82781315970667	Jurkat_T_cell	91570	GSM2879679	J	1
SRR6357712	9.07504601544561	2.81372572112329	Jurkat_T_cell	15024	GSM2879680	J	1
SRR6357713	8.14170594281377	3.53406335044153	Jurkat_T_cell	12520	GSM2879681	J	1
SRR6357714	10.3074821955604	-5.20937012505285	Jurkat_T_cell	9044	GSM2879682	J	1
SRR6357715	7.54344363278569	-9.05804632973425	Jurkat_T_cell	1888	GSM2879683	J	1
SRR6357718	10.2756170756263	-0.859663054314777	Jurkat_T_cell	2350	GSM2879686	J	1
SRR6357719	7.2419914729041	5.75983096289881	Jurkat_T_cell	9554	GSM2879687	J	1
SRR6357720	7.82340903348149	5.33048154044397	Jurkat_T_cell	21658	GSM2879688	J	1
SRR6357722	8.8023170954627	-8.03970764946692	Jurkat_T_cell	3070	GSM2879690	J	1
SRR6357723	7.4545363909644	-8.99058150124304	Jurkat_T_cell	1068	GSM2879691	J	1
SRR6357724	10.4402851588172	-5.06828163933508	Jurkat_T_cell	1758	GSM2879692	J	1
SRR6357725	7.5871538645667	-9.01280878853552	Jurkat_T_cell	11974	GSM2879693	J	1
SRR6357729	7.53046126431645	-9.06981371712439	Jurkat_T_cell	1812	GSM2879697	J	1
SRR6357731	7.91650481290044	-8.88806294274084	Jurkat_T_cell	4318	GSM2879699	J	1
