Number of peaks: 125647; number of cells: 1224
Number of non-zeros before imputation: 5516980
iteration: 0, objective: 0.04014092290869718, violation: 1.0
iteration: 1, objective: 0.03952694596953488, violation: 0.31788637245877904
iteration: 2, objective: 0.039239739937095564, violation: 0.23159260989865904
iteration: 3, objective: 0.03906457312884367, violation: 0.176232475102406
iteration: 4, objective: 0.0389429199039301, violation: 0.14456966448687275
iteration: 5, objective: 0.03887376110172472, violation: 0.1122129634381113
iteration: 6, objective: 0.0388339517359747, violation: 0.0845523599292278
iteration: 7, objective: 0.038808280620935345, violation: 0.06660404810944744
iteration: 8, objective: 0.038790552558193865, violation: 0.05453666386993177
iteration: 9, objective: 0.03877830271656604, violation: 0.04543901899187918
iteration: 10, objective: 0.03876942237805857, violation: 0.03817645203478551
iteration: 11, objective: 0.03876273108926798, violation: 0.03301958717258017
iteration: 12, objective: 0.03875767849269263, violation: 0.028908560286429113
iteration: 13, objective: 0.03875385333553473, violation: 0.025469558179725862
iteration: 14, objective: 0.0387507683274089, violation: 0.022704683430352788
iteration: 15, objective: 0.03874815995568464, violation: 0.020770824156886344
iteration: 16, objective: 0.03874590290401245, violation: 0.019201792503580034
iteration: 17, objective: 0.038743919460129915, violation: 0.01789372999518105
iteration: 18, objective: 0.038742148487043035, violation: 0.01682702652753628
iteration: 19, objective: 0.03874054913794859, violation: 0.01592193908315552
iteration: 20, objective: 0.03873910555653717, violation: 0.0150644471787877
iteration: 21, objective: 0.03873779578283002, violation: 0.014268890021314613
iteration: 22, objective: 0.038736602415353025, violation: 0.013550688968895396
iteration: 23, objective: 0.03873550794352299, violation: 0.012918407998087746
iteration: 24, objective: 0.03873450093258156, violation: 0.012373346421831997
iteration: 25, objective: 0.03873359743746738, violation: 0.011862643976714982
iteration: 26, objective: 0.0387328047788194, violation: 0.011296489368783967
iteration: 27, objective: 0.03873208258702028, violation: 0.010789688893057299
iteration: 28, objective: 0.03873141350846057, violation: 0.010372737668415165
iteration: 29, objective: 0.03873079152716221, violation: 0.009985179952485695
iteration: 30, objective: 0.03873020917687998, violation: 0.009623868433880663
iteration: 31, objective: 0.03872966113335015, violation: 0.009306857681057336
iteration: 32, objective: 0.03872915354652604, violation: 0.00896890629053765
iteration: 33, objective: 0.038728682722808806, violation: 0.008666361008537425
iteration: 34, objective: 0.038728237882269624, violation: 0.008404703267436605
iteration: 35, objective: 0.038727815166724494, violation: 0.00815628456200632
iteration: 36, objective: 0.03872740860826295, violation: 0.00794052820441379
iteration: 37, objective: 0.038727016384165446, violation: 0.007751147371170953
iteration: 38, objective: 0.03872663732088588, violation: 0.007569333556266715
iteration: 39, objective: 0.03872627036774279, violation: 0.007393829824446874
iteration: 40, objective: 0.038725914686960385, violation: 0.007228122071952219
iteration: 41, objective: 0.038725572602185725, violation: 0.007064167932611461
iteration: 42, objective: 0.03872524082961066, violation: 0.0069174236457237755
iteration: 43, objective: 0.038724919505092575, violation: 0.006763301052266547
iteration: 44, objective: 0.03872461010561474, violation: 0.006602308377321084
iteration: 45, objective: 0.03872431239663861, violation: 0.006455229934188894
iteration: 46, objective: 0.03872402491224711, violation: 0.0063107059356077525
iteration: 47, objective: 0.03872374651162968, violation: 0.006168373298652276
iteration: 48, objective: 0.03872347727719658, violation: 0.006032797576160615
iteration: 49, objective: 0.03872321769579352, violation: 0.005905351474710317
iteration: 50, objective: 0.03872296767102408, violation: 0.0057694375137795515
iteration: 51, objective: 0.038722733161038116, violation: 0.005638404959444463
iteration: 52, objective: 0.03872251915911944, violation: 0.005457905414981883
iteration: 53, objective: 0.038722313842377225, violation: 0.005304053343385737
iteration: 54, objective: 0.03872211387955573, violation: 0.005187203006764233
iteration: 55, objective: 0.03872191851965247, violation: 0.00507455379889839
iteration: 56, objective: 0.038721727462626816, violation: 0.004976078095871749
iteration: 57, objective: 0.03872154078838325, violation: 0.0048806406284503025
iteration: 58, objective: 0.03872135881341737, violation: 0.00478383962148569
iteration: 59, objective: 0.03872118274303867, violation: 0.0046853530697583655
iteration: 60, objective: 0.03872101194850715, violation: 0.004592552018025692
