Jurkat_T_cell	Memory_T_cell	Naive_T_cell	Th17_T_cell
chr1_713922_714422	1	1	1	1
chr1_752446_752946	0	0	0	1
chr1_762776_763276	0	0	0	0
chr1_804989_805489	0	0	0	0
chr1_811822_812322	0	0	0	0
chr1_839814_840314	0	0	1	0
chr1_894401_894901	0	0	1	0
chr1_895729_896229	0	0	0	0
chr1_902153_902653	0	0	0	0
chr1_911318_911818	0	0	0	0
chr1_935277_935777	0	0	0	0
chr1_935936_936436	0	0	0	0
chr1_948589_949089	1	0	1	1
chr1_949634_950134	0	0	0	0
chr1_954564_955064	0	0	0	0
chr1_968329_968829	1	0	1	0
chr1_975963_976463	0	0	0	0
chr1_994789_995289	0	0	0	0
chr1_1004281_1004781	0	0	0	0
chr1_1014945_1015445	0	0	0	0
chr1_1034359_1034859	0	0	0	0
chr1_1034935_1035435	0	0	0	0
chr1_1051337_1051837	1	1	1	1
chr1_1057442_1057942	0	0	0	0
chr1_1079371_1079871	0	0	0	0
chr1_1092656_1093156	0	0	0	1
chr1_1093224_1093724	0	0	0	0
chr1_1136663_1137163	0	0	0	0
chr1_1143332_1143832	0	0	0	0
chr1_1167214_1167714	0	0	1	0
chr1_1186209_1186709	0	0	0	0
chr1_1196481_1196981	0	0	0	0
chr1_1209170_1209670	0	0	1	0
chr1_1227171_1227671	0	0	0	0
chr1_1240887_1241387	0	0	0	0
chr1_1243096_1243596	0	1	0	0
chr1_1243597_1244097	0	1	1	0
chr1_1259974_1260474	0	0	1	0
chr1_1284470_1284970	0	0	0	0
chr1_1306774_1307274	0	0	1	0
chr1_1307368_1307868	0	0	0	0
chr1_1310558_1311058	1	1	1	1
chr1_1334622_1335122	1	1	1	0
chr1_1342453_1342953	0	0	1	0
chr1_1376214_1376714	0	0	0	0
chr1_1406842_1407342	0	0	1	0
chr1_1440120_1440620	1	1	1	0
chr1_1447078_1447578	1	0	1	0
chr1_1509907_1510407	0	0	1	0
chr1_1542463_1542963	0	0	0	0
chr1_1550710_1551210	0	0	1	0
chr1_1564839_1565339	0	0	0	0
chr1_1565533_1566033	0	0	1	1
chr1_1590296_1590796	1	0	1	1
chr1_1609129_1609629	0	0	0	0
chr1_1610285_1610785	0	0	0	0
chr1_1624029_1624529	0	0	1	0
chr1_1655705_1656205	1	1	1	1
chr1_1676992_1677492	0	0	0	0
chr1_1677665_1678165	0	0	0	0
chr1_1710197_1710697	0	0	1	0
chr1_1711721_1712221	0	0	0	0
chr1_1822488_1822988	0	0	0	0
chr1_1837611_1838111	0	0	0	0
chr1_1840418_1840918	0	0	1	0
chr1_1850763_1851263	1	0	1	0
chr1_1905166_1905666	0	0	0	0
chr1_1976196_1976696	0	0	0	0
chr1_1981694_1982194	0	0	0	1
chr1_2022994_2023494	0	0	0	0
chr1_2064583_2065083	1	1	1	1
chr1_2080124_2080624	0	0	0	1
chr1_2084356_2084856	0	0	0	0
chr1_2120770_2121270	0	0	1	0
chr1_2126198_2126698	0	0	1	0
chr1_2130556_2131056	0	0	0	0
chr1_2136257_2136757	0	0	0	0
chr1_2158954_2159454	0	0	0	1
chr1_2163274_2163774	0	0	0	0
chr1_2168580_2169080	0	0	0	0
chr1_2187209_2187709	1	1	1	1
chr1_2196940_2197440	0	0	0	1
chr1_2222068_2222568	0	0	1	0
chr1_2231796_2232296	0	0	1	0
chr1_2232400_2232900	1	1	1	1
chr1_2242898_2243398	0	0	0	0
chr1_2246474_2246974	0	0	0	0
chr1_2313107_2313607	0	0	0	0
chr1_2322825_2323325	1	0	1	1
chr1_2343847_2344347	1	0	0	1
chr1_2345787_2346287	0	0	0	0
chr1_2406044_2406544	0	0	0	0
chr1_2413291_2413791	0	0	0	0
chr1_2431211_2431711	0	0	0	0
chr1_2457657_2458157	0	0	1	0
chr1_2477440_2477940	1	0	0	0
chr1_2478227_2478727	0	0	0	0
chr1_2480055_2480555	0	0	1	1
chr1_2487760_2488260	0	0	0	0
chr1_2509668_2510168	0	0	1	0
chr1_2516933_2517433	0	0	1	0
chr1_2517841_2518341	1	1	1	0
chr1_2573833_2574333	0	0	0	0
chr1_2574502_2575002	1	0	1	0
chr1_2688867_2689367	0	0	0	0
chr1_2756693_2757193	0	0	0	0
